"quittons, quittons notre vaine querelle, ne nous disputons point nos talents tour à tour.","unissons-nous…"
"qu'est-ce ? comme vous en va ? hé ! quoi ? toujours triste  et mélancolique comme cela  et tu ne veux pas me dire ce que tu as. allons donc découvre-moi ton petit cœur","hé bien, monsieur, vous venez d'entretenir votre fille. avez-vous su la cause de sa mélancolie ?"
"là ma pauvre mie dis dis  dis tes petites pensées à ton petit papa mignon. courage. veux-tu que je te baise ? viens. j'enrage de la voir de cette humeur-là.","hé bien, monsieur, vous venez d'entretenir votre fille. avez-vous su la cause de sa mélancolie ?"
"mais dis-moi me veux-tu faire mourir de déplaisir  et ne puis-je savoir d'où vient cette grande langueur ? découvre-m'en la cause  et je te promets que je ferai toutes choses pour toi.","hé bien, monsieur, vous venez d'entretenir votre fille. avez-vous su la cause de sa mélancolie ?"
"oui tu n'as qu'à me dire le suj et de ta tristesse je t'assure ici  et te fais serment qu'il n'y a rien que je ne fasse pour te satisfaire.","hé bien, monsieur, vous venez d'entretenir votre fille. avez-vous su la cause de sa mélancolie ?"
"c'est tout dire : est-ce que tu es jalouse de quelqu'une de tes compagnes que tu voies plus brave que toi ?  et serait-il quelque étoffe nouvelle dont tu voulusses avoir un habit ?","hé bien, monsieur, vous venez d'entretenir votre fille. avez-vous su la cause de sa mélancolie ?"
"non. est-ce que ta chambre ne te semble pas assez parée  et que tu souhaiterais quelque cabin et de la foire saint-laurent ? ce n'est pas cela. aurais-tu envie d'apprendre quelque chose ?","hé bien, monsieur, vous venez d'entretenir votre fille. avez-vous su la cause de sa mélancolie ?"
" et veux-tu que je te donne un maître pour te montrer à jouer du clavecin ? nenni. aimerais-tu quelqu'un  et souhaiterais-tu d'être mariée ?","hé bien, monsieur, vous venez d'entretenir votre fille. avez-vous su la cause de sa mélancolie ?"
"lucinde lui fait signe que c'est cela.","hé bien, monsieur, vous venez d'entretenir votre fille. avez-vous su la cause de sa mélancolie ?"
"non, c'est une coquine qui me fait enrager.","monsieur, laissez-moi faire, je m'en vais la sonder un peu."
"il n'est pas nécessaire, et puisqu'elle veut être de cette humeur, je suis d'avis qu'on l'y laisse.","laissez-moi faire vous dis-je peut-être qu'elle se découvrira plus librement à moi qu'à vous. quoi madame vous ne nous direz point ce que vous avez  et vous voulez affliger ainsi tout le monde."
"il n'est pas nécessaire, et puisqu'elle veut être de cette humeur, je suis d'avis qu'on l'y laisse.","il me semble qu'on n'agit point comme vous faites  et que si vous avez quelque répugnance à vous expliquer à un père vous n'en devez avoir aucune à me découvrir votre cœur. dites-moi"
"il n'est pas nécessaire, et puisqu'elle veut être de cette humeur, je suis d'avis qu'on l'y laisse.","souhaitez-vous quelque chose de lui ? il nous a dit plus d'une fois qu'il n'épargnerait rien pour vous contenter. est-ce qu'il ne vous donne pas toute la liberté que vous souhaiteriez"
"il n'est pas nécessaire, et puisqu'elle veut être de cette humeur, je suis d'avis qu'on l'y laisse."," et les promenades  et les cadeaux ne tenteraient-ils point votre âme ? heu. avez-vous reçu quelque déplaisir de quelqu'un ? heu. n'auriez-vous point quelque secrète inclination"
"il n'est pas nécessaire, et puisqu'elle veut être de cette humeur, je suis d'avis qu'on l'y laisse.","avec qui vous souhaiteriez que votre père vous mariât ? ah je vous entends. voilà l'affaire. que diable pourquoi tant de façons. monsieur"
"va, fille ingrate, je ne te veux plus parler, et je te laisse dans ton obstination.","mon père, puisque vous voulez que je vous dise la chose…"
"oui, je perds toute l'amitié que j'avais pour toi.","monsieur, sa tristesse…"
"c'est une coquine qui me veut faire mourir.","mon père, je veux bien…"
"ce n'est pas la récompense de t'avoir élevée comme j'ai fait.","mais, monsieur…"
"non, je suis contre elle, dans une colère épouvantable.","mais, mon père…"
"je n'ai plus aucune tendresse pour toi.","mais…"
"c'est une friponne.","mais…"
"une ingrate.","mais…"
"une coquine, qui ne me veut pas dire ce qu'elle a.","c'est un mari qu'elle veut."
"je l'abandonne.","un mari."
"je la déteste.","un mari."
"et la renonce pour ma fille.","un mari."
"non, ne m'en parlez point.","un mari."
"ne m'en parlez point.","un mari."
"ne m'en parlez point.","un mari, un mari, un mari."
"on dit bien vrai : qu'il n'y a point de pires sourds, que ceux qui ne veulent point entendre.","hé bien lisette  j'avais tort de cacher mon déplaisir  et je n'avais qu'à parler pour avoir tout ce que je souhaitais de mon père : tu le vois."
"par ma foi voilà un vilain homme  et je vous avoue que j'aurais un plaisir extrême à lui jouer quelque tour.  mais d'où vient donc madame que jusqu'ici vous m'avez caché votre mal ?","hélas de quoi m'aurait servi de te le découvrir plus tôt !  et n'aurais-je pas autant gagné à le tenir caché toute ma vie. crois-tu que je n'aie pas bien prévu tout ce que tu vois maintenant"
"par ma foi voilà un vilain homme  et je vous avoue que j'aurais un plaisir extrême à lui jouer quelque tour.  mais d'où vient donc madame que jusqu'ici vous m'avez caché votre mal ?","que je ne susse pas à fond tous les sentiments de mon père  et que le refus qu'il a fait porter à celui qui m'a demandée par un ami"
"quoi, c'est cet inconnu qui vous a fait demander, pour qui vous…","peut-être n'est-il pas honnête à une fille de s'expliquer si librement  mais enfin je t'avoue que s'il m'était permis de vouloir quelque chose"
"quoi, c'est cet inconnu qui vous a fait demander, pour qui vous…","ce serait lui que je voudrais. nous n'avons eu ensemble aucune conversation  et sa bouche ne m'a point déclaré la passion qu'il a pour moi :"
"quoi, c'est cet inconnu qui vous a fait demander, pour qui vous…"," mais dans tous les lieux où il m'a pu voir ses regards  et ses actions m'ont toujours parlé si tendrement  et la demande qu'il a fait faire de moi m'a paru d'un si honnête homme"
"quoi, c'est cet inconnu qui vous a fait demander, pour qui vous…","que mon cœur n'a pu s'empêcher d'être sensible à ses ardeurs  et cependant tu vois où la dureté de mon père réduit toute cette tendresse."
"allez laissez-moi faire quelque suj et que j'aie de me plaindre de vous du secr et que vous m'avez fait je ne veux pas laisser de servir votre amour ","mais que veux-tu que je fasse contre l'autorité d'un père ? et s'il est inexorable à mes vœux…"
"allez allez il ne faut pas se laisser mener comme un oison  et pourvu que l'honneur n'y soit pas offensé on peut se libérer un peu de la tyrannie d'un père. que prétend-il que vous fassiez ?","il est bon quelquefois de ne point faire semblant d'entendre les choses qu'on n'entend que trop bien :  et j'ai fait sagement de parer la déclaration d'un désir que je ne suis pas résolu de contenter."
"n'êtes-vous pas en âge d'être mariée ?  et croit-il que vous soyez de marbre ? allez encore un coup je veux servir votre passion je prends dès à présent sur moi tout le soin de ses intérêts","a-t-on ja mais rien vu de plus tyrannique que cette coutume où l'on veut assujettir les pères ? rien de plus impertinent  et de plus ridicule que d'amasser du bien avec de grands travaux"
" et vous verrez que je sais des détours…  mais je vois votre père"," et élever une fille avec beaucoup de soin  et de tendresse pour se dépouiller de l'un  et de l'autre entre les mains d'un homme qui ne nous touche de rien."
"allez allez il ne faut pas se laisser mener comme un oison  et pourvu que l'honneur n'y soit pas offensé on peut se libérer un peu de la tyrannie d'un père. que prétend-il que vous fassiez ?","non non je me moque de c et usage  et je veux garder mon bien "
"ah, malheur ! ah, disgrâce ! ah, pauvre seigneur sganarelle ! où pourrai-je te rencontrer ?","que dit-elle là ?"
"ah, misérable père ! que feras-tu ? quand tu sauras cette nouvelle.","que sera-ce ?"
"ma pauvre maîtresse.","je suis perdu."
"ah !","lisette."
"quelle infortune !","lisette."
"quel accident.","lisette."
"quelle fatalité !","lisette."
"ah, monsieur !","qu'est-ce ?"
"monsieur.","qu'y a-t-il ?"
"votre fille.","ah, ah !"
"monsieur, ne pleurez donc point comme cela : car vous me feriez rire.","dis donc vite."
"votre fille toute saisie des paroles que vous lui avez dites  et de la colère effroyable où elle vous a vu contre elle est montée vite dans sa chambre","hé bien ?"
" et pleine de désespoir a ouvert la fenêtre qui regarde sur la rivière.","hé bien ?"
"alors levant les yeux au ciel. *non,* a-t-elle dit *il m'est impossible de vivre avec le courroux de mon père :","elle s'est jetée."
"non monsieur elle a fermé tout doucement la fenêtre  et s'est allée mettre sur son lit. là elle s'est prise à pleurer amèrement :  et tout d'un coup son visage a pâli","ah, ma fille !"
"ses yeux se sont tournés le cœur lui a manqué  et elle m'est demeurée entre mes bras.","ah, ma fille !"
"à force de la tourmenter je l'ai fait revenir :  mais cela lui reprend de moment en moment :","champagne en dansant frappe aux portes de quatre médecins qui dansent"
"que voulez-vous donc faire, monsieur, de quatre médecins ? n'est-ce pas assez d'un pour tuer une personne ?","taisez-vous. quatre conseils valent mieux qu'un."
"est-ce que votre fille ne peut pas bien mourir, sans le secours de ces messieurs-là ?","est-ce que les médecins font mourir ?"
"sans doute :  et j'ai connu un homme qui prouvait par bonnes raisons qu'il ne faut ja mais dire *une telle personne est morte d'une fièvre ","chut, n'offensez pas ces messieurs-là."
"et d'une fluxion sur la poitrine* : mais *elle est morte de quatre médecins","chut, n'offensez pas ces messieurs-là."
"ma foi monsieur notre chat est réchappé depuis peu d'un saut qu'il fit du haut de la maison dans la rue  et il fut trois jours sans manger  et sans pouvoir remuer ni pied ni patte ","voulez-vous vous taire, vous dis-je ; mais voyez quelle impertinence. les voici."
" mais il est bien heureux de ce qu'il n'y a point de chats médecins : car ses affaires étaient faites  et ils n'auraient pas manqué de le purger","voulez-vous vous taire, vous dis-je ; mais voyez quelle impertinence. les voici."
"prenez garde, vous allez être bien édifié, ils vous diront en latin que votre fille est malade.","hé bien, messieurs."
"nous avons vu suffisamment la malade ; et sans doute qu'il y a beaucoup d'impuretés en elle.","ma fille est impure."
"je veux dire qu'il y a beaucoup d'impureté dans son corps, quantité d'humeurs corrompues.","ah, je vous entends."
"mais… nous allons consulter ensemble.","allons, faites donner des sièges."
"ah, monsieur, vous en êtes.","de quoi donc connaissez-vous monsieur ?"
"de l'avoir vu l'autre jour chez la bonne amie de madame votre nièce.","comment se porte son cocher ?"
"fort bien, il est mort.","mort !"
"oui.","cela ne se peut."
"je ne sais si cela se peut, mais je sais bien que cela est.","il ne peut pas être mort, vous dis-je."
"et moi je vous dis qu'il est mort, et enterré.","vous vous trompez."
"je l'ai vu.","cela est impossible. hippocrate dit que ces sortes de maladies ne se terminent qu'au quatorze ou au vingt-un  et il n'y a que six jours qu'il est tombé malade."
"hippocrate dira ce qu'il lui plaira : mais le cocher est mort.","paix discoureuse allons sortons d'ici. messieurs je vous supplie de consulter de la bonne manière. quoique ce ne soit pas la coutume de payer auparavant toutefois"
"hippocrate dira ce qu'il lui plaira : mais le cocher est mort.","de peur que je l'oublie  et afin que ce soit une affaire faite il les paie, et chacun en recevant l'argent, fait un geste différent."
"hippocrate dira ce qu'il lui plaira : mais le cocher est mort.","ils s'asseyent et toussent."
"paris est étrangement grand, et il faut faire de longs trajets, quand la pratique donne un peu.","il faut avouer que j'ai une mule admirable pour cela  et qu'on a peine à croire le chemin que je lui fais faire tous les jours."
"j'ai un cheval merveilleux, et c'est un animal infatigable.","savez-vous le chemin que ma mule a fait aujourd'hui. j'ai été premièrement tout contre l'arsenal de l'arsenal au bout du faubourg saint-germain du faubourg saint-germain au fond du marais"
"j'ai un cheval merveilleux, et c'est un animal infatigable.","du fond du marais à la porte saint-honoré de la porte saint-honoré au faubourg saint-jacques du faubourg saint-jacques à la porte de richelieu de la porte de richelieu ici"
"mon cheval a fait tout cela aujourd'hui, et de plus j'ai été à ruel voir un malade."," mais à propos quel parti prenez-vous dans la querelle des deux médecins théophraste  et artémius ? car c'est une affaire qui partage tout notre corps."
"moi, je suis pour artémius."," et moi aussi ce n'est pas que son avis comme on a vu n'ait tué le malade  et que celui de théophraste ne fût beaucoup meilleur assurément :"
"moi, je suis pour artémius."," mais enfin il a tort dans les circonstances  et il ne devait pas être d'un autre avis que son ancien."
"sans doute. il faut toujours garder les formalités, quoi qu'il puisse arriver.","pour moi j'y suis sévère en diable à moins que ce soit entre amis  et l'on nous assembla un jour trois de nous autres avec un médecin de dehors"
"sans doute. il faut toujours garder les formalités, quoi qu'il puisse arriver.","pour une consultation où j'arrêtai toute l'affaire  et ne voulus point endurer qu'on opinât si les choses n'allaient dans l'ordre. les gens de la maison faisaient ce qu'ils pouvaient  et la maladie pressait :"
"sans doute. il faut toujours garder les formalités, quoi qu'il puisse arriver."," mais je n'en voulus point démordre  et la malade mourut bravement pendant cette contestation."
"c'est fort bien fait d'apprendre aux gens à vivre, et de leur montrer leur bec jaune.","un homme mort n'est qu'un homme mort  et ne fait point de conséquence   mais une formalité négligée porte un notable préjudice à tout le corps des médecins."
"messieurs, l'oppression de ma fille augmente, je vous prie de me dire vite ce que vous avez résolu.","allons, monsieur."
"non, monsieur, parlez s'il vous plaît.","vous vous moquez."
"je ne parlerai pas le premier.","monsieur."
"monsieur.","hé, de grâce, messieurs, laissez toutes ces cérémonies, et songez que les choses pressent."
"ils parlent tous quatre ensemble. la maladie de votre fille…","l'avis de tous ces messieurs tous ensemble…"
"après avoir bien consulté…","pour raisonner…"
"hé, messieurs, parlez l'un après l'autre, de grâce.","monsieur nous avons raisonné sur la maladie de votre fille   et mon avis à moi est que cela procède d'une grande chaleur de sang : ainsi je conclus à la saigner le plus tôt que vous pourrez."
" et moi je dis que sa maladie est une pourriture d'humeurs causée par une trop grande réplétion :","je soutiens que l'émétique la tuera."
"et moi, que la saignée la fera mourir.","c'est bien à vous de faire l'habile homme."
"oui, c'est à moi, et je vous prêterai le collet en tout genre d'érudition.","souvenez-vous de l'homme que vous fîtes crever ces jours passés."
"souvenez-vous de la dame que vous avez envoyée en l'autre monde, il y a trois jours.","je vous ai dit mon avis."
"je vous ai dit ma pensée.","si vous ne faites saigner tout à l'heure votre fille, c'est une personne morte."
"si vous la faites saigner, elle ne sera pas en vie dans un quart d'heure.","à qui croire des deux ?  et quelle résolution prendre sur des avis si opposés ? messieurs je vous conjure de déterminer mon esprit  et de me dire"
"si vous la faites saigner, elle ne sera pas en vie dans un quart d'heure.","sans passion ce que vous croyez le plus propre à soulager ma fille."
". il parle en allongeant ses mots. mon-si-eur. dans. ces. ma-ti-è-res. là. il. faut. pro-cé-der.","celui-ci parle toujours en bredouillant. il est vrai. il faut bien prendre garde à ce qu'on fait. car ce ne sont pas ici des jeux d'enfant "
"a-vec-que. cir-cons-pec-tion. et. ne. ri-en. fai-re. com-me. on. dit. à. la. vo-lé-e. d'au-tant. que. les. fau-tes. qu'on. y. peut."," et quand on a failli il n'est pas aisé de réparer le manquement  et de rétablir ce qu'on a gâté. *experimentum periculosum*. c'est pourquoi il s'agit de raisonner auparavant"
"fai-re. sont. se-lon. no-tre. maî-tre. hip-po-cra-te. d'une. dan-ge-reu-se.","comme il faut de peser mûrement les choses de regarder le tempérament des gens d'examiner les causes de la maladie  et de voir les remèdes qu'on y doit apporter."
"l'un va en tortue, et l'autre court la poste.","or. mon-si-eur pour. ve-nir. au. fait. je. trou-ve. que. vo-tre. fil-le. a. u-ne. ma-la-die. chro-ni-que. et. qu'el-le. peut. pé-ri-cli-ter"
"l'un va en tortue, et l'autre court la poste.","si. on. ne. lui. don-ne. du. se-cours  d'au-tant. que. les. symp-tô-mes. qu'el-le. a sont. in-di-ca-tifs. d'u-ne. va-peur. fu-li-gi-neu-se."
"l'un va en tortue, et l'autre court la poste.","et. mor-di-can-te qui. lui. pi-co-te. les. mem-bra-nes. du. cer-veau. or. cet-te. va-peur. que. nous. nom-mons. en. grec. *at-mos*."
"l'un va en tortue, et l'autre court la poste.","est. cau-sé.e. par. des. hu-meurs. pu-tri-des te-na-ces et. con-glu-ti-neu-ses"
" et comme ces humeurs ont été là engendrées par une longue succession de temps  elles s'y sont recuites  et ont acquis cette malignité qui fume vers la région du cerveau.","si. bi-en donc. que. pour. ti-rer dé-ta-cher ar-ra-cher ex-pul-ser é-va-cu-er les-di-tes. hu-meurs il. fau-dra. u-ne. pur-ga-ti-on."
" et comme ces humeurs ont été là engendrées par une longue succession de temps  elles s'y sont recuites  et ont acquis cette malignité qui fume vers la région du cerveau.","vi-gou-reu-se. mais. au. pré-a-la-ble je. trou-ve. à. pro-pos et. il. n'y. a. pas. d'in-con-vé-ni-ent. d'u-ser. de. pe-tits."
" et comme ces humeurs ont été là engendrées par une longue succession de temps  elles s'y sont recuites  et ont acquis cette malignité qui fume vers la région du cerveau.","re-mè-des. a-no-dins. c'est-à-di-re. de. pe-tits. la-ve-ments. ré-mol-li-ents. et. dé-ter-sifs. de. ju-lets. et. de. si-rops."
"après nous en viendrons à la purgation et à la saignée, que nous réitérerons s'il en est besoin.","ce. n'est. pas. qu'a-vec. tout. ce-la vo-tre. fil-le. ne. puis-se. mou-rir mais. au. moins. vous. au-rez. fait. quel-que. cho-se."
"après nous en viendrons à la purgation et à la saignée, que nous réitérerons s'il en est besoin.","et. vous. au-rez. la. con-so-la-tion qu'el-le. se-ra. mor-te."
"il vaut mieux mourir selon les règles, que de réchapper contre les règles.","nous. vous. di-sons. sin-cè-re-ment. no-tre. pen-sée."
"et nous vous avons parlé, comme nous parlerions à notre propre frère.","je. vous. rends. très. hum-bles. grâ-ces. à m. bahys."
"et nous vous avons parlé, comme nous parlerions à notre propre frère.","et vous suis infiniment obligé de la peine que vous avez prise."
"me voilà justement un peu plus incertain que je n'étais auparavant. morbleu il me vient une fantaisie. il faut que j'aille acheter de l'orviétan","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
" et que je lui en fasse prendre. l'orviétan est un remède dont beaucoup de gens se sont bien trouvés. L’OPÉRATEUR *chantant*","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"l'or de tous les climats qu'entoure l'océan peut-il jamais payer ce secret d'importance ?","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"mon remède guérit par sa rare excellence, plus de maux qu'on n'en peut nombrer dans tout un an.","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"la gale, la rogne,","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"la tigne, la fièvre,","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"la peste, la goutte,","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"vérole, descente,","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"rougeole, ô ! grande puissance de l'orviétan !","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"L’OPÉRATEUR *chantant* admirez mes bontés, et le peu qu'on vous vend,","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"ce trésor merveilleux, que ma main vous dispense. vous pouvez avec lui braver en assurance,","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"tous les maux que sur nous l'ire du ciel répand : la gale,","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"la rogne, la tigne,","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"la fièvre, la peste,","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"la goutte, vérole,","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"descente, rougeole,","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"plusieurs trivelins et plusieurs scaramouches, valets de l'opérateur, se réjouissent en dansant.","holà. monsieur, je vous prie de me donner une boîte de votre orviétan, que je m'en vais vous payer."
"vous avez raison en tout ce que vous dites ; mais ce sont chaleurs de sang, dont parfois on n'est pas le maître.","monsieur je crois que tout l'or du monde n'est pas capable de payer votre remède :  mais pourtant voici une pièce de trente sols que vous prendrez"
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question.","n'avez-vous point de honte messieurs de montrer si peu de prudence pour des gens de votre âge  et de vous être querellés comme de jeunes étourdis ? ne voyez-vous pas bien quel tort ces sortes de querelles nous font parmi le monde ?"
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question."," et n'est-ce pas assez que les savants voient les contrariétés  et les dissensions qui sont entre nos auteurs  et nos anciens maîtres"
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question.","sans découvrir encore au peuple par nos débats  et nos querelles la forfanterie de notre art ? pour moi je ne comprends rien du tout à cette méchante politique de quelques-uns de nos gens."
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question."," et il faut confesser que toutes ces contestations nous ont décriés depuis peu d'une étrange manière  et que si nous n'y prenons garde"
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question.","nous allons nous ruiner nous-mêmes. je n'en parle pas pour mon intérêt. car dieu merci j'ai déjà établi mes petites affaires. qu'il vente"
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question.","qu'il pleuve qu'il grêle ceux qui sont morts sont morts  et j'ai de quoi me passer des vivants.  mais enfin toutes ces disputes ne valent rien pour la médecine."
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question.","puisque le ciel nous fait la grâce que depuis tant de siècles on demeure infatué de nous : ne désabusons point les hommes avec nos cabales extravagantes"
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question."," et profitons de leur sottise le plus doucement que nous pourrons. nous ne sommes pas les seuls comme vous savez qui tâchons à nous prévaloir de la faiblesse humaine."
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question.","c'est là que va l'étude de la plupart du monde  et chacun s'efforce de prendre les hommes par leur faible pour en tirer quelque profit. les flatteurs par exemple cherchent à profiter de l'amour que les hommes ont pour les louanges"
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question.","en leur donnant tout le vain encens qu'ils souhaitent :  et c'est un art où l'on fait comme on voit des fortunes considérables. les alchimistes tâchent à profiter de la passion qu'on a pour les richesses"
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question.","en promettant des montagnes d'or à ceux qui les écoutent.  et les diseurs d'horoscope par leurs prédictions trompeuses profitent de la vanité et de l'ambition des crédules esprits :"
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question."," mais le plus grand faible des hommes c'est l'amour qu'ils ont pour la vie  et nous en profitons nous autres par notre pompeux galimatias "
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question."," et savons prendre nos avantages de cette vénération que la peur de mourir leur donne pour notre métier. conservons-nous donc dans le degré d'estime où leur faiblesse nous a mis"
