"répands, charmante nuit, répands sur tous les yeux, de tes pavots la douce violence,","que soupirer d'amour est une douce chose,"
"ah comme il est bâti !"," et se mettent à rire ! eh messieurs les badauds faites vos affaires  et laissez passer les personnes sans leur rire au nez. je me donne au diable"
"ah comme il est bâti !","si je ne baille un coup de poing au premier que je verrai rire."
"qu'est-ce que c'est messieurs ? que veut dire cela ? à qui en avez-vous ? faut-il se moquer ainsi des honnêtes étrangers qui arrivent ici ?","voilà un homme raisonnable celui-là."
"quel procédé est le vôtre ? et qu'avez-vous à rire ?","fort bien."
"monsieur a-t-il quelque chose de ridicule en soi ?","oui."
"est-il autrement que les autres ?","suis-je tortu, ou bossu ?"
"apprenez à connaître les gens.","c'est bien dit."
"monsieur est d'une mine à respecter.","cela est vrai."
"personne de condition.","oui, gentilhomme limosin."
"homme d'esprit.","qui a étudié en droit."
"il vous fait trop d'honneur, de venir dans votre ville.","sans doute."
"monsieur n'est point une personne à faire rire.","assurément."
"et quiconque rira de lui, aura affaire à moi.","monsieur, je vous suis infiniment obligé."
"je suis fâché, monsieur, de voir recevoir de la sorte une personne comme vous, et je vous demande pardon pour la ville.","je suis votre serviteur."
"je vous ai vu ce matin monsieur avec le coche lorsque vous avez déjeuné   et la grâce avec laquelle vous mangiez votre pain m'a fait naître d'abord de l'amitié pour vous :","c'est trop de grâce que vous me faites."
" et comme je sais que vous n'êtes ja mais venu en ce pays  et que vous y êtes tout neuf je suis bien aise de vous avoir trouvé pour vous offrir mon service à cette arrivée","c'est trop de grâce que vous me faites."
" et vous aider à vous conduire parmi ce peuple qui n'a pas parfois pour les honnêtes gens toute la considération qu'il faudrait.","c'est trop de grâce que vous me faites."
"je vous l'ai déjà dit ; du moment que je vous ai vu, je me suis senti pour vous de l'inclination.","je vous suis obligé."
"votre physionomie m'a plu.","ce m'est beaucoup d'honneur."
"j'y ai vu quelque chose d'honnête.","je suis votre serviteur."
"quelque chose d'aimable.","ah, ah."
"de gracieux.","ah, ah."
"de doux.","ah, ah."
"de majestueux.","ah, ah."
"de franc.","ah, ah."
"et de cordial.","ah, ah."
"je vous assure que je suis tout à vous.","je vous ai beaucoup d'obligation."
"c'est du fond du cœur que je parle.","je le crois."
"si j'avais l'honneur d'être connu de vous, vous sauriez que je suis un homme tout à fait sincère.","je n'en doute point."
"ennemi de la fourberie.","j'en suis persuadé."
"et qui n'est pas capable de déguiser ses sentiments.","c'est ma pensée."
"vous regardez mon habit qui n'est pas fait comme les autres  mais je suis originaire de naples à votre service  et j'ai voulu conserver un peu  et la manière de s'habiller","c'est fort bien fait : pour moi j'ai voulu me mettre à la mode de la cour pour la campagne."
"ma foi, cela vous va mieux qu'à tous nos courtisans.","c'est ce que m'a dit mon tailleur ; l'habit est propre et riche, et il fera du bruit ici."
"sans doute. n'irez-vous pas au louvre ?","il faudra bien aller faire ma cour."
"le roi sera ravi de vous voir.","je le crois."
"avez-vous arrêté un logis ?","non, j'allais en chercher un."
"je serai bien aise d'être avec vous pour cela, et je connais tout ce pays-ci.","ah qu'est-ce ci ! que vois-je ! quelle heureuse rencontre ! monsieur de pourceaugnac ! que je suis ravi de vous voir ! comment ? il semble que vous ayez peine à me reconnaître ?"
"monsieur, je suis votre serviteur.","est-il possible que cinq ou six années m'aient ôté de votre mémoire ?  et que vous ne reconnaissiez pas le meilleur ami de toute la famille des pourceaugnac ?"
"pardonnez-moi. à sbrigani.","il n'y a pas un pourceaugnac à limoges que je ne connaisse depuis le plus grand jusques au plus petit je ne fréquentais qu'eux dans le temps que j'y étais  et j'avais l'honneur de vous voir presque tous les jours."
"ma foi, je ne sais qui il est.","il n'y a pas un pourceaugnac à limoges que je ne connaisse depuis le plus grand jusques au plus petit je ne fréquentais qu'eux dans le temps que j'y étais  et j'avais l'honneur de vous voir presque tous les jours."
"c'est moi qui l'ai reçu, monsieur.","vous ne vous remettez point mon visage ?"
"si fait. à sbrigani.","vous ne vous ressouvenez pas que j'ai eu le bonheur de boire avec vous je ne sais combien de fois ?"
"je ne le connais point.","vous ne vous ressouvenez pas que j'ai eu le bonheur de boire avec vous je ne sais combien de fois ?"
"excusez-moi. à sbrigani.","comment appelez-vous ce traiteur de limoges qui fait si bonne chère ?"
"je ne sais ce que c'est.","comment appelez-vous ce traiteur de limoges qui fait si bonne chère ?"
"petit-jean ?","le voilà.nous allions le plus souvent ensemble chez lui nous réjouir. comment est-ce que vous nommez à limoges ce lieu où l'on se promène ?"
"le cimetière des arènes ?","justement c'est où je passais de si douces heures à jouir de votre agréable conversation."
"excusez-moi, je me le remets. à sbrigani.","il y a cent choses comme cela qui passent de la tête."
"diable emporte, si je m'en souviens.","il y a cent choses comme cela qui passent de la tête."
"embrassez-moi donc, je vous prie, et resserrons les nœuds de notre ancienne amitié.","voilà un homme qui vous aime fort."
"dites-moi un peu des nouvelles de toute la parenté : comment se porte monsieur votre… là… qui est si honnête homme ?","mon frère le consul ?"
"oui.","il se porte le mieux du monde."
"certes j'en suis ravi. et celui qui est de si bonne humeur ? là… monsieur votre… ?","mon cousin l'assesseur ?"
"justement.","toujours gai et gaillard."
"ma foi, j'en ai beaucoup de joie. et monsieur votre oncle ? le…","je n'ai point d'oncle."
"vous aviez pourtant en ce temps-là…","non, rien qu'une tante."
"c'est ce que je voulais dire, madame votre tante ; comment se porte-t-elle ?","elle est morte depuis six mois."
"hélas la pauvre femme ! elle était si bonne personne.","nous avons aussi mon neveu le chanoine, qui a pensé mourir de la petite vérole."
"quel dommage ç'aurait été !","le connaissez-vous aussi ?"
"vraiment si je le connais ! un grand garçon bien fait.","pas des plus grands."
"non, mais de taille bien prise.","eh oui."
"qui est votre neveu…","oui."
"fils de votre frère et de votre sœur…","justement."
"chanoine de l'église de… comment l'appelez-vous ?","de saint-etienne."
"le voilà, je ne connais autre.","il dit toute la parenté."
"il vous connaît plus que vous ne croyez.","à ce que je vois, vous avez demeuré longtemps dans notre ville ?"
"deux ans entiers.","vous étiez donc là quand mon cousin l'élu, fit tenir son enfant à monsieur notre gouverneur ?"
"vraiment oui, j'y fus convié des premiers.","cela fut galant."
"très galant.","c'était un repas bien troussé."
"sans doute.","vous vîtes donc aussi la querelle que j'eus avec ce gentilhomme périgordin ?"
"oui.","parbleu il trouva à qui parler."
"ah, ah.","il me donna un soufflet, mais je lui dis bien son fait."
"assurément. au reste, je ne prétends pas que vous preniez d'autre logis que le mien.","je n'ai garde de…"
"vous moquez-vous ? je ne souffrirai point du tout que mon meilleur ami soit autre part que dans ma maison.","ce serait vous…"
"non : le diable m'emporte, vous logerez chez moi.","puisqu'il le veut obstinément, je vous conseille d'accepter l'offre."
"où sont vos hardes ?","je les ai laissées avec mon valet où je suis descendu."
"envoyons-les quérir par quelqu'un.","non : je lui ai défendu de bouger, à moins que j'y fusse moi-même, de peur de quelque fourberie."
"c'est prudemment avisé.","ce pays-ci est un peu sujet à caution."
"on voit les gens d'esprit en tout.","je vais accompagner monsieur, et le ramènerai où vous voudrez."
"oui, je serai bien aise de donner quelques ordres, et vous n'avez qu'à revenir à cette maison-là.","nous sommes à vous tout à l'heure."
"je vous attends avec impatience.","voilà une connaissance où je ne m'attendais point."
"il a la mine d'être honnête homme.","ma foi monsieur de pourceaugnac nous vous en donnerons de toutes les façons  L’APOTHICAIRE"
"il a la mine d'être honnête homme.","non monsieur ce n'est pas moi qui suis le médecin  à moi n'appartient pas c et honneur  et je ne suis qu'apothicaire apothicaire indigne pour vous servir."
"il a la mine d'être honnête homme.","L’APOTHICAIRE oui, il est là embarrassé à expédier quelques malades, et je vais lui dire que vous êtes ici."
"il a la mine d'être honnête homme.","L’APOTHICAIRE je sais ce que c'est je sais ce que c'est  et j'étais avec lui quand on lui a parlé de cette affaire."
"il a la mine d'être honnête homme.","ma foi ma foi vous ne pouviez pas vous adresser à un médecin plus habile  c'est un homme qui sait la médecine à fond comme je sais ma croix-de-pardieu "
"il a la mine d'être honnête homme."," et qui quand on devrait crever ne démordrait pas d'un *iota* des règles des anciens. oui il suit toujours le grand chemin le grand chemin  et ne va point chercher midi à quatorze heures "
"il a la mine d'être honnête homme."," et pour tout l'or du monde il ne voudrait pas avoir guéri une personne avec d'autres remèdes que ceux que la faculté permet. L’APOTHICAIRE"
"il a la mine d'être honnête homme.","ce n'est pas parce que nous sommes grands amis que j'en parle   mais il y a plaisir il y a plaisir d'être son malade   et j'aimerais mieux mourir de ses remèdes"
"il a la mine d'être honnête homme.","que de guérir de ceux d'un autre : car quoi qui puisse arriver on est assuré que les choses sont toujours dans l'ordre  et quand on meurt sous sa conduite"
"il a la mine d'être honnête homme.","L’APOTHICAIRE assurément on est bien aise au moins d'être mort méthodiquement."
"il a la mine d'être honnête homme.","au reste il n'est pas de ces médecins qui marchandent les maladies  c'est un homme expéditif expéditif qui aime à dépêcher ses malades "
"il a la mine d'être honnête homme."," et quand on a à mourir cela se fait avec lui le plus vite du monde. L’APOTHICAIRE"
"il a la mine d'être honnête homme.","cela est vrai à quoi bon tant barguigner  et tant tourner autour du pot ? L’APOTHICAIRE"
"il a la mine d'être honnête homme.","voilà déjà trois de mes enfants dont il m'a fait l'honneur de conduire la maladie qui sont morts en moins de quatre jours  et qui entre les mains d'un autre"
"il a la mine d'être honnête homme.","L’APOTHICAIRE sans doute. il ne me reste plus que deux enfants dont il prend soin comme des siens "
"il a la mine d'être honnête homme.","il les traite et gouverne à sa fantaisie sans que je me mêle de rien   et le plus souvent quand je reviens de la ville je suis tout étonné que je les trouve saignés ou purgés par son ordre."
"il a la mine d'être honnête homme.","L’APOTHICAIRE le voici, le voici, le voici qui vient."
"je crois, monsieur, que vous êtes le médecin à qui l'on est venu parler de ma part.","le malade est un sot d'autant plus que dans la maladie dont il est attaqué ce n'est pas la tête selon galien  mais la rate qui lui doit faire mal."
"et monsieur le médecin est-il à la maison ?","bon c'est signe que le dedans se dégage. je l'irai visiter dans deux ou trois jours   mais s'il mourait avant ce temps-là ne manquez pas de m'en donner avis"
"et monsieur le médecin est-il à la maison ?","car il n'est pas de la civilité qu'un médecin visite un mort."
"non ne bougez : j'attendrai qu'il ait fait  c'est pour lui mettre entre les mains certain parent que nous avons dont on lui a parlé  et qui se trouve attaqué de quelque folie","ce n'est pas ma faute ; je lui donne des remèdes, que ne guérit-il ? combien a-t-il été saigné de fois ?"
"que nous serions bien aises qu'il pût guérir avant que de le marier.","ce n'est pas ma faute ; je lui donne des remèdes, que ne guérit-il ? combien a-t-il été saigné de fois ?"
"il fait fort bien ; un malade ne doit point vouloir guérir, que la faculté n'y consente.","quinze fois saigné ?"
"c'est une grande consolation pour un défunt.","et il ne guérit point ?"
"en effet, il n'est rien tel que de sortir promptement d'affaire.","c'est signe que la maladie n'est pas dans le sang. nous le ferons purger autant de fois pour voir si elle n'est pas dans les humeurs  et si rien ne nous réussit"
"vous avez raison.","c'est moi monsieur qui vous ai envoyé parler ces jours passés pour un parent un peu troublé d'esprit que je veux vous donner chez vous afin de le guérir avec plus de commodité"
"il est bon d'avoir des amis comme cela.","le voici."
"voilà des soins fort obligeants.","une petite affaire m'est survenue qui m'oblige à vous quitter   mais voilà une personne entre les mains de qui je vous laisse"
"voilà des soins fort obligeants.","qui aura soin pour moi de vous traiter du mieux qu'il lui sera possible."
"monsieur, il n'en peut plus, et il dit qu'il sent dans la tête les plus grandes douleurs du monde.","c'est son maître d'hôtel, et il faut que ce soit un homme de qualité."
"quoi que c'en soit, monsieur, il a toujours avec cela son cours de ventre depuis six mois.","mon dieu, il ne me faut point tant de cérémonies, et je ne viens pas ici pour incommoder."
"mon père, monsieur, est toujours malade de plus en plus.","voilà toujours six pistoles d'avance, en attendant ce que j'ai promis."
"quinze, monsieur, depuis vingt jours.","mon dieu, laissez faire, ce n'est pas pour ce que vous pensez."
"oui.","c'est ce que je veux faire. bas au médecin."
"oui.","je vous recommande surtout de ne le point laisser sortir de vos mains, car parfois il veut s'échapper."
"non, monsieur. L’APOTHICAIRE","je vous prie de m'excuser, de l'incivilité que je commets."
"voilà le fin cela, voilà le fin de la médecine.","je vous prie de m'excuser, de l'incivilité que je commets."
"oui, monsieur, j'ai déjà disposé tout, et promets d'en avoir tous les soins imaginables.","ce m'est beaucoup d'honneur, monsieur, d'être choisi pour vous rendre service."
"la conjoncture est tout à fait heureuse  et j'ai ici un ancien de mes amis avec lequel je serai bien aise de consulter sa maladie.","voici un habile homme, mon confrère, avec lequel je vais consulter la manière dont nous vous traiterons."
"le devoir de ma profession m'y oblige, et c'est assez que vous me chargiez de ce soin.","allons, des sièges."
"oui, je vous assure que je traiterai monsieur méthodiquement, et dans toutes les régularités de notre art.","allons, monsieur, prenez votre place, monsieur. lorsqu'ils sont assis, les deux médecins lui prennent chacun une main, pour lui tâter le pouls."
"un tel emploi ne me donne que de la joie.","mangez-vous bien, monsieur ?"
"non, s'il vous plaît, je n'entends pas que vous fassiez de dépense, et que vous envoyiez rien acheter pour moi.","tant pis cette grande appétition du froid  et de l'humide est une indication de la chaleur "
"je vous demande de ne me traiter qu'en ami.","faites-vous des songes ?"
"ne vous mettez pas en peine.","de quelle nature sont-ils ?"
"vous vous moquez, et c'est trop de grâce que vous me faites.","vos déjections, comment sont-elles ?"
"je suis votre serviteur.","un peu de patience nous allons raisonner sur votre affaire devant vous"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","comme ainsi soit qu'on ne puisse guérir une maladie qu'on ne la connaisse parfaitement  et qu'on ne la puisse parfaitement connaître sans en bien établir l'idée particulière "
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","et la véritable espèce par ses signes diagnostiques  et prognostiques  vous me permettrez monsieur notre ancien d'entrer en considération de la maladie dont il s'agit"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","avant que de toucher à la thérapeutique et aux remèdes qu'il nous conviendra faire pour la parfaite curation d'icelle.je dis donc monsieur avec votre permission que notre malade ici présent est malheureusement attaqué"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","affecté possédé travaillé de cette sorte de folie que nous nommons fort bien mélancolie hypocondriaque espèce de folie très fâcheuse  et qui ne demande pas moins qu'un esculape comme vous"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","consommé dans notre art vous dis-je qui avez blanchi comme on dit sous le harnois  et auquel il en a tant passé par les mains de toutes les façons.je l'appelle mélancolie hypocondriaque"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","pour la distinguer des deux autres car le célèbre galien établit doctement à son ordinaire trois espèces de cette maladie que nous nommons mélancolie ainsi appelée non seulement par les latins"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire."," mais encore par les grecs  ce qui est bien à remarquer pour notre affaire : la première qui vient du propre vice du cerveau  la seconde qui vient de tout le sang"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","fait et rendu atrabilaire  la troisième appelée hypocondriaque qui est la nôtre laquelle procède du vice de quelque partie du bas-ventre"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire."," et de la région inférieure  mais particulièrement de la rate dont la chaleur et l'inflammation porte au cerveau de notre malade beaucoup de fuligines épaisses "
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","et crasses dont la vapeur noire  et maligne cause dépravation aux fonctions de la faculté princesse  et fait la maladie dont par notre raisonnement il est manifestement atteint "
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","et convaincu.qu'ainsi ne soit pour diagnostique incontestable de ce que je dis vous n'avez qu'à considérer ce grand sérieux que vous voyez cette tristesse accompagnée de crainte "
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","et de défiance signes pathognomoniques  et individuels de cette maladie si bien marquée chez le divin vieillard hippocrate cette physionomie"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","ces yeux rouges et hagards cette grande barbe cette habitude du corps menue grêle noire  et velue lesquels signes le dénotent très affecté de cette maladie"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","procédante du vice des hypocondres laquelle maladie par laps de temps naturalisée envieillie habituée  et ayant pris droit de bourgeoisie chez lui"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","pourrait bien dégénérer ou en manie ou en phtisie ou en apoplexie ou même en fine frénésie et fureur.tout ceci supposé puisqu'une maladie bien connue est à demi guérie"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","car *ignoti nulla est curatio morbi* il ne vous sera pas difficile de convenir des remèdes que nous devons faire à monsieur.premièrement pour remédier à cette pléthore obturante  et à cette cacochymie luxuriante par tout le corps"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","je suis d'avis qu'il soit phlébotomisé libéralement c'est-à-dire que les saignées soient fréquentes  et plantureuses : en premier lieu de la basilique puis de la céphalique"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire."," et même si le mal est opiniâtre de lui ouvrir la veine du front  et que l'ouverture soit large afin que le gros sang puisse sortir "
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire."," et en même temps de le purger désopiler  et évacuer par purgatifs propres  et convenables c'est-à-dire par cholagogues mélanogogues * et cætera* "
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire."," et comme la véritable source de tout le mal est ou une humeur crasse  et féculente ou une vapeur noire  et grossière qui obscurcit infecte "
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","et salit les esprits animaux il est à propos ensuite qu'il prenne un bain d'eau pure  et nette avec force petit-lait clair pour purifier par l'eau la féculence de l'humeur crasse"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire."," et éclaircir par le lait clair la noirceur de cette vapeur   mais avant toute chose je trouve qu'il est bon de le réjouir par agréables conversations"
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","chants et instruments de musique à quoi il n'y a pas d'inconvénient de joindre des danseurs afin que leurs mouvements disposition  et agilité puissent exciter "
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","et réveiller la paresse de ses esprits engourdis qui occasionne l'épaisseur de son sang d'où procède la maladie.voilà les remèdes que j'imagine auxquels pourront être ajoutés beaucoup d'autres meilleurs par monsieur notre maître "
"il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire.","et ancien suivant l'expérience jugement lumière  et suffisance qu'il s'est acquise dans notre art.*dixi*."
"voilà, pour un jeune homme, des domestiques bien lugubres !","messieurs, il y a une heure que je vous écoute. est-ce que nous jouons ici une comédie ?"
"votre très humble valet. voyant qu'ils lui tâtent le pouls.","qu'est-ce que tout ceci ? et que voulez-vous dire avec votre galimatias et vos sottises ?"
"que veut dire cela ?","qu'est-ce que tout ceci ? et que voulez-vous dire avec votre galimatias et vos sottises ?"
"oui, et bois encore mieux.","avec qui m'a-t-on mis ici ? il crache deux ou trois fois."
"oui, quand j'ai bien soupé.","laissons cela, et sortons d'ici."
"quelquefois.","qu'est-ce donc que toute cette affaire ? et que me voulez-vous ?"
"de la nature des songes. quelle diable de conversation est-ce là ?","me guérir."
"ma foi, je ne comprends rien à toutes ces questions, et je veux plutôt boire un coup.","parbleu je ne suis pas malade."
"quel grand raisonnement faut-il pour manger un morceau ?","je vous dis que je me porte bien."
"à dieu ne plaise monsieur qu'il me tombe en pensée d'ajouter rien à ce que vous venez de dire : vous avez si bien discouru sur tous les signes les symptômes ","si vous êtes médecins, je n'ai que faire de vous ; et je me moque de la médecine."
"et les causes de la maladie de monsieur le raisonnement que vous en avez fait est si docte  et si beau qu'il est impossible qu'il ne soit pas fou  et mélancolique hypocondriaque ","si vous êtes médecins, je n'ai que faire de vous ; et je me moque de la médecine."
" et quand il ne le serait pas il faudrait qu'il le devînt pour la beauté des choses que vous avez dites  et la justesse du raisonnement que vous avez fait. oui monsieur","si vous êtes médecins, je n'ai que faire de vous ; et je me moque de la médecine."
"vous avez dépeint fort graphiquement *graphice depinxisti* tout ce qui appartient à cette maladie  il ne se peut rien de plus doctement sagement ingénieusement conçu","si vous êtes médecins, je n'ai que faire de vous ; et je me moque de la médecine."
"pensé imaginé que ce que vous avez prononcé au suj et de ce mal soit pour la diagnose ou la prognose ou la thérapie   et il ne me reste rien ici","si vous êtes médecins, je n'ai que faire de vous ; et je me moque de la médecine."
"que de féliciter monsieur d'être tombé entre vos mains  et de lui dire qu'il est trop heureux d'être fou pour éprouver l'efficace et la douceur des remèdes que vous avez si judicieusement proposés :","si vous êtes médecins, je n'ai que faire de vous ; et je me moque de la médecine."
