"vents, qui troublez les plus beaux jours, rentrez dans vos grottes profondes ;","quels beaux yeux ont percé nos demeures humides ? venez, venez tritons, cachez-vous néréides."
"tous les mortels en foule accourent sur ses bords, et pour faire bientôt une haute fortune,","il est attaché à ses pensées ?"
"il ne faut rien qu'avoir la faveur de *neptune*. pour le marquis de villeroy, représentant un dieu marin","il est attaché à ses pensées ?"
"sur la foi de ce dieu de l'empire flottant on peut bien s'embarquer avec toute assurance ;","il est attaché à ses pensées ?"
"les flots ont de l'inconstance ; mais le *neptune* est constant.","il est attaché à ses pensées ?"
"pour le marquis de rassent, représentant un dieu marin. voguez sur cette mer d'un zèle inébranlable,","il est attaché à ses pensées ?"
"c'est le moyen d'avoir *neptune* favorable.","il est attaché à ses pensées ?"
"non sostrate je ne vois rien où tu puisses avoir recours  et tes maux sont d'une nature à ne te laisser nulle espérance d'en sortir.","il raisonne tout seul."
"hélas !","voilà des soupirs qui veulent dire quelque chose, et ma conjecture se trouvera véritable."
"sur quelles chimères dis-moi pourrais-tu bâtir quelque espoir  et que peux-tu envisager que l'affreuse longueur d'une vie malheureuse","cette tête-là est plus embarrassée que la mienne ?"
"ah ! mon cœur, ah ! mon cœur, où m'avez-vous jeté ?","serviteur, seigneur sostrate."
"où vas-tu, clitidas ?"," mais vous plutôt que faites-vous ici  et quelle secrète mélancolie quelle humeur sombre s'il vous plaît vous peut retenir dans ces bois"
"où vas-tu, clitidas ?","tandis que tout le monde a couru en foule à la magnificence de la fête dont l'amour du prince iphicrate vient de régaler sur la mer la promenade des princesses"
"où vas-tu, clitidas ?","tandis qu'elles y ont reçu des cadeaux merveilleux de musique  et de danse  et qu'on a vu les rochers  et les ondes se parer de divinités pour faire honneur à leurs attraits ?"
"je me figure assez sans la voir cette magnificence  et tant de gens d'ordinaire s'empressent à porter de la confusion dans ces sortes de fêtes que j'ai cru à propos de ne pas augmenter le nombre des importuns.","vous savez que votre présence ne gâte ja mais rien  et que vous n'êtes point de trop en quelque lieu que vous soyez. votre visage est bien venu partout  et il n'a garde d'être de ces visages disgraciés"
"je me figure assez sans la voir cette magnificence  et tant de gens d'ordinaire s'empressent à porter de la confusion dans ces sortes de fêtes que j'ai cru à propos de ne pas augmenter le nombre des importuns.","qui ne sont ja mais bien reçus des regards souverains. vous êtes également bien auprès des deux princesses   et la mère  et la fille vous font assez connaître l'estime qu'elles font de vous pour n'appréhender pas de fatiguer leurs yeux "
"j'avoue que je n'ai pas naturellement grande curiosité pour ces sortes de choses.","mon dieu ! quand on n'aurait nulle curiosité pour les choses on en a toujours pour aller où l'on trouve tout le monde  et quoi que vous puissiez dire on ne demeure point tout seul pendant une fête à rêver parmi des arbres comme vous faites"
"que voudrais-tu que j'y pusse avoir ?","ouais, je ne sais d'où cela vient, mais il sent ici l'amour ; ce n'est pas moi. ah ! par ma foi c'est vous."
"que tu es fou, clitidas.","je ne suis point fou, vous êtes amoureux, j'ai le nez délicat, et j'ai senti cela d'abord."
"sur quoi prends-tu cette pensée ?","sur quoi ? vous seriez bien étonné si je vous disais encore de qui vous êtes amoureux."
"moi ?","oui je gage que je vais deviner tout à l'heure celle que vous aimez. j'ai mes secrets aussi bien que notre astrologue dont la princesse aristione est entêtée "
"moi ?"," et s'il a la science de lire dans les astres la fortune des hommes j'ai celle de lire dans les yeux le nom des personnes qu'on aime."
"moi ?","tenez-vous un peu  et ouvrez les yeux. é par soi é r i ri éri p h i phi ériphi l e le ériphile. vous êtes amoureux de la princesse ériphile."
"ah ! clitidas, j'avoue que je ne puis cacher mon trouble, et tu me frappes d'un coup de foudre.","vous voyez si je suis savant ?"
"hélas ! si par quelque aventure tu as pu découvrir le secr et de mon cœur je te conjure au moins de ne le révéler à qui que ce soit  et surtout de le tenir caché à la belle princesse"," et sérieusement parlant si dans vos actions j'ai bien pu connaître depuis un temps la passion que vous voulez tenir secrète pensez-vous que la princesse ériphile puisse avoir manqué de lumière pour s'en apercevoir ?"
"hélas ! si par quelque aventure tu as pu découvrir le secr et de mon cœur je te conjure au moins de ne le révéler à qui que ce soit  et surtout de le tenir caché à la belle princesse","les belles croyez-moi sont toujours les plus clairvoyantes à découvrir les ardeurs qu'elles causent  et le langage des yeux  et des soupirs se fait entendre mieux qu'à tout autre à celles à qui il s'adresse."
"laissons-la clitidas laissons-la voir si elle peut dans mes soupirs  et mes regards l'amour que ses charmes m'inspirent  mais gardons bien que par nulle autre voie elle en apprenne ja"," et qu'appréhendez-vous ? est-il possible que ce même sostrate qui n'a pas craint ni brennus ni tous les gaulois   et dont le bras a si glorieusement contribué à nous défaire de ce déluge de barbares qui ravageait la grèce ?"
"laissons-la clitidas laissons-la voir si elle peut dans mes soupirs  et mes regards l'amour que ses charmes m'inspirent  mais gardons bien que par nulle autre voie elle en apprenne ja","est-il possible dis-je qu'un homme si assuré dans la guerre soit si timide en amour"
"ah ! clitidas je tremble avec raison  et tous les gaulois du monde ensemble sont bien moins redoutables","je ne suis pas de c et avis  et je sais bien pour moi qu'un seul gaulois l'épée à la main me ferait beaucoup plus trembler que cinquante beaux yeux ensemble les plus charmants du monde."
"mourir sans déclarer ma passion.","l'espérance est belle. allez allez vous vous moquez un peu de hardiesse réussit toujours aux amants  il n'y a en amour que les honteux qui perdent  et je dirais ma passion à une déesse moi"
"trop de choses, hélas ! condamnent mes feux à un éternel silence.","hé quoi ?"
"la bassesse de ma fortune dont il plaît au ciel de rabattre l'ambition de mon amour le rang de la princesse qui m et entre elle  et mes désirs une distance si fâcheuse","le respect bien souvent n'oblige pas tant que l'amour  et je me trompe fort ou la jeune princesse a connu votre flamme  et n'y est pas insensible."
"la concurrence de deux princes appuyés de tous les grands titres qui peuvent soutenir les prétentions de leurs flammes de deux princes qui par mille  et mille magnificences se disputent à tous moments la gloire de sa conquête","le respect bien souvent n'oblige pas tant que l'amour  et je me trompe fort ou la jeune princesse a connu votre flamme  et n'y est pas insensible."
" et sur l'amour de qui on attend tous les jours de voir son choix se déclarer  mais plus que tout clitidas le respect inviolable où ses beaux yeux assujettissent toute la violence de mon ardeur.","le respect bien souvent n'oblige pas tant que l'amour  et je me trompe fort ou la jeune princesse a connu votre flamme  et n'y est pas insensible."
"ah ! ne t'avise point de vouloir flatter par pitié le cœur d'un misérable.","ma conjecture est fondée je lui vois reculer beaucoup le choix de son époux  et je veux éclaircir un peu cette petite affaire-là. vous savez que je suis auprès d'elle en quelque espèce de faveur"
"ah ! ne t'avise point de vouloir flatter par pitié le cœur d'un misérable.","que j'y ai les accès ouverts  et qu'à force de me tourmenter je me suis acquis le privilège de me mêler à la conversation  et parler à tort  et à travers de toutes choses. quelquefois cela ne me réussit pas"
"ah ! ne t'avise point de vouloir flatter par pitié le cœur d'un misérable."," mais quelquefois aussi cela me réussit. laissez-moi faire je suis de vos amis les gens de mérite me touchent  et je veux prendre mon temps pour entretenir la princesse de..."
"ah ! de grâce quelque bonté que mon malheur t'inspire garde-toi bien de lui rien dire de ma flamme. j'aimerais mieux mourir que de pouvoir être accusé par elle de la moindre témérité","taisons-nous, voici tout le monde."
"prince je ne puis me lasser de le dire il n'est point de spectacle au monde qui puisse le disputer en magnificence à celui que vous venez de nous donner. cette fête a eu des ornements qui l'emportent sans doute sur tout ce que l'on saurait voir","ce sont des ornements dont on ne peut pas espérer que toutes les fêtes soient embellies  et je dois fort trembler madame pour la simplicité du petit divertissement que je m'apprête à vous donner dans le bois de diane."
" et elle vient de produire à nos yeux quelque chose de si noble de si grand  et de si majestueux que le ciel même ne saurait aller au delà","ce sont des ornements dont on ne peut pas espérer que toutes les fêtes soient embellies  et je dois fort trembler madame pour la simplicité du petit divertissement que je m'apprête à vous donner dans le bois de diane."
" et je puis dire assurément qu'il n'y a rien dans l'univers qui s'y puisse égaler.","ce sont des ornements dont on ne peut pas espérer que toutes les fêtes soient embellies  et je dois fort trembler madame pour la simplicité du petit divertissement que je m'apprête à vous donner dans le bois de diane."
"je crois que nous n'y verrons rien que de fort agréable  et certes il faut avouer que la campagne a lieu de nous paraître belle  et que nous n'avons pas le temps de nous ennuyer dans c et agréable séjour qu'ont célébré tous les poètes sous le nom de tempé.","une petite indisposition, madame, m'a empêché de m'y trouver."
"car enfin sans parler des plaisirs de la chasse que nous y prenons à toute heure  et de la solennité des jeux pythiens que l'on y célèbre tantôt","une petite indisposition, madame, m'a empêché de m'y trouver."
"vous prenez soin l'un et l'autre de nous y combler de tous les divertissements qui peuvent charmer les chagrins des plus mélancoliques. d'où vient sostrate qu'on ne vous a point vu dans notre promenade ?","une petite indisposition, madame, m'a empêché de m'y trouver."
"sostrate est de ces gens madame qui croient qu'il ne sied pas bien d'être curieux comme les autres  et il est beau d'affecter de ne pas courir où tout le monde court.","seigneur l'affectation n'a guère de part à tout ce que je fais  et sans vous faire compliment il y avait des choses à voir dans cette fête"
"sostrate est de ces gens madame qui croient qu'il ne sied pas bien d'être curieux comme les autres  et il est beau d'affecter de ne pas courir où tout le monde court.","qui pouvaient m'attirer si quelque autre motif ne m'avait retenu."
"et clitidas a-t-il vu cela ?","oui, madame, mais du rivage."
"et pourquoi du rivage ?","ma foi madame j'ai craint quelqu'un des accidents qui arrivent d'ordinaire dans ces confusions. cette nuit j'ai songé de poisson mort  et d'œufs cassés  et j'ai appris du seigneur anaxarque"
"et pourquoi du rivage ?","que les œufs cassés et le poisson mort signifient malencontre."
"je remarque une chose, que clitidas n'aurait rien à dire s'il ne parlait de moi.","c'est qu'il y a tant de choses à dire de vous, qu'on n'en saurait parler assez."
"vous pourriez prendre d'autres matières, puisque je vous en ai prié.","le moyen ? ne dites-vous pas que l'ascendant est plus fort que tout ?  et s'il est écrit dans les astres que je sois enclin à parler de vous"
"avec tout le respect madame que je vous dois il y a une chose qui est fâcheuse dans votre cour : que tout le monde y prenne liberté de parler  et que le plus honnête homme y soit exposé aux railleries du premier méchant plaisant.","je vous rends grâce de l'honneur."
"que vous êtes fou de vous chagriner de ce qu'il dit.","avec tout le respect que je dois à madame il y a une chose qui m'étonne dans l'astrologie comment des gens qui savent tous les secrets des dieux  et qui possèdent des connaissances à se mettre au-dessus de tous les hommes"
"que vous êtes fou de vous chagriner de ce qu'il dit.","aient besoin de faire leur cour et de demander quelque chose."
"vous devriez gagner un peu mieux votre argent, et donner à madame de meilleures plaisanteries.","ma foi on les donne telles qu'on peut. vous en parlez fort à votre aise  et le métier de plaisant n'est pas comme celui d'astrologue."
"vous devriez gagner un peu mieux votre argent, et donner à madame de meilleures plaisanteries.","bien mentir  et bien plaisanter sont deux choses fort différentes  et il est bien plus facile de tromper les gens que de les faire rire."
"eh ! qu'est-ce donc que cela veut dire ?","paix impertinent que vous êtes. ne savez-vous pas bien que l'astrologie est une affaire d'état  et qu'il ne faut point toucher à cette corde-là ? je vous l'ai dit plusieurs fois"
"eh ! qu'est-ce donc que cela veut dire ?","vous vous émancipez trop  et vous prenez de certaines libertés qui vous joueront un mauvais tour  je vous en avertis. vous verrez qu'un de ces jours on vous donnera du pied au cul"
"eh ! qu'est-ce donc que cela veut dire ?"," et qu'on vous chassera comme un faquin taisez-vous si vous êtes sage."
"où est ma fille ?","madame, elle s'est écartée, et je lui ai présenté une main qu'elle a refusé d'accepter."
"princes puisque l'amour que vous avez pour ériphile a bien voulu se soumettre aux lois que j'ai voulu vous imposer puisque j'ai su obtenir de vous que vous fussiez rivaux sans devenir ennemis","madame je ne suis point pour me flatter j'ai fait ce que j'ai pu pour toucher le cœur de la princesse ériphile  et je m'y suis pris que je crois de toutes les tendres manières"
" et qu'avec pleine soumission aux sentiments de ma fille vous attendez un choix dont je l'ai faite seule maîtresse  ouvrez-moi tous deux le fond de votre âme  et me dites sincèrement quel progrès vous croyez l'un ","dont un amant se peut servir. je lui ai fait des hommages soumis de tous mes vœux  j'ai montré des assiduités j'ai rendu des soins chaque jour  j'ai fait chanter ma passion aux voix les plus touchantes"
"princes puisque l'amour que vous avez pour ériphile a bien voulu se soumettre aux lois que j'ai voulu vous imposer puisque j'ai su obtenir de vous que vous fussiez rivaux sans devenir ennemis"," et l'ai fait exprimer en vers aux plumes les plus délicates  je me suis plaint de mon martyre en des termes passionnés j'ai fait dire à mes yeux aussi bien qu'à ma bouche le désespoir de mon amour "
" et qu'avec pleine soumission aux sentiments de ma fille vous attendez un choix dont je l'ai faite seule maîtresse  ouvrez-moi tous deux le fond de votre âme  et me dites sincèrement quel progrès vous croyez l'un ","j'ai poussé à ses pieds des soupirs languissants j'ai même répandu des larmes  mais tout cela inutilement  et je n'ai point connu qu'elle ait dans l'âme aucun ressentiment de mon ardeur."
"et vous prince ?","pour moi madame connaissant son indifférence  et le peu de cas qu'elle fait des devoirs qu'on lui rend je n'ai voulu perdre auprès d'elle ni plaintes ni soupirs ni larmes."
"et vous prince ?","je sais qu'elle est toute soumise à vos volontés  et que ce n'est que de votre main seule qu'elle voudra prendre un époux. aussi n'est-ce qu'à vous que je m'adresse pour l'obtenir à vous plutôt qu'à elle que je rends tous mes soins "
"et vous prince ?","et tous mes hommages.  et plût au ciel madame que vous eussiez pu vous résoudre à tenir sa place  que vous eussiez voulu jouir des conquêtes que vous lui faites"
"prince le compliment est d'un amant adroit  et vous avez entendu dire qu'il fallait cajoler les mères pour obtenir les filles   mais ici par malheur tout cela devient inutile  et je me suis engagée à laisser le choix tout entier à l'inclination de ma fille.","quelque pouvoir que vous lui donniez pour ce choix ce n'est point compliment madame que ce que je vous dis. je ne recherche la princesse ériphile"
"prince le compliment est d'un amant adroit  et vous avez entendu dire qu'il fallait cajoler les mères pour obtenir les filles   mais ici par malheur tout cela devient inutile  et je me suis engagée à laisser le choix tout entier à l'inclination de ma fille.","que parce qu'elle est votre sang je la trouve charmante par tout ce qu'elle tient de vous"
"voilà qui est fort bien.","oui, madame, toute la terre voit en vous des attraits et des charmes que je..."
"de grâce prince ôtons ces charmes  et ces attraits vous savez que ce sont des mots que je retranche des compliments qu'on me veut faire. je souffre qu'on me loue de ma sincérité qu'on dise que je suis une bonne princesse","ah ! madame c'est vous qui voulez être mère malgré tout le monde  il n'est point d'yeux qui ne s'y opposent  et si vous le vouliez"
"que j'ai de la parole pour tout le monde de la chaleur pour mes amis  et de l'estime pour le mérite  et la vertu je puis tâter de tout cela ","ah ! madame c'est vous qui voulez être mère malgré tout le monde  il n'est point d'yeux qui ne s'y opposent  et si vous le vouliez"
" mais pour les douceurs de charmes  et d'attraits je suis bien aise qu'on ne m'en serve point  et quelque vérité qui s'y pût rencontrer on doit faire quelque scrupule d'en goûter la louange","ah ! madame c'est vous qui voulez être mère malgré tout le monde  il n'est point d'yeux qui ne s'y opposent  et si vous le vouliez"
"mon dieu prince je ne donne point dans tous ces galimatias où donnent la plupart des femmes  je veux être mère parce que je la suis  et ce serait en vain que je ne la voudrais pas être.","ce sont obscurités pour moi."
"ce titre n'a rien qui me choque puisque de mon consentement je me suis exposée à le recevoir c'est un faible de notre sexe dont grâce au ciel je suis exempte","ce sont obscurités pour moi."
" et je ne m'embarrasse point de ces grandes disputes d'âge sur quoi nous voyons tant de folles. revenons à notre discours. est-il possible que jusqu'ici vous n'ayez pu connaître où penche l'inclination d'ériphile ?","ce sont obscurités pour moi."
"c'est pour moi un mystère impénétrable.","la pudeur peut-être l'empêche de s'expliquer à vous et à moi servons-nous de quelque autre pour découvrir le secr et de son cœur. sostrate prenez de ma part cette commission  et rendez c"
"c'est pour moi un mystère impénétrable.","et office à ces princes de savoir adroitement de ma fille vers qui des deux ses sentiments peuvent tourner."
"madame vous avez cent personnes dans votre cour sur qui vous pourriez mieux verser l'honneur d'un tel emploi  et je me sens mal propre à bien exécuter ce que vous souhaitez de moi.","votre mérite sostrate n'est point borné aux seuls emplois de la guerre vous avez de l'esprit de la conduite de l'adresse  et ma fille fait cas de vous."
"quelque autre mieux que moi, madame, ...","non, non ; en vain vous vous en défendez."
"puisque vous le voulez madame il vous faut obéir  mais je vous jure que dans toute votre cour vous ne pouviez choisir personne qui ne fût en état de s'acquitter beaucoup mieux que moi d'une telle commission.","c'est trop de modestie  et vous vous acquitterez toujours bien de toutes les choses dont on vous chargera. découvrez doucement les sentiments d'ériphile  et faites-la ressouvenir qu'il faut se rendre de bonne heure dans le bois de diane."
"vous pouvez croire que je prends part à l'estime que la princesse vous témoigne.","vous pouvez croire que je suis ravi du choix que l'on a fait de vous."
"vous voilà en état de servir vos amis.","vous avez de quoi rendre de bons offices aux gens qu'il vous plaira."
"je ne vous recommande point mes intérêts.","je ne vous dis point de parler pour moi."
"seigneurs il serait inutile j'aurais tort de passer les ordres de ma commission  et vous trouverez bon que je ne parle ni pour l'un ni pour l'autre.","je vous laisse agir comme il vous plaira."
"vous en userez comme vous voudrez.","clitidas se ressouvient bien qu'il est de mes amis je lui recommande toujours de prendre mes intérêts auprès de sa maîtresse"
"laissez-moi faire, il y a bien de la comparaison de lui à vous, et c'est un prince bien bâti pour vous le disputer.","je reconnaîtrai ce service."
"mon rival fait sa cour à clitidas  mais clitidas sait bien qu'il m'a promis d'appuyer contre lui les prétentions de mon amour.","assurément, et il se moque de croire l'emporter sur vous ; voilà, auprès de vous un beau petit morveux de prince."
"il n'y a rien que je ne fasse pour clitidas.","belles paroles de tous côtés. voici la princesse ; prenons mon temps pour l'aborder."
"on trouvera étrange, madame, que vous vous soyez ainsi écartée de tout le monde.","ah ! qu'aux personnes comme nous qui sommes toujours accablées de tant de gens un peu de solitude est parfois agréable  et qu'après mille impertinents entretiens"
"on trouvera étrange, madame, que vous vous soyez ainsi écartée de tout le monde.","il est doux de s'entretenir avec ses pensées. qu'on me laisse ici promener toute seule."
"ne voudriez-vous pas madame voir un petit essai de la disposition de ces gens admirables qui veulent se donner à vous ? ce sont des personnes qui par leurs pas leurs gestes  et leurs mouvements expriment aux yeux toutes choses ","vous avez bien la mine cléonice de me venir ici régaler d'un mauvais divertissement  car grâce au ciel vous ne manquez pas de vouloir produire indifféremment tout ce qui se présente à vous"
" et on appelle cela pantomimes. j'ai tremblé à vous dire ce mot  et il y a des gens dans votre cour qui ne me le pardonneraient pas."," et vous avez une affabilité qui ne rejette rien. aussi est-ce à vous seule qu'on voit avoir recours toutes les muses nécessitantes vous êtes la grande protectrice du mérite incommodé"
"ne voudriez-vous pas madame voir un petit essai de la disposition de ces gens admirables qui veulent se donner à vous ? ce sont des personnes qui par leurs pas leurs gestes  et leurs mouvements expriment aux yeux toutes choses "," et tout ce qu'il y a de vertueux indigents au monde va débarquer chez vous."
"si vous n'avez pas envie de les voir, madame, il ne faut que les laisser là.","non, non, voyons-les, faites-les venir."
"mais peut-être, madame, que leur danse sera méchante.","méchante, ou non, il la faut voir ; ce ne serait avec vous que reculer la chose, et il vaut mieux en être quitte."
"ce ne sera ici, madame, qu'une danse ordinaire, une autre fois...","la confidente de la jeune princesse lui produit trois danseurs sous le nom de pantomimes c'est-à-dire qui expriment par leurs gestes toutes sortes de choses."
"ce ne sera ici, madame, qu'une danse ordinaire, une autre fois...","de trois pantomimes."
"voilà qui est admirable ! je ne crois pas qu'on puisse mieux danser qu'ils dansent","et moi, madame, je suis bien aise que vous ayez vu que je n'ai pas si méchant goût que vous avez pensé."
"ne triomphez point tant, vous ne tarderez guère à me faire avoir ma revanche, qu'on me laisse ici.","je vous avertis, clitidas, que la princesse veut être seule."
"laissez-moi faire, je suis homme qui sais ma cour.","la, la, la, la, ah !"
"clitidas.","je ne vous avais pas vue là, madame."
"approche. d'où viens-tu ?","de laisser la princesse votre mère qui s'en allait vers le temple d'apollon, accompagnée de beaucoup de gens."
"ne trouves-tu pas ces lieux les plus charmants du monde ?","assurément. les princes vos amants y étaient."
"le fleuve pénée fait ici d'agréables détours.","fort agréables. sostrate y était aussi."
"d'où vient qu'il n'est pas venu à la promenade ?","il a quelque chose dans la tête qui l'empêche de prendre plaisir à tous ces beaux régales. il m'a voulu entretenir  mais vous m'avez défendu si expressément de me charger d'aucune affaire auprès de vous"
"d'où vient qu'il n'est pas venu à la promenade ?","que je n'ai point voulu lui prêter l'oreille  et je lui ai dit nettement que je n'avais pas le loisir de l'entendre."
"tu as eu tort de lui dire cela, et tu devais l'écouter.","je lui ai dit d'abord que je n'avais pas le loisir de l'entendre, mais après je lui ai donné audience."
"tu as bien fait.","en vérité c'est un homme qui me revient un homme fait comme je veux que les hommes soient faits. ne prenant point des manières bruyantes et des tons de voix assommants "
"tu as bien fait.","sage et posé en toutes choses ne parlant ja mais que bien à propos  point prompt à décider point du tout exagérateur incommode   et quelques beaux vers que nos poètes lui aient récités"
"tu as bien fait.","je ne lui ai ja mais ouï dire *voilà qui est plus beau que tout ce qu'a ja mais fait homère. *enfin c'est un homme pour qui je me sens de l'inclination"
"c'est un homme d'un grand mérite assurément, mais de quoi t'a-t-il parlé ?","il m'a demandé si vous aviez témoigné grande joie au magnifique régale que l'on vous a donné m'a parlé de votre personne avec des transports les plus grands du monde"
"c'est un homme d'un grand mérite assurément, mais de quoi t'a-t-il parlé ?","vous a mise au-dessus du ciel  et vous a donné toutes les louanges qu'on peut donner à la princesse la plus accomplie de la terre entremêlant tout cela de plusieurs soupirs qui disaient plus qu'il ne voulait."
"c'est un homme d'un grand mérite assurément, mais de quoi t'a-t-il parlé ?","enfin à force de le tourner de tous côtés  et de le presser sur la cause de cette profonde mélancolie dont toute la cour s'aperçoit il a été contraint de m'avouer qu'il était amoureux."
"comment amoureux ? quelle témérité est la sienne ? c'est un extravagant que je ne verrai de ma vie.","de quoi vous plaignez-vous, madame ?"
"avoir l'audace de m'aimer, et de plus avoir l'audace de le dire ?","ce n'est pas vous, madame, dont il est amoureux."
"ce n'est pas moi ?","non, madame, il vous respecte trop pour cela, et est trop sage pour y penser."
"et de qui donc, clitidas ?","d'une de vos filles, la jeune arsinoé."
"a-t-elle tant d'appas, qu'il n'ait trouvé qu'elle digne de son amour ?","il l'aime éperdument, et vous conjure d'honorer sa flamme de votre protection."
"moi ?","non non madame je vois que la chose ne vous plaît pas. votre colère m'a obligé à prendre ce détour  et pour vous dire la vérité c'est vous qu'il aime éperdument."
"vous êtes un insolent de venir ainsi surprendre mes sentiments. allons sortez d'ici vous vous mêlez de vouloir lire dans les âmes ","madame."
"de vouloir pénétrer dans les secrets du cœur d'une princesse. ôtez-vous de mes yeux  et que je ne vous voie jamais clitidas.","madame."
"venez ici. je vous pardonne cette affaire-là.","trop de bonté, madame."
" mais à condition prenez bien garde à ce que je vous dis que vous n'en ouvrirez la bouche à personne du monde sur peine de la vie.","il suffit."
"sostrate t'a donc dit qu'il m'aimait ?","non madame il faut vous dire la vérité  j'ai tiré de son cœur par surprise un secr et qu'il veut cacher à tout le monde  et avec lequel il est dit-il"
"sostrate t'a donc dit qu'il m'aimait ?","résolu de mourir. il a été au désespoir du vol subtil que je lui en ai fait  et bien loin de me charger de vous le découvrir il m'a conjuré avec toutes les instantes prières qu'on saurait faire"
"sostrate t'a donc dit qu'il m'aimait ?","de ne vous en rien révéler  et c'est trahison contre lui que ce que je viens de vous dire."
"tant mieux c'est par son seul respect qu'il peut me plaire  et s'il était si hardi que de me déclarer son amour","ne craignez point, madame..."
"le voici ; souvenez-vous au moins si vous êtes sage de la défense que je vous ai faite.","cela est fait, madame, il ne faut pas être courtisan indiscret."
"j'ai une excuse madame pour oser interrompre votre solitude  et j'ai reçu de la princesse votre mère une commission qui autorise la hardiesse que je prends maintenant.","quelle commission, sostrate ?"
"celle, madame, de tâcher d'apprendre de vous vers lequel des deux princes peut incliner votre cœur.","la princesse ma mère montre un esprit judicieux dans le choix qu'elle a fait de vous pour un pareil emploi. cette commission sostrate vous a été agréable sans doute  et vous l'avez acceptée avec beaucoup de joie."
"je l'ai acceptée madame par la nécessité que mon devoir m'impose d'obéir  et si la princesse avait voulu recevoir mes excuses elle aurait honoré quelque autre de c","quelle cause, sostrate, vous obligeait à le refuser ?"
"la crainte, madame, de m'en acquitter mal.","croyez-vous que je ne vous estime pas assez pour vous ouvrir mon cœur  et vous donner toutes les lumières que vous pourrez désirer de moi sur le suj"
"je ne désire rien pour moi là-dessus madame  et je ne vous demande que ce que vous croirez devoir donner aux ordres qui m'amènent.","jusques ici je me suis défendue de m'expliquer  et la princesse ma mère a eu la bonté de souffrir que j'aie reculé toujours ce choix qui me doit engager   mais je serai bien aise de témoigner à tout le monde que je veux faire quelque chose pour l'amour de vous"
"je ne désire rien pour moi là-dessus madame  et je ne vous demande que ce que vous croirez devoir donner aux ordres qui m'amènent."," et si vous m'en pressez je rendrai c et arrêt qu'on attend depuis si longtemps."
"c'est une chose madame dont vous ne serez point importunée par moi  et je ne saurais me résoudre à presser une princesse qui sait trop ce qu'elle a à faire.","mais c'est ce que la princesse ma mère attend de vous."
"ne lui ai-je pas dit aussi que je m'acquitterais mal de cette commission ?","ô çà sostrate les gens comme vous ont toujours les yeux pénétrants  et je pense qu'il ne doit y avoir guère de choses qui échappent aux vôtres."
"ne lui ai-je pas dit aussi que je m'acquitterais mal de cette commission ?","n'ont-ils pu découvrir vos yeux ce dont tout le monde est en peine  et ne vous ont-ils point donné quelques petites lumières du penchant de mon cœur ?"
"ne lui ai-je pas dit aussi que je m'acquitterais mal de cette commission ?","vous voyez les soins qu'on me rend l'empressement qu'on me témoigne  quel est celui de ces deux princes que vous croyez que je regarde d'un œil plus doux ?"
"les doutes que l'on forme sur ces sortes de choses, ne sont réglés d'ordinaire que par les intérêts qu'on prend.","pour qui, sostrate, pencheriez-vous des deux ? quel est celui, dites-moi, que vous souhaiteriez que j'épousasse ?"
"ah ! madame, ce ne seront pas mes souhaits, mais votre inclination qui décidera de la chose.","mais si je me conseillais à vous pour ce choix ?"
