"ah ! charmante daphné.","trop aimable éroxène."
"l'aimes-tu d'une amour qui soit si violente ?","il n'est point de froideur qu'il ne puisse enflammer, et sa grâce naissante a de quoi tout charmer."
"il n'est nymphe en l'aimant qui ne se tînt heureuse, et diane sans honte en serait amoureuse.","rien que son air charmant ne me touche aujourd'hui ; et si j'avais cent cœurs, ils seraient tous pour lui."
"il efface à mes yeux tout ce qu'on voit paraître, et si j'avais un sceptre, il en serait le maître.","ce serait donc en vain qu'à chacune, en ce jour, on nous voudrait du sein arracher cet amour."
"il efface à mes yeux tout ce qu'on voit paraître, et si j'avais un sceptre, il en serait le maître.","nos âmes dans leurs vœux sont trop bien affermies, ne tâchons, s'il se peut, qu'à demeurer amies."
"il efface à mes yeux tout ce qu'on voit paraître, et si j'avais un sceptre, il en serait le maître.","et puisque en même temps pour le même sujet, nous avons toutes deux formé même projet,"
"il efface à mes yeux tout ce qu'on voit paraître, et si j'avais un sceptre, il en serait le maître.","mettons dans ce débat la franchise en usage, ne prenons l'une et l'autre aucun lâche avantage,"
"il efface à mes yeux tout ce qu'on voit paraître, et si j'avais un sceptre, il en serait le maître.","et courons nous ouvrir ensemble à lycarsis, des tendres sentiments où nous jette son fils."
"j'ai peine à concevoir, tant la surprise est forte, comme un tel fils est né d'un père de la sorte,","soit, je vois lycarsis avec mopse et nicandre, ils pourront le quitter, cachons-nous pour attendre."
"et sa taille, son air, sa parole et ses yeux, feraient croire qu'il est issu du sang des dieux :","soit, je vois lycarsis avec mopse et nicandre, ils pourront le quitter, cachons-nous pour attendre."
"mais enfin j'y souscris, courons trouver ce père, allons-lui de nos cœurs découvrir le mystère,","soit, je vois lycarsis avec mopse et nicandre, ils pourront le quitter, cachons-nous pour attendre."
"et consentons qu'après myrtil, entre nous deux, décide par son choix ce combat de nos vœux.","soit, je vois lycarsis avec mopse et nicandre, ils pourront le quitter, cachons-nous pour attendre."
"dis-nous donc ta nouvelle.","ah ! que vous me pressez ! cela ne se dit pas comme vous le pensez."
"que de sottes façons, et que de badinage, ménalque pour chanter n'en fait pas davantage.","parmi les curieux des affaires d'état, une nouvelle à dire est d'un puissant éclat."
"que de sottes façons, et que de badinage, ménalque pour chanter n'en fait pas davantage.","je me veux mettre un peu sur l'homme d'importance, et jouir quelque temps de votre impatience."
"veux-tu par tes délais nous fatiguer tous deux ?","prends-tu quelque plaisir à te rendre fâcheux ?"
"de grâce, parle, et mets ces mines en arrière.","priez-moi donc tous deux de la bonne manière, et me dites chacun quel don vous me ferez,"
"de grâce, parle, et mets ces mines en arrière.","pour obtenir de moi ce que vous désirez."
"la peste soit du fat, laissons-le là, nicandre, il brûle de parler, bien plus que nous d'entendre.","eh."
"sa nouvelle lui pèse, il veut s'en décharger, et ne l'écouter pas, est le faire enrager.","eh."
"te voilà puni de tes façons de faire.","je m'en vais vous le dire, écoutez."
"point d'affaire.","quoi vous ne voulez pas m'entendre ?"
"non.","eh bien je ne dirai donc mot, et vous ne saurez rien."
"soit.","vous ne saurez pas qu'avec magnificence, le roi vient d'honorer tempé de sa présence :"
"soit.","qu'il entra dans larisse hier sur le haut du jour : qu'à l'aise je l'y vis avec toute sa cour."
"soit.","que ces bois vont jouir aujourd'hui de sa vue, et qu'on raisonne fort touchant cette venue."
"nous n'avons pas envie aussi de rien savoir.","je vis cent choses là ravissantes à voir. ce ne sont que seigneurs, qui des pieds à la tête,"
"nous n'avons pas envie aussi de rien savoir.","sont brillants et parés comme au jour d'une fête, ils surprennent la vue et nos prés au printemps"
"nous n'avons pas envie aussi de rien savoir.","avec toutes leurs fleurs sont bien moins éclatants. pour le prince entre tous, sans peine on le remarque,"
"nous n'avons pas envie aussi de rien savoir.","et d'une stade loin, il sent son grand monarque, dans toute sa personne, il a je ne sais quoi,"
"nous n'avons pas envie aussi de rien savoir.","qui d'abord fait juger que c'est un maître roi. il le fait d'une grâce à nulle autre seconde,"
"nous n'avons pas envie aussi de rien savoir.","et cela sans mentir lui sied le mieux du monde. on ne croirait jamais comme de toutes parts,"
"nous n'avons pas envie aussi de rien savoir.","toute sa cour s'empresse à chercher ses regards : ce sont autour de lui confusions plaisantes,"
"nous n'avons pas envie aussi de rien savoir.","et l'on dirait d'un tas de mouches reluisantes, qui suivent en tous lieux un doux rayon de miel."
"nous n'avons pas envie aussi de rien savoir.","enfin l'on ne voit rien de si beau sous le ciel, et la fête de pan parmi nous si chérie,"
"nous n'avons pas envie aussi de rien savoir.","auprès de ce spectacle est une gueuserie : mais puisque sur le fier vous vous tenez si bien,"
"nous n'avons pas envie aussi de rien savoir.","je garde ma nouvelle, et ne veux dire rien."
"et nous ne te voulons aucunement entendre.","allez vous promener."
"va-t'en te faire pendre.","c'est de cette façon que l'on punit les gens, quand ils font les benêts et les impertinents."
"le ciel tienne, pasteur, vos brebis toujours saines.","cérès tienne de grains vos granges toujours pleines."
"et le grand pan vous donne à chacune un époux qui vous aime beaucoup, et soit digne de vous.","ah ! lycarsis, nos vœux à même but aspirent."
"c'est pour le même objet que nos deux cœurs soupirent.","et l'amour, cet enfant qui cause nos langueurs, a pris chez vous le trait dont il blesse nos cœurs."
"et nous venons ici chercher votre alliance, et voir qui de nous deux aura la préférence.","nymphes…"
"pour ce bien seul nous poussons des soupirs.","je suis…"
"à ce bonheur tendent tous nos désirs.","c'est un peu librement expliquer sa pensée."
"pourquoi.","la bienséance y semble un peu blessée."
"ah point.","mais quand le cœur brûle d'un noble feu, on peut sans nulle honte en faire un libre aveu."
"je…","cette liberté nous peut être permise, et du choix de nos cœurs la beauté l'autorise."
"c'est blesser ma pudeur que me flatter ainsi.","non, non, n'affectez point de modestie ici."
"enfin tout notre bien est en votre puissance.","c'est de vous que dépend notre unique espérance."
"trouverons-nous en vous quelques difficultés ?","ah."
"nos vœux, dites-moi, seront-ils rejetés ?","non, j'ai reçu du ciel une âme peu cruelle ; je tiens de feu ma femme, et je me sens comme elle"
"nos vœux, dites-moi, seront-ils rejetés ?","pour les désirs d'autrui beaucoup d'humanité, et je ne suis point homme à garder de fierté."
"accordez donc myrtil à notre amoureux zèle.","et souffrez que son choix règle notre querelle."
"myrtil ?","oui, c'est myrtil que de vous nous voulons."
"de qui pensez-vous donc qu'ici nous vous parlons ?","je ne sais, mais myrtil n'est guère dans un âge qui soit propre à ranger au joug du mariage."
"son mérite naissant peut frapper d'autres yeux, et l'on veut s'engager un bien si précieux,","comme par son esprit et ses autres brillants, il rompt l'ordre commun et devance le temps,"
"prévenir d'autres cœurs, et braver la fortune sous les fermes liens d'une chaîne commune.","notre flamme pour lui veut en faire de même, et régler tous ses vœux sur son mérite extrême."
"il est vrai qu'à son âge, il surprend quelquefois. et cet athénien qui fut chez moi vingt mois,","il n'est point tant enfant, qu'à le voir chaque jour, je ne le croie atteint déjà d'un peu d'amour,"
"qui le trouvant joli, se mit en fantaisie de lui remplir l'esprit de sa philosophie,","et plus d'une aventure à mes yeux s'est offerte, où j'ai connu qu'il suit la jeune mélicerte."
"sur de certains discours l'a rendu si profond, que tout grand que je suis, souvent il me confond.","il n'est point tant enfant, qu'à le voir chaque jour, je ne le croie atteint déjà d'un peu d'amour,"
"mais, avec tout cela, ce n'est encore qu'enfance, et son fait est mêlé de beaucoup d'innocence.","et plus d'une aventure à mes yeux s'est offerte, où j'ai connu qu'il suit la jeune mélicerte."
"ils pourraient bien s'aimer, et je vois…","franc abus. pour elle passe encore, elle a deux ans de plus,"
"ils pourraient bien s'aimer, et je vois…","et deux ans dans son sexe est une grande avance. mais pour lui, le jeu seul l'occupe tout, je pense,"
"ils pourraient bien s'aimer, et je vois…","et les petits désirs de se voir ajusté ainsi que les bergers de haute qualité."
"enfin nous désirons par le nœud d'hyménée, attacher sa fortune à notre destinée.","nous voulons l'une et l'autre avec pareille ardeur, nous assurer de loin l'empire de son cœur."
"je m'en tiens honoré autant qu'on saurait croire. je suis un pauvre pâtre, et ce m'est trop de gloire,","innocente petite bête, qui contre ce qui vous arrête,"
"que deux nymphes d'un rang le plus haut du pays, disputent à se faire un époux de mon fils.","vous débattez tant à mes yeux, de votre liberté ne plaignez point la perte,"
"puisqu'il vous plaît qu'ainsi la chose s'exécute, je consens que son choix règle votre dispute,","votre destin est glorieux, je vous ai pris pour mélicerte."
"et celle qu'à l'écart laissera cet arrêt, pourra pour son recours m'épouser, s'il lui plaît.","elle vous baisera, vous prenant dans sa main, et de vous mettre en son sein,"
"c'est toujours même sang et presque même chose. mais le voici, souffrez qu'un peu je le dispose,","elle vous fera la grâce. est-il un sort au monde et plus doux et plus beau ?"
"il tient quelque moineau qu'il a pris fraîchement. et voilà ses amours et son attachement.","et qui des rois, hélas, heureux petit moineau, ne voudrait être en votre place ?"
"myrtil, myrtil, un mot, laissons là ces joyaux, il s'agit d'autre chose ici que de moineaux.","ces nymphes…"
"ces deux nymphes, myrtil, à la fois te prétendent, et tout jeune déjà pour époux te demandent.","ces nymphes…"
"je dois par un hymen t'engager à leurs vœux, et c'est toi que l'on veut qui choisisse des deux.","ces nymphes…"
"oui ; des deux tu peux en choisir une ; vois quel est ton bonheur, et bénis la fortune.","ce choix qui m'est offert, peut-il m'être un bonheur, s'il n'est aucunement souhaité de mon cœur ?"
"enfin, qu'on le reçoive, et que sans se confondre, a l'honneur qu'elles font, on songe à bien répondre.","malgré cette fierté qui règne parmi nous, deux nymphes, ô myrtil, viennent s'offrir à vous,"
"enfin, qu'on le reçoive, et que sans se confondre, a l'honneur qu'elles font, on songe à bien répondre.","et de vos qualités les merveilles écloses, font que nous renversons ici l'ordre des choses."
"nous vous laissons, myrtil, pour l'avis le meilleur, consulter sur ce choix vos yeux et votre cœur,","c'est me faire un honneur dont l'éclat me surprend ; mais cet honneur pour moi, je l'avoue, est trop grand."
"et nous n'en voulons point prévenir les suffrages par un récit paré de tous nos avantages.","à vos rares bontés, il faut que je m'oppose, pour mériter ce sort, je suis trop peu de chose :"
"nous vous laissons, myrtil, pour l'avis le meilleur, consulter sur ce choix vos yeux et votre cœur,","et je serais fâché, quels qu'en soient les appas, qu'on vous blâmât pour moi de faire un choix trop bas."
"contentez nos désirs, quoi qu'on en puisse croire, et ne vous chargez point du soin de notre gloire.","non, ne descendez point dans ces humilités, et laissez-nous juger ce que vous méritez."
"le choix qui m'est offert s'oppose à votre attente, et peut seul empêcher que mon cœur vous contente.","mais en faisant refus de répondre à nos vœux, au lieu d'une, myrtil, vous en outragez deux."
"le moyen de choisir de deux grandes beautés, égales en naissance, et rares qualités ?","mais en faisant refus de répondre à nos vœux, au lieu d'une, myrtil, vous en outragez deux."
"rejeter l'une ou l'autre est un crime effroyable ; et n'en choisir aucune est bien plus raisonnable.","mais en faisant refus de répondre à nos vœux, au lieu d'une, myrtil, vous en outragez deux."
"puisque nous consentons à l'arrêt qu'on peut rendre, ces raisons ne font rien à vouloir s'en défendre.","eh bien, si ces raisons ne vous satisfont pas, celle-ci le fera, j'aime d'autres appas,"
"puisque nous consentons à l'arrêt qu'on peut rendre, ces raisons ne font rien à vouloir s'en défendre.","et je sens bien qu'un cœur, qu'un bel objet engage, est insensible et sourd à tout autre avantage."
"comment donc ? qu'est-ce ci ? qui l'eût pu présumer ? et savez-vous, morveux, ce que c'est que d'aimer ?","sans savoir ce que c'est, mon cœur a su le faire."
"mais cet amour me choque, et n'est pas nécessaire.","vous ne deviez donc pas, si cela vous déplaît, me faire un cœur sensible et tendre comme il est."
"mais ce cœur que j'ai fait, me doit obéissance.","oui, lorsque d'obéir il est en sa puissance."
"mais enfin, sans mon ordre, il ne doit point aimer.","que n'empêchiez-vous donc que l'on pût le charmer ?"
"eh bien, je vous défends que cela continue.","la défense, j'ai peur, sera trop tard venue."
"quoi, les pères n'ont pas des droits supérieurs ?","les dieux qui sont bien plus ne forcent point les cœurs."
"les dieux… paix, petit sot, cette philosophie me…","ne vous mettez point en courroux, je vous prie."
"non, je veux qu'il se donne à l'une pour époux, ou je vais lui donner le fouet tout devant vous :","traitons, de grâce, ici les choses sans colère."
"ah, ah, je vous ferai sentir que je suis père.","traitons, de grâce, ici les choses sans colère."
"peut-on savoir de vous cet objet si charmant, dont la beauté, myrtil, vous a fait son amant ?","mélicerte, madame, elle en peut faire d'autres."
"vous comparez, myrtil, ses qualités aux nôtres ?","le choix d'elle et de nous est assez inégal."
"nymphes, au nom des dieux, n'en dites point de mal, daignez considérer, de grâce, que je l'aime,","myrtil, holà, myrtil, veux-tu revenir, traître. il fuit, mais on verra qui de nous est le maître."
"et ne me jetez point dans un désordre extrême. si j'outrage en l'aimant vos célestes attraits,","ne vous effrayez point de tous ces vains transports,"
"elle n'a point de part au crime que je fais : c'est de moi, s'il vous plaît, que vient toute l'offense.","myrtil, holà, myrtil, veux-tu revenir, traître. il fuit, mais on verra qui de nous est le maître."
"il est vrai d'elle à vous, je sais la différence ; mais par sa destinée on se trouve enchaîné,","ne vous effrayez point de tous ces vains transports,"
"et je sens bien enfin que le ciel m'a donné pour vous tout le respect, nymphes, imaginable :","myrtil, holà, myrtil, veux-tu revenir, traître. il fuit, mais on verra qui de nous est le maître."
"pour elle tout l'amour dont une âme est capable. je vois à la rougeur qui vient de vous saisir,","ne vous effrayez point de tous ces vains transports,"
"que ce que je vous dis ne vous fait pas plaisir. si vous parlez, mon cœur appréhende d'entendre","myrtil, holà, myrtil, veux-tu revenir, traître. il fuit, mais on verra qui de nous est le maître."
"ce qui peut le blesser par l'endroit le plus tendre : et pour me dérober à de semblables coups,","ne vous effrayez point de tous ces vains transports,"
"nymphes, j'aime bien mieux prendre congé de vous.","myrtil, holà, myrtil, veux-tu revenir, traître. il fuit, mais on verra qui de nous est le maître."
"ah, corinne, tu viens de l'apprendre de stelle, et c'est de lycarsis qu'elle tient la nouvelle.","oui."
"que les qualités, dont myrtil est orné, ont su toucher d'amour éroxène et daphné.","oui."
"que pour l'obtenir leur ardeur est si grande, qu'ensemble elles en ont déjà fait la demande,","mais quoi, que voulez-vous, c'est là la vérité, et vous redites tout, comme je l'ai conté."
"et que dans ce débat elles ont fait dessein de passer dès cette heure à recevoir sa main.","mais quoi, que voulez-vous, c'est là la vérité, et vous redites tout, comme je l'ai conté."
"ah, que tes mots ont peine à sortir de ta bouche, et que c'est faiblement que mon souci te touche.","mais quoi, que voulez-vous, c'est là la vérité, et vous redites tout, comme je l'ai conté."
"mais comment lycarsis reçoit-il cette affaire ?","comme un honneur, je crois, qui doit beaucoup lui plaire."
"et ne vois-tu pas bien, toi qui sais mon ardeur, qu'avec ce mot, hélas ! tu me perces le cœur.","comment ?"
"me mettre aux yeux que le sort implacable auprès d'elles me rend trop peu considérable,","mais quoi ? je vous réponds et dis ce que je pense."
"et qu'à moi par leur rang on les va préférer, n'est-ce pas une idée à me désespérer ?","mais quoi ? je vous réponds et dis ce que je pense."
"ah, tu me fais mourir par ton indifférence. mais dis, quels sentiments myrtil a-t-il fait voir ?","je ne sais."
"et c'est là ce qu'il fallait savoir, cruelle.","en vérité, je ne sais comment faire, et de tous les côtés je trouve à vous déplaire."
"c'est que tu n'entres point dans tous les mouvements d'un cœur, hélas rempli de tendres sentiments.","vous le voyez, mon cœur, ce que c'est que d'aimer, et bélise avait su trop bien m'en informer."
"va-t'en, laisse-moi seule en cette solitude passer quelques moments de mon inquiétude.","cette charmante mère avant sa destinée, me disait une fois, sur le bord du pénée,"
"c'est que tu n'entres point dans tous les mouvements d'un cœur, hélas rempli de tendres sentiments.","ma fille, songe à toi, l'amour aux jeunes cœurs se présente toujours entouré de douceurs."
"va-t'en, laisse-moi seule en cette solitude passer quelques moments de mon inquiétude.","d'abord il n'offre aux yeux que choses agréables : mais il traîne après lui des troubles effroyables."
"c'est que tu n'entres point dans tous les mouvements d'un cœur, hélas rempli de tendres sentiments.","et si tu veux passer tes jours dans quelque paix, toujours comme d'un mal défends-toi de ses traits."
"va-t'en, laisse-moi seule en cette solitude passer quelques moments de mon inquiétude.","de ces leçons, mon cœur, je m'étais souvenue : et quand myrtil venait à s'offrir à ma vue,"
"c'est que tu n'entres point dans tous les mouvements d'un cœur, hélas rempli de tendres sentiments.","qu'il jouait avec moi, qu'il me rendait des soins, je vous disais toujours de vous y plaire moins."
"va-t'en, laisse-moi seule en cette solitude passer quelques moments de mon inquiétude.","vous ne me crûtes point, et votre complaisance se vit bientôt changée en trop de bienveillance."
"c'est que tu n'entres point dans tous les mouvements d'un cœur, hélas rempli de tendres sentiments.","dans ce naissant amour qui flattait vos désirs, vous ne vous figuriez que joie et que plaisirs :"
"va-t'en, laisse-moi seule en cette solitude passer quelques moments de mon inquiétude.","cependant vous voyez la cruelle disgrâce, dont en ce triste jour le destin vous menace,"
"c'est que tu n'entres point dans tous les mouvements d'un cœur, hélas rempli de tendres sentiments.","et la peine mortelle où vous voilà réduit ! ah, mon cœur ! ah, mon cœur ! je vous l'avais bien dit :"
"va-t'en, laisse-moi seule en cette solitude passer quelques moments de mon inquiétude.","mais tenons, s'il se peut, notre douleur couverte. voici…"
"j'ai fait tantôt, charmante mélicerte, un petit prisonnier que je garde pour vous,","ce n'est rien."
"et dont peut-être un jour je deviendrai jaloux. c'est un jeune moineau, qu'avec un soin extrême","ce n'est rien."
"je veux pour vous l'offrir apprivoiser moi-même. le présent n'est pas grand ; mais les divinités","ce n'est rien."
"ne jettent leurs regards que sur les volontés. c'est le cœur qui fait tout, et jamais la richesse","ce n'est rien."
"des présents que… mais, ciel, d'où vient cette tristesse ? qu'avez-vous, mélicerte, et quel sombre chagrin","ce n'est rien."
"serait dans vos beaux yeux répandu ce matin ? vous ne répondez point ? et ce morne silence","ce n'est rien."
"redouble encor ma peine et mon impatience. parlez, de quel ennui ressentez-vous les coups ?","ce n'est rien."
"qu'est-ce donc ?","ce n'est rien."
"ce n'est rien, dites-vous ? et je vois cependant vos yeux couverts de larmes,","rien ne me servirait de vous le faire entendre."
"cela s'accorde-t-il, beauté pleine de charmes ? ah, ne me faites point un secret dont je meurs,","rien ne me servirait de vous le faire entendre."
"et m'expliquez, hélas ! ce que disent ces pleurs.","rien ne me servirait de vous le faire entendre."
"devez-vous rien avoir que je ne doive apprendre, et ne blessez-vous pas notre amour aujourd'hui,","hé bien, myrtil, hé bien, il faut donc vous le dire : j'ai su que par un choix plein de gloire pour vous,"
"de vouloir me voler ma part de votre ennui ? ah, ne le cachez point à l'ardeur qui m'inspire.","éroxène et daphné vous veulent pour époux : et je vous avouerai que j'ai cette faiblesse,"
"devez-vous rien avoir que je ne doive apprendre, et ne blessez-vous pas notre amour aujourd'hui,","de n'avoir pu, myrtil, le savoir sans tristesse, sans accuser du sort la rigoureuse loi,"
"de vouloir me voler ma part de votre ennui ? ah, ne le cachez point à l'ardeur qui m'inspire.","qui les rend dans leurs vœux préférables à moi."
"et vous pouvez l'avoir, cette injuste tristesse, vous pouvez soupçonner mon amour de faiblesse,","je pourrais moins, myrtil, redouter ces rivales, si les choses étaient de part et d'autre égales."
"et croire qu'engagé par des charmes si doux, je puisse être jamais à quelque autre qu'à vous ?","et dans un rang pareil j'oserais espérer, que peut-être l'amour me ferait préférer :"
"que je puisse accepter une autre main offerte ? hé ! que vous ai-je fait, cruelle mélicerte,","mais l'inégalité de bien et de naissance, qui peut d'elles à moi faire la différence…"
"pour traiter ma tendresse avec tant de rigueur, et faire un jugement si mauvais de mon cœur ?","je pourrais moins, myrtil, redouter ces rivales, si les choses étaient de part et d'autre égales."
"quoi, faut-il que de lui vous ayez quelque crainte, je suis bien malheureux de souffrir cette atteinte :","et dans un rang pareil j'oserais espérer, que peut-être l'amour me ferait préférer :"
"et que me sert d'aimer comme je fais, hélas, si vous êtes si prête à ne le croire pas.","mais l'inégalité de bien et de naissance, qui peut d'elles à moi faire la différence…"
"ah, leur rang de mon cœur ne viendra point à bout, et vos divins appas vous tiennent lieu de tout.","hé bien, je crois, myrtil, puisque vous le voulez, que vos vœux par leur rang ne sont point ébranlés,"
"je vous aime, il suffit, et dans votre personne, je vois rang, biens, trésors, états, sceptres, couronne,","et que bien qu'elles soient nobles, riches et belles, votre cœur m'aime assez pour me mieux aimer qu'elles :"
"et des rois les plus grands m'offrît-on le pouvoir, je n'y changerais pas le bien de vous avoir.","mais ce n'est pas l'amour dont vous suivez la voix, votre père, myrtil, réglera votre choix,"
"c'est une vérité toute sincère et pure, et pouvoir en douter est me faire une injure.","et de même qu'à vous je ne lui suis pas chère, pour préférer à tout une simple bergère."
"non, chère mélicerte, il n'est père ni dieux qui me puissent forcer à quitter vos beaux yeux,","ah, myrtil, prenez garde à ce qu'ici vous faites, n'allez point présenter un espoir à mon cœur,"
"et toujours de mes vœux, reine comme vous êtes…","qu'il recevrait peut-être avec trop de douceur, et qui tombant après comme un éclair qui passe,"
"non, chère mélicerte, il n'est père ni dieux qui me puissent forcer à quitter vos beaux yeux,","me rendrait plus cruel le coup de ma disgrâce."
"quoi, faut-il des serments appeler le secours, lorsque l'on vous promet de vous aimer toujours ?","ah, myrtil, levez-vous, de peur qu'on ne vous voie."
"que vous vous faites tort par de telles alarmes, et connaissez bien peu le pouvoir de vos charmes.","ah, myrtil, levez-vous, de peur qu'on ne vous voie."
"hé bien, puisqu'il le faut, je jure par les dieux, et si ce n'est assez, je jure par vos yeux,","ah, myrtil, levez-vous, de peur qu'on ne vous voie."
"qu'on me tuera plutôt que je vous abandonne, recevez-en ici la foi que je vous donne,","ah, myrtil, levez-vous, de peur qu'on ne vous voie."
"et souffrez que ma bouche avec ravissement, sur cette belle main en signe le serment.","ah, myrtil, levez-vous, de peur qu'on ne vous voie."
"est-il rien… mais, ô ciel, on vient troubler ma joie.","ne vous contraignez pas pour moi."
"quel sort fâcheux.","cela ne va pas mal, continuez tous deux. peste, mon petit fils, que vous avez l'air tendre,"
"quel sort fâcheux.","et qu'en maître déjà vous savez vous y prendre. vous a-t-il, ce savant, qu'athènes exila,"
"quel sort fâcheux.","dans sa philosophie appris ces choses-là : et vous qui lui donnez de si douce manière"
"quel sort fâcheux.","votre main à baiser, la gentille bergère, l'honneur vous apprend-il ces mignardes douceurs,"
"quel sort fâcheux.","par qui vous débauchez ainsi les jeunes cœurs ?"
"ah, quittez de ces mots l'outrageante bassesse, et ne m'accablez point d'un discours qui la blesse.","je veux lui parler moi, toutes ces amitiés…"
"je ne souffrirai point que vous la maltraitiez. à du respect pour vous la naissance m'engage,","non, non, ne croyez pas qu'avec art je l'enflamme, et que mon dessein soit de séduire son âme :"
"mais je saurai sur moi vous punir de l'outrage : oui, j'atteste le ciel, que si contre mes vœux,","s'il s'attache à me voir, et me veut quelque bien, c'est de son mouvement, je ne l'y force en rien."
"vous lui dites encor le moindre mot fâcheux, je vais avec ce fer, qui m'en fera justice,","ce n'est pas que mon cœur veuille ici se défendre, de répondre à ses vœux d'une ardeur assez tendre."
"au milieu de mon sein vous chercher un supplice, et par mon sang versé lui marquer promptement","je l'aime, je l'avoue, autant qu'on puisse aimer : mais cet amour n'a rien qui vous doive alarmer."
"l'éclatant désaveu de votre emportement.","et pour vous arracher toute injuste créance, je vous promets ici d'éviter sa présence ;"
"je ne souffrirai point que vous la maltraitiez. à du respect pour vous la naissance m'engage,","de faire place au choix où vous vous résoudrez, et ne souffrir ses vœux que quand vous le voudrez."
"eh bien, vous triomphez avec cette retraite, et dans ces mots votre âme a ce qu'elle souhaite :","comment, à quel orgueil, fripon, vous vois-je aller ? est-ce de la façon que l'on me doit parler ?"
"mais apprenez qu'en vain vous vous réjouissez, que vous serez trompé dans ce que vous pensez,","comment, à quel orgueil, fripon, vous vois-je aller ? est-ce de la façon que l'on me doit parler ?"
"et qu'avec tous vos soins, toute votre puissance, vous ne gagnerez rien sur ma persévérance.","comment, à quel orgueil, fripon, vous vois-je aller ? est-ce de la façon que l'on me doit parler ?"
"oui, j'ai tort, il est vrai, mon transport n'est pas sage : pour rentrer au devoir, je change de langage,","aux douleurs de son âme il me fait prendre part. qui l'aurait jamais cru de ce petit pendard ?"
"et je vous prie ici, mon père, au nom des dieux, et par tout ce qui peut vous être précieux,","quel amour, quels transports, quels discours pour son âge : j'en suis confus, et sens que cet amour m'engage."
"de ne vous point servir dans cette conjoncture, des fiers droits que sur moi vous donne la nature,","aux douleurs de son âme il me fait prendre part. qui l'aurait jamais cru de ce petit pendard ?"
"ne m'empoisonnez point vos bienfaits les plus doux, le jour est un présent que j'ai reçu de vous :","quel amour, quels transports, quels discours pour son âge : j'en suis confus, et sens que cet amour m'engage."
