"quoi, cousine, personne ne t'est venu rendre visite ?","personne du monde."
"laissons cette matière qui t'échauffe un peu trop  et disons que dorante vient bien tard","peut-être l'a-t-il oublié, et que…"
"voilà climène, madame, qui vient ici pour vous voir.","eh mon dieu ! quelle visite !"
"vous vous plaigniez d'être seule, aussi : le ciel vous en punit.","vite, qu'on aille dire que je n'y suis pas."
"on a déjà dit que vous y étiez.","et qui est le sot, qui l'a dit ?"
"moi, madame.","diantre soit le petit vilain. je vous apprendrai bien à faire vos réponses de vous-même."
"je vais lui dire, madame, que vous voulez être sortie.","arrêtez animal, et la laissez monter, puisque la sottise est faite."
"elle parle encore à un homme dans la rue.","ah ! cousine, que cette visite m'embarrasse à l'heure qu'il est."
"il est vrai que la dame est un peu embarrassante de son naturel : j'ai toujours eu pour elle une furieuse aversion et n'en déplaise à sa qualité","l'épithète est un peu forte."
"c'est la plus sotte bête qui se soit ja mais mêlée de raisonner.","l'épithète est un peu forte."
"allez allez elle mérite bien cela  et quelque chose de plus si on lui faisait justice. est-ce qu'il y a une personne qui soit plus véritablement qu'elle","elle se défend bien de ce nom, pourtant."
"ce qu'on appelle précieuse à prendre le mot dans sa plus mauvaise signification ?","elle se défend bien de ce nom, pourtant."
"il est vrai elle se défend du nom   mais non pas de la chose : car enfin elle l'est depuis les pieds jusqu'à la tête  et la plus grande façonnière du monde.","doucement donc, si elle venait à entendre…"
"il semble que tout son corps soit démonté  et que les mouvements de ses hanches de ses épaules  et de sa tête n'aillent que par ressorts. elle affecte toujours un ton de voix languissant","doucement donc, si elle venait à entendre…"
" et niais  fait la moue pour montrer une petite bouche  et roule les yeux","doucement donc, si elle venait à entendre…"
"point point elle ne monte pas encore. je me souviens toujours du soir qu'elle eut envie de voir damon sur la réputation qu'on lui donne  et les choses que le public a vues de lui.","tais-toi, je vais la recevoir à la porte de la chambre."
"vous connaissez l'homme  et sa naturelle paresse à soutenir la conversation. elle l'avait invité à souper comme bel esprit  et ja mais il ne parut si sot","tais-toi, je vais la recevoir à la porte de la chambre."
"parmi une demi-douzaine de gens à qui elle avait fait fête de lui  et qui le regardaient avec de grands yeux comme une personne qui ne devait pas être faite comme les autres.","tais-toi, je vais la recevoir à la porte de la chambre."
"ils pensaient tous qu'il était là pour défrayer la compagnie de bons mots que chaque parole qui sortait de sa bouche devait être extraordinaire","tais-toi, je vais la recevoir à la porte de la chambre."
"qu'il devait faire des *impromptus* sur tout ce qu'on disait  et ne demander à boire qu'avec une pointe.  mais il les trompa fort par son silence ","tais-toi, je vais la recevoir à la porte de la chambre."
" et la dame fut aussi mal satisfaite de lui que je le fus d'elle.","tais-toi, je vais la recevoir à la porte de la chambre."
"encore un mot. je voudrais bien la voir mariée avec le marquis dont nous avons parlé. le bel assemblage que ce serait d'une précieuse","veux-tu te taire ; la voici."
"vraiment, c'est bien tard que…","eh de grâce, ma chère, faites-moi vite donner un siège."
"un fauteuil, promptement.","ah mon dieu !"
"qu'est-ce donc ?","je n'en puis plus."
"qu'avez-vous ?","le cœur me manque."
"sont-ce vapeurs, qui vous ont prise ?","non."
"voulez-vous, que l'on vous délasse ?","mon dieu non. ah !"
"quel est donc votre mal ? et depuis quand vous a-t-il pris ?","il y a plus de trois heures, et je l'ai rapporté du palais-royal."
"comment ?","je viens de voir pour mes péchés cette méchante rapsodie de *l'école des femmes*. je suis encore en défaillance du mal de cœur que cela m'a donné"
"voyez un peu, comme les maladies arrivent sans qu'on y songe.","je ne sais pas de quel tempérament nous sommes ma cousine et moi   mais nous fûmes avant-hier à la même pièce  et nous en revînmes toutes deux saines "
"quoi, vous l'avez vue ?","oui ; et écoutée d'un bout à l'autre."
"et vous n'en avez pas été jusques aux convulsions, ma chère ?","je ne suis pas si délicate dieu merci   et je trouve pour moi que cette comédie serait plutôt capable de guérir les gens que de les rendre malades."
"ah mon dieu que dites-vous là ! cette proposition peut-elle être avancée par une personne qui ait du revenu en sens commun ? peut-on impunément comme vous faites","mon dieu ! que tout cela est dit élégamment. j'aurais cru que cette pièce était bonne   mais madame a une éloquence si persuasive elle tourne les choses d'une manière si agréable"
"rompre en visière à la raison ?  et dans le vrai de la chose est-il un esprit si affamé de plaisanterie qu'il puisse tâter des fadaises dont cette comédie est assaisonnée ?","mon dieu ! que tout cela est dit élégamment. j'aurais cru que cette pièce était bonne   mais madame a une éloquence si persuasive elle tourne les choses d'une manière si agréable"
"pour moi je vous avoue que je n'ai pas trouvé le moindre grain de sel dans tout cela. les enfants par l'oreille m'ont paru d'un goût détestable la tarte à la crème m'a affadi le cœur ","mon dieu ! que tout cela est dit élégamment. j'aurais cru que cette pièce était bonne   mais madame a une éloquence si persuasive elle tourne les choses d'une manière si agréable"
"pour moi je n'ai pas tant de complaisance  et pour dire ma pensée je tiens cette comédie une des plus plaisantes que l'auteur ait produites.","ah ! vous me faites pitié de parler ainsi   et je ne saurais vous souffrir cette obscurité de discernement. peut-on ayant de la vertu trouver de l'agrément dans une pièce"
"pour moi je n'ai pas tant de complaisance  et pour dire ma pensée je tiens cette comédie une des plus plaisantes que l'auteur ait produites.","qui tient sans cesse la pudeur en alarme  et salit à tous moments l'imagination ?"
"les jolies façons de parler que voilà ! que vous êtes madame une rude joueuse en critique   et que je plains le pauvre molière de vous avoir pour ennemie.","croyez-moi ma chère corrigez de bonne foi votre jugement  et pour votre honneur n'allez point dire par le monde que cette comédie vous ait plu."
"moi, je ne sais pas ce que vous y avez trouvé qui blesse la pudeur.","hélas tout  et je mets en fait qu'une honnête femme ne la saurait voir sans confusion tant j'y ai découvert d'ordures  et de saletés."
"il faut donc que pour les ordures vous ayez des lumières que les autres n'ont pas :","c'est que vous ne voulez pas y en avoir vu assurément : car enfin toutes ces ordures dieu merci y sont à visage découvert. elles n'ont pas la moindre enveloppe qui les couvre "
"ah !","hay, hay, hay."
"mais encore, s'il vous plaît, marquez-moi une de ces ordures que vous dites.","hélas ! est-il nécessaire de vous les marquer ?"
"oui : je vous demande seulement un endroit, qui vous ait fort choquée.","en faut-il d'autre que la scène de cette agnès, lorsqu'elle dit ce que l'on lui a pris ?"
"eh bien, que trouvez-vous là de sale ?","ah !"
"de grâce ?","fi."
"mais encore ?","je n'ai rien à vous dire."
"pour moi, je n'y entends point de mal.","tant pis pour vous."
"tant mieux plutôt ce me semble. je regarde les choses du côté qu'on me les montre   et ne les tourne point pour y chercher ce qu'il ne faut pas voir.","l'honnêteté d'une femme…"
"l'honnêteté d'une femme n'est pas dans les grimaces. il sied mal de vouloir être plus sage que celles qui sont sages. l'affectation en cette matière est pire qu'en toute autre ","enfin il faut être aveugle dans cette pièce, et ne pas faire semblant d'y voir les choses."
" et je ne vois rien de si ridicule que cette délicatesse d'honneur qui prend tout en mauvaise part donne un sens criminel aux plus innocentes paroles ","enfin il faut être aveugle dans cette pièce, et ne pas faire semblant d'y voir les choses."
" et s'offense de l'ombre des choses. croyez-moi celles qui font tant de façons n'en sont pas estimées plus femmes de bien. au contraire leur sévérité mystérieuse","enfin il faut être aveugle dans cette pièce, et ne pas faire semblant d'y voir les choses."
" et leurs grimaces affectées irritent la censure de tout le monde contre les actions de leur vie. on est ravi de découvrir ce qu'il y peut avoir à redire ","enfin il faut être aveugle dans cette pièce, et ne pas faire semblant d'y voir les choses."
" et pour tomber dans l'exemple il y avait l'autre jour des femmes à cette comédie vis-à-vis de la loge où nous étions qui par les mines qu'elles affectèrent durant toute la pièce ","enfin il faut être aveugle dans cette pièce, et ne pas faire semblant d'y voir les choses."
"leurs détournements de tête  et leurs cachements de visage firent dire de tous côtés cent sottises de leur conduite que l'on n'aurait pas dites sans cela  et quelqu'un même des laquais cria tout haut","enfin il faut être aveugle dans cette pièce, et ne pas faire semblant d'y voir les choses."
"qu'elles étaient plus chastes des oreilles que de tout le reste du corps.","enfin il faut être aveugle dans cette pièce, et ne pas faire semblant d'y voir les choses."
"il ne faut pas y vouloir voir ce qui n'y est pas.","ah ! je soutiens, encore un coup, que les saletés y crèvent les yeux."
"et moi, je ne demeure pas d'accord de cela.","quoi la pudeur n'est pas visiblement blessée par ce que dit agnès dans l'endroit dont nous parlons ?"
"non vraiment. elle ne dit pas un mot qui de soi ne soit fort honnête   et si vous voulez entendre dessous quelque autre chose c'est vous qui faites l'ordure","ah ! ruban tant qu'il vous plaira   mais ce *le* où elle s'arrête n'est pas mis pour des prunes. il vient sur ce *le* d'étranges pensées."
" et non pas elle  puisqu'elle parle seulement d'un ruban qu'on lui a pris.","ce *le* scandalise furieusement  et quoi que vous puissiez dire"
"il est vrai ma cousine  je suis pour madame contre ce *le*. ce *le* est insolent au dernier point.","il a une obscénité qui n'est pas supportable."
"comment dites-vous ce mot-là, madame ?","*obscénité*, madame."
"ah ! mon dieu ! *obscénité*. je ne sais ce que ce mot veut dire ; mais je le trouve le plus joli du monde.","enfin vous voyez, comme votre sang prend mon parti."
"eh ! mon dieu  c'est une causeuse qui ne dit pas ce qu'elle pense.","ah ! que vous êtes méchante de me vouloir rendre suspecte à madame. voyez un peu où j'en serais si elle allait croire ce que vous dites."
"eh ! mon dieu  c'est une causeuse qui ne dit pas ce qu'elle pense.","serais-je si malheureuse madame que vous eussiez de moi cette pensée ?"
"non, non, je ne m'arrête pas à ses paroles, et je vous crois plus sincère, qu'elle ne dit.","ah ! que vous avez bien raison madame   et que vous me rendrez justice quand vous croirez que je vous trouve la plus engageante personne du monde"
"non, non, je ne m'arrête pas à ses paroles, et je vous crois plus sincère, qu'elle ne dit.","que j'entre dans tous vos sentiments  et suis charmée de toutes les expressions"
"hélas ! je parle sans affectation.","on le voit bien madame  et que tout est naturel en vous. vos paroles le ton de votre voix vos regards vos pas votre action  et votre ajustement ont je ne sais quel air de qualité"
"hélas ! je parle sans affectation.","qui enchante les gens. je vous étudie des yeux  et des oreilles   et je suis si remplie de vous que je tâche d'être votre singe"
"vous vous moquez de moi, madame.","pardonnez-moi, madame. qui voudrait se moquer de vous ?"
"je ne suis pas un bon modèle, madame.","oh que si, madame."
"vous me flattez, madame.","point du tout, madame."
"épargnez-moi, s'il vous plaît, madame.","je vous épargne aussi, madame ; et je ne dis pas la moitié de ce que je pense, madame."
"ah mon dieu ! brisons là, de grâce : vous me jetteriez dans une confusion épouvantable. à uranie.","arrêtez, s'il vous plaît, monsieur."
"enfin nous voilà deux contre vous, et l'opiniâtreté sied si mal aux personnes spirituelles…","arrêtez, s'il vous plaît, monsieur."
"tu ne me connais pas, sans doute.","si fait, je vous connais ; mais vous n'entrerez pas."
"ah que de bruit, petit laquais !","cela n'est pas bien de vouloir entrer malgré les gens."
"je veux voir ta maîtresse.","elle n'y est pas, vous dis-je."
"la voilà dans la chambre.","il est vrai, la voilà ; mais elle n'y est pas."
"qu'est-ce donc qu'il y a là ?","c'est votre laquais, madame, qui fait le sot."
"je lui dis que vous n'y êtes pas, madame, et il ne veut pas laisser d'entrer.","et pourquoi dire à monsieur que je n'y suis pas ?"
"vous me grondâtes l'autre jour, de lui avoir dit que vous y étiez.","voyez c et insolent ! je vous prie monsieur de ne pas croire ce qu'il dit :"
"je l'ai bien vu, madame ; et sans votre respect, je lui aurais appris à connaître les gens de qualité.","ma cousine vous est fort obligée de cette déférence."
"un siège donc, impertinent.","n'en voilà-t-il pas un ?"
"approchez-le. le petit laquais pousse le siège rudement.","votre petit laquais, madame, a du mépris pour ma personne."
"il aurait tort, sans doute.","c'est peut-être que je paie l'intérêt de ma mauvaise mine : hay, hay, hay, hay."
"l'âge le rendra plus éclairé en honnêtes gens.","sur quoi en étiez-vous, mesdames, lorsque je vous ai interrompues ?"
"sur la comédie de *l'école des femmes*.","je ne fais que d'en sortir."
"eh bien, monsieur, comment la trouvez-vous, s'il vous plaît ?","tout à fait impertinente."
"ah que j'en suis ravie !","c'est la plus méchante chose du monde. comment diable ! à peine ai-je pu trouver place. j'ai pensé être étouffé à la porte  et ja mais on ne m'a tant marché sur les pieds."
"ah que j'en suis ravie !","voyez comme mes canons  et mes rubans en sont ajustés de grâce."
"il est vrai que cela crie vengeance contre *l'école des femmes*, et que vous la condamnez avec justice.","il ne s'est jamais fait, je pense, une si méchante comédie."
"ah ! voici dorante que nous attendions.","ne bougez de grâce  et n'interrompez point votre discours. vous êtes là sur une matière qui depuis quatre jours fait presque l'entretien de toutes les maisons de paris"
"ah ! voici dorante que nous attendions."," et ja mais on n'a rien vu de si plaisant que la diversité des jugements qui se font là-dessus. car enfin j'ai ouï condamner cette comédie à certaines gens"
"voilà monsieur le marquis, qui en dit force mal.","il est vrai, je la trouve détestable ; morbleu détestable du dernier détestable ; ce qu'on appelle détestable."
"et moi, mon cher marquis, je trouve le jugement détestable.","quoi chevalier, est-ce que tu prétends soutenir cette pièce ?"
"oui je prétends la soutenir.","parbleu, je la garantis détestable."
"la caution n'est pas bourgeoise. mais, marquis, par quelle raison, de grâce, cette comédie est-elle ce que tu dis ?","pourquoi elle est détestable ?"
"oui.","elle est détestable, parce qu'elle est détestable."
"après cela il n'y a plus rien à dire : voilà son procès fait.  mais encore instruis-nous  et nous dis les défauts qui y sont.","que sais-je moi ? je ne me suis pas seulement donné la peine de l'écouter.  mais enfin je sais bien que je n'ai ja mais rien vu de si méchant"
"après cela il n'y a plus rien à dire : voilà son procès fait.  mais encore instruis-nous  et nous dis les défauts qui y sont.","dieu me damne  et dorilas contre qui j'étais a été de mon avis."
"l'autorité est belle, et te voilà bien appuyé.","il ne faut que voir les continuels éclats de rire que le parterre y fait : je ne veux point d'autre chose pour témoigner qu'elle ne vaut rien."
"tu es donc marquis de ces messieurs du bel air qui ne veulent pas que le parterre ait du sens commun  et qui seraient fâchés d'avoir ri avec lui fût-ce de la meilleure chose du monde ?","te voilà donc chevalier le défenseur du parterre ? parbleu je m'en réjouis  et je ne manquerai pas de l'avertir que tu es de ses amis. hay"
"je vis l'autre jour sur le théâtre un de nos amis qui se rendit ridicule par là. il écouta toute la pièce avec un sérieux le plus sombre du monde :","te voilà donc chevalier le défenseur du parterre ? parbleu je m'en réjouis  et je ne manquerai pas de l'avertir que tu es de ses amis. hay"
" et tout ce qui égayait les autres ridait son front. à tous les éclats de risée il haussait les épaules  et regardait le parterre en pitié   et quelquefois aussi le regardant avec dépit","te voilà donc chevalier le défenseur du parterre ? parbleu je m'en réjouis  et je ne manquerai pas de l'avertir que tu es de ses amis. hay"
"il lui disait tout haut *ris donc parterre ris donc*. ce fut une seconde comédie que le chagrin de notre ami il la donna en galant homme à toute l'assemblée ","te voilà donc chevalier le défenseur du parterre ? parbleu je m'en réjouis  et je ne manquerai pas de l'avertir que tu es de ses amis. hay"
" et chacun demeura d'accord qu'on ne pouvait pas mieux jouer qu'il fit. apprends marquis je te prie  et les autres aussi que le bon sens n'a point de place déterminée à la comédie ","te voilà donc chevalier le défenseur du parterre ? parbleu je m'en réjouis  et je ne manquerai pas de l'avertir que tu es de ses amis. hay"
"que la différence du demi-louis d'or  et de la pièce de quinze sols ne fait rien du tout au bon goût que debout  et assis on peut donner un mauvais jugement ","te voilà donc chevalier le défenseur du parterre ? parbleu je m'en réjouis  et je ne manquerai pas de l'avertir que tu es de ses amis. hay"
" et qu'enfin à le prendre en général je me fierais assez à l'approbation du parterre par la raison qu'entre ceux qui le composent il y en a plusieurs qui sont capables de juger d'une pièce selon les règles","te voilà donc chevalier le défenseur du parterre ? parbleu je m'en réjouis  et je ne manquerai pas de l'avertir que tu es de ses amis. hay"
" et que les autres en jugent par la bonne façon d'en juger qui est de se laisser prendre aux choses  et de n'avoir ni prévention aveugle ni complaisance affectée","te voilà donc chevalier le défenseur du parterre ? parbleu je m'en réjouis  et je ne manquerai pas de l'avertir que tu es de ses amis. hay"
"ris tant que tu voudras je suis pour le bon sens  et ne saurais souffrir les ébullitions de cerveau de nos marquis de mascarille. j'enrage de voir de ces gens qui se traduisent en ridicules malgré leur qualité ","parbleu, chevalier, tu le prends là…"
"de ces gens qui décident toujours  et parlent hardiment de toutes choses sans s'y connaître qui dans une comédie se récrieront aux méchants endroits","parbleu, chevalier, tu le prends là…"
" et ne branleront pas à ceux qui sont bons  qui voyant un tableau ou écoutant un concert de musique blâment de même  et louent tout à contre-sens","parbleu, chevalier, tu le prends là…"
"prennent par où ils peuvent les termes de l'art qu'ils attrapent  et ne manquent ja mais de les estropier  et de les mettre hors de place.","parbleu, chevalier, tu le prends là…"
"eh ! morbleu messieurs taisez-vous quand dieu ne vous a pas donné la connaissance d'une chose  n'apprêtez point à rire à ceux qui vous entendent parler  et songez qu'en ne disant mot","parbleu, chevalier, tu le prends là…"
"mon dieu marquis ce n'est pas à toi que je parle. c'est à une douzaine de messieurs qui déshonorent les gens de cour par leurs manières extravagantes  et font croire parmi le peuple que nous nous ressemblons tous.","dis-moi, un peu, chevalier, crois-tu que lysandre ait de l'esprit ?"
"pour moi je m'en veux justifier le plus qu'il me sera possible   et je les dauberai tant en toutes rencontres qu'à la fin ils se rendront sages.","dis-moi, un peu, chevalier, crois-tu que lysandre ait de l'esprit ?"
"oui, sans doute, et beaucoup.","c'est une chose qu'on ne peut pas nier."
"demandez-lui ce qui lui semble de *l'école des femmes* : vous verrez qu'il vous dira, qu'elle ne lui plaît pas.","eh mon dieu ! il y en a beaucoup que le trop d'esprit gâte  qui voient mal les choses à force de lumière   et même qui seraient bien fâchés d'être de l'avis des autres"
"il est vrai notre ami est de ces gens-là sans doute. il veut être le premier de son opinion  et qu'on attende par respect son jugement. toute approbation qui marche avant la sienne est un attentat sur ses lumières"," et que direz-vous de la marquise araminte qui la publie partout pour épouvantable  et dit qu'elle n'a pu ja mais souffrir les ordures dont elle est pleine ?"
"dont il se venge hautement en prenant le contraire parti. il veut qu'on le consulte sur toutes les affaires d'esprit   et je suis sûre que si l'auteur lui eût montré sa comédie avant que de la faire voir au public"," et que direz-vous de la marquise araminte qui la publie partout pour épouvantable  et dit qu'elle n'a pu ja mais souffrir les ordures dont elle est pleine ?"
"je dirai que cela est digne du caractère qu'elle a pris  et qu'il y a des personnes qui se rendent ridicules pour vouloir avoir trop d'honneur. bien qu'elle ait de l'esprit","vous êtes bien fou, chevalier."
"elle a suivi le mauvais exemple de celles qui étant sur le retour de l'âge veulent remplacer de quelque chose ce qu'elles voient qu'elles perdent","vous êtes bien fou, chevalier."
" et prétendent que les grimaces d'une pruderie scrupuleuse leur tiendront lieu de jeunesse  et de beauté. celle-ci pousse l'affaire plus avant qu'aucune ","vous êtes bien fou, chevalier."
"et l'habileté de son scrupule découvre des saletés où ja mais personne n'en avait vu. on tient qu'il va ce scrupule jusques à défigurer notre langue","vous êtes bien fou, chevalier."
" et qu'il n'y a point presque de mots dont la sévérité de cette dame ne veuille retrancher ou la tête","vous êtes bien fou, chevalier."
"enfin, chevalier, tu crois défendre ta comédie, en faisant la satire de ceux qui la condamnent.","non pas ; mais je tiens que cette dame se scandalise à tort…"
"tout beau, monsieur le chevalier : il pourrait y en avoir d'autres qu'elle, qui seraient dans les mêmes sentiments.","je sais bien que ce n'est pas vous, au moins ; et que lorsque vous avez vu cette représentation…"
"il est vrai  mais j'ai changé d'avis  et madame sait appuyer le sien par des raisons si convaincantes qu'elle m'a entraînée de son côté.","ah ! madame je vous demande pardon   et si vous le voulez je me dédirai"
"je ne veux pas que ce soit pour l'amour de moi  mais pour l'amour de la raison : car enfin cette pièce à le bien prendre est tout à fait indéfendable ","ah ! voici l'auteur monsieur lysidas : il vient tout à propos pour cette matière. monsieur lysidas  prenez un siège vous-même"
"madame je viens un peu tard   mais il m'a fallu lire ma pièce chez madame la marquise dont je vous avais parlé  et les louanges qui lui ont été données","c'est un grand charme que les louanges pour arrêter un auteur."
"asseyez-vous donc, monsieur lysidas ; nous lirons votre pièce après souper.","tous ceux qui étaient là doivent venir à sa première représentation"
"je le crois : mais encore une fois asseyez-vous s'il vous plaît : nous sommes ici sur une matière que je serai bien aise que nous poussions.","je pense madame, que vous retiendrez aussi une loge pour ce jour-là."
"nous verrons. poursuivons de grâce notre discours.","je vous donne avis, madame, qu'elles sont presque toutes retenues."
"voilà qui est bien. enfin j'avais besoin de vous, lorsque vous êtes venu, et tout le monde était ici contre moi.","il s'est mis d'abord de votre côté  mais maintenant qu'il sait que madame est à la tête du parti contraire"
"non non je ne voudrais pas qu'il fît mal sa cour auprès de madame votre cousine","avec cette permission, madame, je prendrai la hardiesse de me défendre."
"mais auparavant sachons un peu les sentiments de monsieur lysidas.","sur quoi, madame ?"
"sur le sujet de *l'école des femmes*.","ha, ha."
"que vous en semble.","je n'ai rien à dire là-dessus  et vous savez qu'entre nous autres auteurs nous devons parler des ouvrages les uns des autres avec beaucoup de circonspection."
"mais encore, entre nous, que pensez-vous de cette comédie ?","moi, monsieur ?"
"de bonne foi, dites-nous votre avis.","je la trouve fort belle."
"assurément ?","assurément ; pourquoi non ? n'est-elle pas en effet la plus belle du monde ?"
"hom, hom, vous êtes un méchant diable, monsieur lysidas ; vous ne dites pas ce que vous pensez.","pardonnez-moi."
"mon dieu, je vous connais ; ne dissimulons point.","moi monsieur ?"
"je vois bien que le bien que vous dites de cette pièce n'est que par honnêteté  et que dans le fond du cœur vous êtes de l'avis de beaucoup de gens","hay, hay, hay."
"avouez, ma foi, que c'est une méchante chose que cette comédie.","il est vrai qu'elle n'est pas approuvée par les connaisseurs."
"ma foi, chevalier, tu en tiens, et te voilà payé de ta raillerie, ah, ah, ah, ah, ah.","pousse, mon cher marquis, pousse."
"tu vois que nous avons les savants de notre côté.","il est vrai le jugement de monsieur lysidas est quelque chose de considérable   mais monsieur lysidas veut bien que je ne me rende pas pour cela."
"tu vois que nous avons les savants de notre côté."," et puisque j'ai bien l'audace de me défendre contre les sentiments de madame"
"quoi vous voyez contre vous madame monsieur le marquis  et monsieur lysidas  et vous osez résister encore ? fi que cela est de mauvaise grâce.","voilà qui me confond pour moi que des personnes raisonnables se puissent mettre en tête de donner protection aux sottises de cette pièce !"
"dieu me damne, madame, elle est misérable depuis le commencement jusqu'à la fin.","cela est bientôt dit marquis  il n'est rien plus aisé que de trancher ainsi  et je ne vois aucune chose qui puisse être à couvert de la souveraineté de tes décisions."
"parbleu, tous les autres comédiens qui étaient là pour la voir, en ont dit tous les maux du monde.","ah ! je ne dis plus mot tu as raison marquis  puisque les autres comédiens en disent du mal il faut les en croire assurément. ce sont tous gens éclairés "
"parbleu, tous les autres comédiens qui étaient là pour la voir, en ont dit tous les maux du monde.","et qui parlent sans intérêt il n'y a plus rien à dire je me rends."
"rendez-vous ou ne vous rendez pas je sais fort bien que vous ne me persuaderez point de souffrir les immodesties de cette pièce  non plus que les satires désobligeantes qu'on y voit contre les femmes.","pour moi je me garderai bien de m'en offenser  et de prendre rien sur mon compte de tout ce qui s'y dit. ces sortes de satires tombent directement sur les mœurs  et ne frappent les personnes que par réflexion."
"rendez-vous ou ne vous rendez pas je sais fort bien que vous ne me persuaderez point de souffrir les immodesties de cette pièce  non plus que les satires désobligeantes qu'on y voit contre les femmes.","n'allons point nous appliquer nous-mêmes les traits d'une censure générale  et profitons de la leçon si nous pouvons sans faire semblant qu'on parle à nous."
"rendez-vous ou ne vous rendez pas je sais fort bien que vous ne me persuaderez point de souffrir les immodesties de cette pièce  non plus que les satires désobligeantes qu'on y voit contre les femmes.","toutes les peintures ridicules qu'on expose sur les théâtres doivent être regardées sans chagrin de tout le monde. ce sont miroirs publics où il ne faut ja mais témoigner qu'on se voie "
"rendez-vous ou ne vous rendez pas je sais fort bien que vous ne me persuaderez point de souffrir les immodesties de cette pièce  non plus que les satires désobligeantes qu'on y voit contre les femmes."," et c'est se taxer hautement d'un défaut que se scandaliser qu'on le reprenne."
"pour moi je ne parle pas de ces choses par la part que j'y puisse avoir   et je pense que je vis d'un air dans le monde à ne pas craindre d'être cherchée dans les peintures qu'on fait là des femmes qui se gouvernent mal.","assurément madame on ne vous y cherchera point  votre conduite est assez connue   et ce sont de ces sortes de choses qui ne sont contestées de personne."
"aussi madame n'ai-je rien dit qui aille à vous   et mes paroles comme les satires de la comédie demeurent dans la thèse générale.","je n'en doute pas madame.  mais enfin passons sur ce chapitre. je ne sais pas de quelle façon vous recevez les injures qu'on dit à notre sexe dans un certain endroit de la pièce"
"aussi madame n'ai-je rien dit qui aille à vous   et mes paroles comme les satires de la comédie demeurent dans la thèse générale."," et pour moi je vous avoue que je suis dans une colère épouvantable de voir que c et auteur impertinent nous appelle des *animaux*."
"ne voyez-vous pas que c'est un ridicule qu'il fait parler ?"," et puis madame ne savez-vous pas que les injures des amants n'offensent jamais ? qu'il est des amours emportés aussi bien que des doucereux ? "
"ne voyez-vous pas que c'est un ridicule qu'il fait parler ?","et qu'en de pareilles occasions les paroles les plus étranges  et quelque chose de pis encore se prennent bien souvent pour des marques d'affection par celles mêmes qui les reçoivent ?"
"dites tout ce que vous voudrez je ne saurais digérer cela non plus que *le potage*","ah ! ma foi oui *tarte à la crème*. voilà ce que j'avais remarqué tantôt  *tarte à la crème*. que je vous suis obligé madame de m'avoir fait souvenir de *tarte à la crème*."
"dites tout ce que vous voudrez je ne saurais digérer cela non plus que *le potage*","y a-t-il assez de pommes en normandie pour *tarte à la crème* ?"
"eh bien que veux-tu dire, *tarte à la crème* ?","parbleu, *tarte à la crème*, chevalier."
"mais encore ?","*tarte à la crème*."
"dis-nous un peu tes raisons.","*tarte à la crème*."
"mais il faut expliquer sa pensée, ce me semble.","*tarte à la crème*, madame."
"que trouvez-vous là à redire ?","moi, rien ; *tarte à la crème*."
"ah ! je le quitte.","monsieur le marquis s'y prend bien  et vous bourre de la belle manière.  mais je voudrais bien que monsieur lysidas voulût les achever"
