"qu'est-ce donc ? qu'avez-vous ?","laissez-moi, je vous prie."
"vous eûtes de la complaisance, mais vous en deviez moins avoir ;","ah ! qu'en termes galants, ces choses-là sont mises !"
"et ne vous pas mettre en dépense, pour ne me donner que l'espoir.","ah ! qu'en termes galants, ces choses-là sont mises !"
"morbleu, vil complaisant, vous louez des sottises ?","s'il faut qu'une attente éternelle pousse à bout, l'ardeur de mon zèle,"
"morbleu, vil complaisant, vous louez des sottises ?","le trépas sera mon recours. vos soins ne m'en peuvent distraire ;"
"morbleu, vil complaisant, vous louez des sottises ?","belle philis, on désespère, alors qu'on espère toujours."
"la chute en est jolie, amoureuse, admirable.","la peste de ta chute ! empoisonneur au diable, en eusses-tu fait une à te casser le nez."
"je n'ai jamais ouï de vers si bien tournés.","morbleu…"
"vous me flattez, et vous croyez, peut-être…","non, je ne flatte point."
"et que fais-tu, donc, traître ?","mais, pour vous, vous savez quel est notre traité ; parlez-moi, je vous prie, avec sincérité."
"monsieur, cette matière est toujours délicate, et, sur le bel esprit, nous aimons qu'on nous flatte :","est-ce que vous voulez me déclarer, par là, que j'ai tort de vouloir…"
"mais un jour, à quelqu'un, dont je tairai le nom, je disais, en voyant des vers de sa façon,","est-ce que vous voulez me déclarer, par là, que j'ai tort de vouloir…"
"qu'il faut qu'un galant homme ait toujours grand empire sur les démangeaisons qui nous prennent d'écrire ;","est-ce que vous voulez me déclarer, par là, que j'ai tort de vouloir…"
"qu'il doit tenir la bride aux grands empressements qu'on a de faire éclat de tels amusements ;","est-ce que vous voulez me déclarer, par là, que j'ai tort de vouloir…"
"et que, par la chaleur de montrer ses ouvrages, on s'expose à jouer de mauvais personnages.","est-ce que vous voulez me déclarer, par là, que j'ai tort de vouloir…"
"je ne dis pas cela : mais je lui disais, moi, qu'un froid écrit assomme,","est-ce qu'à mon sonnet, vous trouvez à redire ?"
"qu'il ne faut que ce faible, à décrier un homme ; et qu'eût-on, d'autre part, cent belles qualités,","est-ce qu'à mon sonnet, vous trouvez à redire ?"
"on regarde les gens, par leurs méchants côtés.","est-ce qu'à mon sonnet, vous trouvez à redire ?"
"je ne dis pas cela ; mais, pour ne point écrire, je lui mettais aux yeux, comme dans notre temps,","est-ce que j'écris mal ? et leur ressemblerais-je ?"
"cette soif a gâté de fort honnêtes gens.","est-ce que j'écris mal ? et leur ressemblerais-je ?"
"je ne dis pas cela ; mais enfin, lui disais-je, quel besoin, si pressant, avez-vous de rimer ?","voilà qui va fort bien, et je crois vous entendre. mais ne puis-je savoir ce que dans mon sonnet…"
"et qui, diantre, vous pousse à vous faire imprimer ? si l'on peut pardonner l'essor d'un mauvais livre,","voilà qui va fort bien, et je crois vous entendre. mais ne puis-je savoir ce que dans mon sonnet…"
"ce n'est qu'aux malheureux, qui composent pour vivre. croyez-moi, résistez à vos tentations,","voilà qui va fort bien, et je crois vous entendre. mais ne puis-je savoir ce que dans mon sonnet…"
"dérobez au public, ces occupations ; et n'allez point quitter, de quoi que l'on vous somme,","voilà qui va fort bien, et je crois vous entendre. mais ne puis-je savoir ce que dans mon sonnet…"
"le nom que, dans la cour, vous avez d'honnête homme, pour prendre, de la main d'un avide imprimeur,","voilà qui va fort bien, et je crois vous entendre. mais ne puis-je savoir ce que dans mon sonnet…"
"celui de ridicule, et misérable auteur. c'est ce que je tâchai de lui faire comprendre.","voilà qui va fort bien, et je crois vous entendre. mais ne puis-je savoir ce que dans mon sonnet…"
"franchement, il est bon à mettre au cabinet ; vous vous êtes réglé sur de méchants modèles,","et moi, je vous soutiens que mes vers sont fort bons."
"et vos expressions ne sont point naturelles. *qu'est-ce que* nous berce un temps, notre ennui,","et moi, je vous soutiens que mes vers sont fort bons."
"*et que* rien ne marche après lui ? *que* ne vous pas mettre en dépense,","et moi, je vous soutiens que mes vers sont fort bons."
"pour ne me donner que l'espoir ? *et que* philis, on désespère,","et moi, je vous soutiens que mes vers sont fort bons."
"alors qu'on espère toujours ? ce style figuré, dont on fait vanité,","et moi, je vous soutiens que mes vers sont fort bons."
"sort du bon caractère, et de la vérité ; ce n'est que jeu de mots, qu'affectation pure,","et moi, je vous soutiens que mes vers sont fort bons."
"et ce n'est point ainsi, que parle la nature. le méchant goût du siècle, en cela, me fait peur.","et moi, je vous soutiens que mes vers sont fort bons."
"nos pères, tous grossiers, l'avaient beaucoup meilleur ; et je prise bien moins, tout ce que l'on admire,","et moi, je vous soutiens que mes vers sont fort bons."
"qu'une vieille chanson, que je m'en vais vous dire. si le roi m'avait donné","et moi, je vous soutiens que mes vers sont fort bons."
"paris, sa grand'ville, et qu'il me fallût quitter","et moi, je vous soutiens que mes vers sont fort bons."
"l'amour de ma mie ; je dirais au roi henri,","et moi, je vous soutiens que mes vers sont fort bons."
"reprenez votre paris, j'aime mieux ma mie, au gué,","et moi, je vous soutiens que mes vers sont fort bons."
"j'aime mieux ma mie. la rime n'est pas riche, et le style en est vieux :","et moi, je vous soutiens que mes vers sont fort bons."
"mais ne voyez-vous pas que cela vaut bien mieux que ces colifichets, dont le bon sens murmure,","et moi, je vous soutiens que mes vers sont fort bons."
"et que la passion parle là toute pure ? si le roi m'avait donné","et moi, je vous soutiens que mes vers sont fort bons."
"paris, sa grand'ville, et qu'il me fallût quitter","et moi, je vous soutiens que mes vers sont fort bons."
"l'amour de ma mie ; je dirais au roi henri,","et moi, je vous soutiens que mes vers sont fort bons."
"reprenez votre paris, j'aime mieux ma mie, au gué,","et moi, je vous soutiens que mes vers sont fort bons."
"j'aime mieux ma mie. voilà ce que peut dire un coeur vraiment épris.","et moi, je vous soutiens que mes vers sont fort bons."
"oui, monsieur le rieur, malgré vos beaux esprits, à philinte.","et moi, je vous soutiens que mes vers sont fort bons."
"j'estime plus cela, que la pompe fleurie de tous ces faux brillants, où chacun se récrie.","et moi, je vous soutiens que mes vers sont fort bons."
"pour les trouver ainsi, vous avez vos raisons ; mais vous trouverez bon, que j'en puisse avoir d'autres","il me suffit de voir que d'autres en font cas."
"qui se dispenseront de se soumettre aux vôtres.","il me suffit de voir que d'autres en font cas."
"c'est qu'ils ont l'art de feindre, et moi, je ne l'ai pas.","croyez-vous, donc, avoir tant d'esprit en partage ?"
"si je louais vos vers, j'en aurais davantage.","je me passerai bien que vous les approuviez."
"il faut bien, s'il vous plaît, que vous vous en passiez.","je voudrais bien, pour voir, que de votre manière ; vous en composassiez sur la même matière."
"j'en pourrais, par malheur, faire d'aussi méchants ; mais je me garderais de les montrer aux gens.","vous me parlez bien ferme, et cette suffisance…"
"autre part que chez moi, cherchez qui vous encense.","mais, mon petit monsieur, prenez-le un peu moins haut."
"ma foi, mon grand monsieur, je le prends comme il faut.","eh ! messieurs, c'en est trop, laissez cela, de grâce."
"ah ! j'ai tort, je l'avoue, et je quitte la place ; je suis votre valet, monsieur, de tout mon coeur.","et moi, je suis, monsieur, votre humble serviteur."
"hé bien, vous le voyez ; pour être trop sincère, vous voilà sur les bras, une fâcheuse affaire ;","ne me parlez pas."
"et j'ai bien vu qu'oronte, afin d'être flatté…","ne me parlez pas."
"mais…","plus de société."
"c'est trop…","laissez-moi là."
"si je…","point de langage."
"mais quoi…","je n'entends rien."
"mais…","encore."
"on outrage…","ah ! parbleu, c'en est trop, ne suivez point mes pas."
"vous vous moquez de moi, je ne vous quitte pas.","madame, voulez-vous que je vous parle net ? de vos façons d'agir, je suis mal satisfait :"
"vous vous moquez de moi, je ne vous quitte pas.","contre elles, dans mon coeur, trop de bile s'assemble, et je sens qu'il faudra que nous rompions ensemble."
"vous vous moquez de moi, je ne vous quitte pas.","oui, je vous tromperais, de parler autrement, tôt, ou tard, nous romprons, indubitablement ;"
"vous vous moquez de moi, je ne vous quitte pas.","et je vous promettrais, mille fois, le contraire, que je ne serais pas en pouvoir de le faire."
"c'est pour me quereller, donc, à ce que je vois, que vous avez voulu me ramener chez moi ?","je ne querelle point ; mais votre humeur, madame, ouvre, au premier venu, trop d'accès dans votre âme ;"
"c'est pour me quereller, donc, à ce que je vois, que vous avez voulu me ramener chez moi ?","vous avez trop d'amants, qu'on voit vous obséder, et mon cœur, de cela, ne peut s'accommoder."
"des amants que je fais, me rendez-vous coupable ? puis-je empêcher les gens, de me trouver aimable ?","non, ce n'est pas, madame, un bâton qu'il faut prendre, mais un coeur, à leurs vœux, moins facile, et moins tendre."
"et lorsque, pour me voir, ils font de doux efforts, dois-je prendre un bâton, pour les mettre dehors ?","je sais que vos appas vous suivent en tous lieux, mais votre accueil retient ceux qu'attirent vos yeux ;"
