"*Récit de *L’AURORE quand l'amour à vos yeux offre un choix agréable,"," holà ? holà ? debout, debout, debout :"
"admire nos esprits, et la fatalité, ce que n'avait point fait sa vue et sa beauté,","mais à quoi bon, seigneur, les soins que vous prenez ? et pourquoi ce secret où vous vous obstinez ?"
"le bruit de ses fiertés en mon âme fit naître un transport inconnu, dont je ne fus point maître ;","vous aimez, dites-vous, cette illustre princesse, et venez à ses yeux signaler votre adresse,"
"ce dédain si fameux eut des charmes secrets à me faire avec soin rappeler tous ses traits,","et nuls empressements, paroles, ni soupirs ne l'ont instruite encor de vos brûlants désirs."
"et mon esprit jetant de nouveaux yeux sur elle m'en refit une image et si noble, et si belle ;","pour moi je n'entends rien à cette politique qui ne veut point souffrir que votre cœur s'explique,"
"me peignit tant de gloire, et de telles douceurs à pouvoir triompher de toutes ses froideurs,","et je ne sais quel fruit peut prétendre un amour qui fuit tous les moyens de se produire au jour."
"que mon cœur aux brillants d'une telle victoire vit de sa liberté s'évanouir la gloire ;","mais à quoi bon, seigneur, les soins que vous prenez ? et pourquoi ce secret où vous vous obstinez ?"
"contre une telle amorce il eut beau s'indigner, sa douceur sur mes sens prit tel droit de régner,","vous aimez, dites-vous, cette illustre princesse, et venez à ses yeux signaler votre adresse,"
"qu'entraîné par l'effort d'une occulte puissance j'ai d'ithaque en ces lieux fait voile en diligence,","et nuls empressements, paroles, ni soupirs ne l'ont instruite encor de vos brûlants désirs."
"et je couvre un effet de mes vœux enflammés du désir de paraître à ses jeux renommés,","pour moi je n'entends rien à cette politique qui ne veut point souffrir que votre cœur s'explique,"
"où l'illustre iphitas, père de la princesse, assemble la plupart des princes de la grèce.","et je ne sais quel fruit peut prétendre un amour qui fuit tous les moyens de se produire au jour."
"et que ferai-je, arbate, en déclarant ma peine, qu'attirer les dédains de cette âme hautaine ?","et c'est dans ce mépris, et dans cette humeur fière que votre âme à ses vœux doit voir plus de lumière,"
"et me jeter au rang de ces princes soumis que le titre d'amants lui peint en ennemis ?","puisque le sort vous donne à conquérir un cœur que défend seulement une jeune froideur,"
"tu vois les souverains de messène et de pyle lui faire de leurs cœurs un hommage inutile,","et qui n'impose point à l'ardeur qui vous presse de quelque attachement l'invincible tendresse :"
"et de l'éclat pompeux des plus hautes vertus en appuyer en vain les respects assidus :","un cœur préoccupé résiste puissamment ; mais quand une âme est libre, on la force aisément,"
"ce rebut de leurs soins, sous un triste silence, retient de mon amour toute la violence ;","et toute la fierté de son indifférence n'a rien dont ne triomphe un peu de patience."
"je me tiens condamné dans ces rivaux fameux, et je lis mon arrêt au mépris qu'on fait d'eux.","ne lui cachez donc plus le pouvoir de ses yeux, faites de votre flamme un éclat glorieux,"
"et que ferai-je, arbate, en déclarant ma peine, qu'attirer les dédains de cette âme hautaine ?","et bien loin de trembler de l'exemple des autres, du rebut de leurs vœux enflez l'espoir des vôtres :"
"et me jeter au rang de ces princes soumis que le titre d'amants lui peint en ennemis ?","peut-être pour toucher ses sévères appas, aurez-vous des secrets que ces princes n'ont pas ;"
"tu vois les souverains de messène et de pyle lui faire de leurs cœurs un hommage inutile,","et si de ses fiertés l'impérieux caprice ne vous fait éprouver un destin plus propice,"
"et de l'éclat pompeux des plus hautes vertus en appuyer en vain les respects assidus :","au moins est-ce un bonheur en ces extrémités que de voir avec soi ses rivaux rebutés."
"j'aime à te voir presser cet aveu de ma flamme, combattant mes raisons tu chatouilles mon âme,","moron, seigneur."
"et par ce que j'ai dit je voulais pressentir si de ce que j'ai fait tu pourrais m'applaudir :","moron, seigneur."
"car, enfin, puisqu'il faut t'en faire confidence, on doit à la princesse expliquer mon silence,","moron, seigneur."
"et peut-être au moment que je t'en parle ici le secret de mon cœur, arbate, est éclairci.","moron, seigneur."
"cette chasse, où pour fuir la foule qui l'adore, tu sais qu'elle est allée au lever de l'aurore,","moron, seigneur."
"est le temps que moron pour déclarer mon feu, a pris…","moron, seigneur."
"ce choix t'étonne un peu ; par son titre de fou tu crois le bien connaître,","au secours ! sauvez-moi de la bête cruelle !"
"mais sache qu'il l'est moins qu'il ne le veut paraître, et que malgré l'emploi qu'il exerce aujourd'hui","au secours ! sauvez-moi de la bête cruelle !"
"il a plus de bon sens que tel qui rit de lui : la princesse se plaît à ses bouffonneries,","au secours ! sauvez-moi de la bête cruelle !"
"il s'en est fait aimer par cent plaisanteries, et peut dans cet accès dire et persuader","au secours ! sauvez-moi de la bête cruelle !"
"ce que d'autres que lui n'oseraient hasarder ; je le vois propre, enfin, à ce que j'en souhaite,","au secours ! sauvez-moi de la bête cruelle !"
"il a pour moi, dit-il, une amitié parfaite, et veut (dans mes états ayant reçu le jour)","au secours ! sauvez-moi de la bête cruelle !"
"contre tous mes rivaux appuyer mon amour : quelque argent mis en main pour soutenir ce zèle…","au secours ! sauvez-moi de la bête cruelle !"
"moron représenté par le sieur de molière arrive  et ayant le souvenir d'un furieux sanglier devant lequel il avait fui à la chasse demande secours  et rencontrant euryale ","au secours ! sauvez-moi de la bête cruelle !"
"et arbate se m et au milieu d'eux pour plus de sûreté après leur avoir témoigné sa peur  et leur disant cent choses plaisantes sur son peu de bravoure.","au secours ! sauvez-moi de la bête cruelle !"
"moron, arbate, euryale.","au secours ! sauvez-moi de la bête cruelle !"
"je pense ouïr sa voix ?","à moi, de grâce, à moi !"
"c'est lui-même, où court-il avec un tel effroi ?","où pourrai-je éviter ce sanglier redoutable ? grands dieux ! préservez-moi de sa dent effroyable !"
"c'est lui-même, où court-il avec un tel effroi ?","je vous promets, pourvu qu'il ne m'attrape pas, quatre livres d'encens, et deux veaux des plus gras."
"c'est lui-même, où court-il avec un tel effroi ?","ha ! je suis mort !"
"qu'as-tu ?","je vous croyais la bête dont à me diffamer j'ai vu la gueule prête,"
"qu'as-tu ?","seigneur, et je ne puis revenir de ma peur."
"qu'est-ce ?","ô ! que la princesse est d'une étrange humeur ! et qu'à suivre la chasse et ses extravagances"
"qu'est-ce ?","il nous faut essuyer de sottes complaisances ! quel diable de plaisir trouvent tous les chasseurs"
"qu'est-ce ?","de se voir exposés à mille et mille peurs, encore si c'était qu'on ne fût qu'à la chasse"
"qu'est-ce ?","des lièvres, des lapins, et des jeunes daims, passe ; ce sont des animaux d'un naturel fort doux,"
"qu'est-ce ?","et qui prennent toujours la fuite devant nous : mais aller attaquer de ces bêtes vilaines"
"qu'est-ce ?","qui n'ont aucun respect pour les faces humaines, et qui courent les gens qui les veulent courir,"
"qu'est-ce ?","c'est un sot passe-temps que je ne puis souffrir."
"dis-nous donc ce que c'est ?","le pénible exercice où de notre princesse a volé le caprice !…"
"dis-nous donc ce que c'est ?","j'en aurais bien juré qu'elle aurait fait le tour, et la course des chars se faisant en ce jour,"
"dis-nous donc ce que c'est ?","il fallait affecter ce contretemps de chasse pour mépriser ses jeux avec meilleure grâce,"
"dis-nous donc ce que c'est ?","et faire voir… mais chut, achevons mon récit, et reprenons le fil de ce que j'avais dit."
"dis-nous donc ce que c'est ?","qu'ai-je dit ?"
"tu parlais d'exercice pénible.","ah ! oui, succombant donc à ce travail horrible ; car en chasseur fameux j'étais enharnaché,"
"tu parlais d'exercice pénible.","et dès le point du jour je m'étais découché : je me suis écarté de tous en galant homme"
"tu parlais d'exercice pénible.","et trouvant un lieu propre à dormir d'un bon somme j'essayais ma posture, et m'ajustant bientôt,"
"tu parlais d'exercice pénible.","prenais déjà mon ton pour ronfler comme il faut lorsqu'un murmure affreux m'a fait lever la vue,"
"tu parlais d'exercice pénible.","et j'ai d'un vieux buisson de la forêt touffue vu sortir un sanglier d'une énorme grandeur"
"tu parlais d'exercice pénible.","pour…"
"qu'est-ce ?","ce n'est rien, n'ayez point de frayeur ! mais laissez-moi passer entre vous deux pour cause,"
"qu'est-ce ?","je serai mieux en main pour vous conter la chose : j'ai donc vu ce sanglier, qui par nos gens chassé"
"qu'est-ce ?","avait d'un air affreux tout son poil hérissé ; ces deux yeux flamboyants ne lançaient que menace,"
"qu'est-ce ?","et sa gueule faisait une laide grimace, qui parmi de l'écume à qui l'osait presser"
"qu'est-ce ?","montrait de certains crocs… je vous laisse à penser ! à ce terrible aspect j'ai ramassé mes armes ;"
"qu'est-ce ?","mais le faux animal sans en prendre d'alarmes est venu droit à moi, qui ne lui disais mot."
"et tu l'as de pied ferme attendu ?","quelque sot, j'ai jeté tout par terre, et couru comme quatre."
"fuir devant un sanglier ayant de quoi l'abattre, ce trait, moron, n'est pas généreux…","j'y consens, il n'est pas généreux, mais il est de bon sens."
"mais par quelques exploits, si l'on ne s'éternise…","je suis votre valet, et j'aime mieux qu'on dise, c'est ici qu'en fuyant sans se faire prier"
"mais par quelques exploits, si l'on ne s'éternise…","moron sauva ses jours des fureurs d'un sanglier, que si l'on y disait, voilà l'illustre place"
"mais par quelques exploits, si l'on ne s'éternise…","où le brave moron, d'une héroïque audace, affrontant d'un sanglier l'impétueux effort,"
"mais par quelques exploits, si l'on ne s'éternise…","par un coup de ses dents vit terminer son sort."
"fort bien…","oui, j'aime mieux, n'en déplaise à la gloire, vivre au monde deux jours que mille ans dans l'histoire."
"en effet ton trépas fâcherait tes amis ; mais si de ta frayeur ton esprit est remis","il ne faut point, seigneur, que je vous dissimule, je n'ai rien fait encore, et n'ai point rencontré"
"puis-je te demander si du feu qui me brûle…","de temps pour lui parler qui fût selon mon gré : l'office de bouffon a des prérogatives ;"
"en effet ton trépas fâcherait tes amis ; mais si de ta frayeur ton esprit est remis","mais souvent on rabat nos libres tentatives : le discours de vos feux est un peu délicat,"
"puis-je te demander si du feu qui me brûle…","et c'est chez la princesse une affaire d'état ; vous savez de quel titre elle se glorifie,"
"en effet ton trépas fâcherait tes amis ; mais si de ta frayeur ton esprit est remis","et qu'elle a dans la tête une philosophie qui déclare la guerre au conjugal lien,"
"puis-je te demander si du feu qui me brûle…","et vous traite l'amour de déité de rien : pour n'effaroucher point son humeur de tigresse"
"en effet ton trépas fâcherait tes amis ; mais si de ta frayeur ton esprit est remis","il me faut manier la chose avec adresse ; car on doit regarder comme l'on parle aux grands,"
"puis-je te demander si du feu qui me brûle…","et vous êtes parfois d'assez fâcheuses gens. laissez-moi doucement conduire cette trame,"
"en effet ton trépas fâcherait tes amis ; mais si de ta frayeur ton esprit est remis","je me sens là pour vous un zèle tout de flamme, vous êtes né mon prince, et quelques autres nœuds"
"puis-je te demander si du feu qui me brûle…","pourraient contribuer au bien que je vous veux : ma mère dans son temps passait pour assez belle,"
"en effet ton trépas fâcherait tes amis ; mais si de ta frayeur ton esprit est remis","et naturellement n'était pas fort cruelle ; feu votre père alors, ce prince généreux,"
"puis-je te demander si du feu qui me brûle…","sur la galanterie était fort dangereux, et je sais qu'elpenor, qu'on appelait mon père,"
"en effet ton trépas fâcherait tes amis ; mais si de ta frayeur ton esprit est remis","à cause qu'il était le mari de ma mère, contait pour grand honneur aux pasteurs d'aujourd'hui"
"puis-je te demander si du feu qui me brûle…","que le prince autrefois était venu chez lui, et que durant ce temps il avait l'avantage"
"en effet ton trépas fâcherait tes amis ; mais si de ta frayeur ton esprit est remis","de se voir salué de tous ceux du village : baste, quoi qu'il en soit je veux par mes travaux…"
"puis-je te demander si du feu qui me brûle…","mais voici la princesse, et deux de vos rivaux. la princesse d'élide parut ensuite avec les princes de messène "
"en effet ton trépas fâcherait tes amis ; mais si de ta frayeur ton esprit est remis","et de pyle lesquels firent remarquer en eux des caractères bien différents de celui du prince d'ithaque   et lui cédèrent dans le cœur de la princesse tous les avantages qu'il pouvait désirer :"
"puis-je te demander si du feu qui me brûle…","cette aimable princesse ne témoigna pas pourtant que le mérite de ce prince eût fait aucune impression sur son esprit  et qu'elle l'eût quasi remarqué  elle témoigna toujours comme une autre diane"
"en effet ton trépas fâcherait tes amis ; mais si de ta frayeur ton esprit est remis","n'aimer que la chasse et les forêts  et lorsque le prince de messène voulut lui faire valoir le service qu'il lui avait rendu en la défaisant d'un fort grand sanglier qui l'avait attaquée"
"puis-je te demander si du feu qui me brûle…","elle lui dit que sans rien diminuer de sa reconnaissance elle trouvait son secours d'autant moins considérable qu'elle en avait tué toute seule d'aussi furieux  et fût peut-être bien encore venue à bout de celui-ci."
"en effet ton trépas fâcherait tes amis ; mais si de ta frayeur ton esprit est remis","la princesse *et sa suite*, aristomène, théocle, euryale, arbate, moron."
"reprochez-vous, madame, à nos justes alarmes, ce péril dont tous deux avons sauvé vos charmes,","pour moi je tiens, madame, à sensible bonheur l'action où pour vous a volé tout mon cœur,"
"j'aurais pensé pour moi qu'abattre sous nos coups ce sanglier qui portait sa fureur jusqu'à vous,","et ne puis consentir, malgré votre murmure, à quereller le sort d'une telle aventure :"
"était une aventure (ignorant votre chasse) dont à nos bons destins nous dussions rendre grâce :","d'un objet odieux je sais que tout déplaît ; mais dût votre courroux être plus grand qu'il n'est,"
"mais à cette froideur je connais clairement que je dois concevoir un autre sentiment,","c'est extrême plaisir, quand l'amour est extrême, de pouvoir d'un péril affranchir ce qu'on aime."
"et quereller du sort la fatale puissance qui me fait avoir part à ce qui vous offense.","pour moi je tiens, madame, à sensible bonheur l'action où pour vous a volé tout mon cœur,"
"et pensez-vous, seigneur, puisqu'il me faut parler, qu'il eût en ce péril de quoi tant m'ébranler ?","mais, madame…"
"que l'arc, et que le dard, pour moi si pleins de charmes, ne soient entre mes mains que d'inutiles armes ?","mais, madame…"
"et que je fasse, enfin, mes plus fréquents emplois de parcourir nos monts, nos plaines et nos bois,","mais, madame…"
"pour n'oser en chassant concevoir l'espérance de suffire moi seule à ma propre défense ?","mais, madame…"
"certes avec le temps j'aurais bien profité de ces soins assidus dont je fais vanité","mais, madame…"
"s'il fallait que mon bras, dans une telle quête, ne pût pas triompher d'une chétive bête ;","mais, madame…"
"du moins si pour prétendre à de sensibles coups le commun de mon sexe est trop mal avec vous,","mais, madame…"
"d'un étage plus haut accordez-moi la gloire, et me faites tous deux cette grâce de croire,","mais, madame…"
"seigneurs, que quel que fût le sanglier d'aujourd'hui, j'en ai mis bas, sans vous, de plus méchants que lui.","mais, madame…"
"hé bien, soit, je vois que votre envie est de persuader que je vous dois la vie ;","heu ! a-t-on jamais vu de plus farouche esprit ? de ce vilain sanglier l'heureux trépas l'aigrit :"
"j'y consens ; oui sans vous c'était fait de mes jours, je rends de tout mon cœur grâce à ce grand secours,","ô comme volontiers j'aurais d'un beau salaire récompensé tantôt qui m'en eût su défaire !"
"et je vais de ce pas au prince pour lui dire les bontés que pour moi votre amour vous inspire.","heu ! a-t-on jamais vu de plus farouche esprit ? de ce vilain sanglier l'heureux trépas l'aigrit :"
"je vous vois tout pensif, seigneur, de ses dédains ; mais ils n'ont rien qui doive empêcher vos desseins,","il faut qu'avant la course elle apprenne vos feux et je…"
"son heure doit venir, et c'est à vous possible qu'est réservé l'honneur de la rendre sensible.","il faut qu'avant la course elle apprenne vos feux et je…"
"non, ce n'est plus, moron, ce que je veux ; garde-toi de rien dire, et me laisse un peu faire,","peut-on savoir, seigneur, par où votre espérance… ?"
"j'ai résolu de prendre un chemin tout contraire ; je vois trop que son cœur s'obstine à dédaigner","peut-on savoir, seigneur, par où votre espérance… ?"
"tous ces profonds respects qui pensent la gagner, et le dieu qui m'engage à soupirer pour elle","peut-on savoir, seigneur, par où votre espérance… ?"
"m'inspire pour la vaincre une adresse nouvelle : oui, c'est lui d'où me vient ce soudain mouvement,","peut-on savoir, seigneur, par où votre espérance… ?"
"et j'en attends de lui l'heureux événement.","peut-on savoir, seigneur, par où votre espérance… ?"
"l'agréable moron laissa aller le prince pour parler de sa passion naissante aux bois et aux rochers  et faisant retentir partout le beau nom de sa bergère philis","jusqu'au revoir ; pour moi je reste ici, et j'ai une petite conversation à faire avec ces arbres et ces rochers. bois, prés, fontaines, fleurs qui voyez mon teint blême,"
"un écho ridicule lui répondant bizarrement il y prit si grand plaisir que riant en cent manières il fit répondre autant de fois c et écho sans témoigner d'en être ennuyé :","si vous ne le savez, je vous apprends que j'aime ; philis est l'objet charmant"
" mais un ours vint interrompre ce beau divertissement  et le surprit si fort par cette vue peu attendue qu'il donna des sensibles marques de sa peur : il lui fit faire devant l'ours toutes les soumissions dont il se pût aviser pour l'adoucir :","qui tient mon cœur à l'attache, et je devins son amant"
"enfin se jetant à un arbre pour y monter comme il vit que l'ours y voulait grimper aussi bien que lui  il cria au secours d'une voix si haute qu'elle attira huit paysans armés de bâtons à deux bouts ","la voyant traire une vache. ses doigts tout pleins de lait, et plus blancs mille fois"
"et d'épieux pendant qu'un autre ours parut ensuite du premier. il se fit un combat qui finit par la mort d'un des ours  et par la fuite de l'autre :","pressaient les bouts du pis d'une grâce admirable ; ouf ! cette idée est capable"
"l'agréable moron laissa aller le prince pour parler de sa passion naissante aux bois et aux rochers  et faisant retentir partout le beau nom de sa bergère philis","de me réduire aux abois. ah ! philis, philis, philis."
"un écho ridicule lui répondant bizarrement il y prit si grand plaisir que riant en cent manières il fit répondre autant de fois c et écho sans témoigner d'en être ennuyé :","ah ! hem, ah ah ah ! hi hi hi hi. oh oh oh oh. voilà un écho qui est bouffon ! hom hom hom,"
" mais un ours vint interrompre ce beau divertissement  et le surprit si fort par cette vue peu attendue qu'il donna des sensibles marques de sa peur : il lui fit faire devant l'ours toutes les soumissions dont il se pût aviser pour l'adoucir :","ha ha ha ha ha. uh uh uh. voilà un écho qui est bouffon !"
