"seigneur la grange.","quoi ?"
"il y fait un peu crotté, mais nous avons la chaise.","il est vrai que la chaise est un retranchement merveilleux contre les insultes de la boue, et du mauvais temps."
"vous recevez beaucoup de visites ? quel bel esprit est des vôtres ?","hélas nous ne sommes pas encore connues  mais nous sommes en passe de l'être  et nous avons une amie particulière qui nous a promis d'amener ici tous ces messieurs du *recueil des pièces choisies*."
"et certains autres, qu'on nous a nommés aussi, pour être les arbitres souverains des belles choses.","c'est moi qui ferai votre affaire mieux que personne ils me rendent tous visite  et je puis dire que je ne me lève jamais sans une demi-douzaine de beaux esprits."
"eh ! mon dieu nous vous serons obligées de la dernière obligation si vous nous faites cette amitié : car enfin il faut avoir la connaissance de tous ces messieurs-là","en eff et je trouve que c'est renchérir sur le ridicule qu'une personne se pique d'esprit  et ne sache pas jusqu'au moindre petit quatrain qui se fait chaque jour "
"si l'on veut être du beau monde. ce sont ceux qui donnent le branle à la réputation dans paris   et vous savez qu'il y en a tel dont il ne faut que la seule fréquentation"," et pour moi j'aurais toutes les hontes du monde s'il fallait qu'on vînt à me demander si j'aurais vu quelque chose de nouveau que je n'aurais pas vu."
"pour vous donner bruit de connaisseuse quand il n'y aurait rien autre chose que cela.  mais pour moi ce que je considère particulièrement c'est que","en eff et je trouve que c'est renchérir sur le ridicule qu'une personne se pique d'esprit  et ne sache pas jusqu'au moindre petit quatrain qui se fait chaque jour "
"par le moyen de ces visites spirituelles on est instruite de cent choses qu'il faut savoir de nécessité  et qui sont de l'essence d'un bel esprit."," et pour moi j'aurais toutes les hontes du monde s'il fallait qu'on vînt à me demander si j'aurais vu quelque chose de nouveau que je n'aurais pas vu."
"on apprend par là chaque jour les petites nouvelles galantes  les jolis commerces de prose  et de vers. on sait à point nommé","en eff et je trouve que c'est renchérir sur le ridicule qu'une personne se pique d'esprit  et ne sache pas jusqu'au moindre petit quatrain qui se fait chaque jour "
"un tel a composé la plus jolie pièce du monde sur un tel sujet  une telle a fait des paroles sur un tel air celui-ci a fait un madrigal sur une jouissance "," et pour moi j'aurais toutes les hontes du monde s'il fallait qu'on vînt à me demander si j'aurais vu quelque chose de nouveau que je n'aurais pas vu."
"celui-là a composé des stances sur une infidélité monsieur un tel écrivit hier au soir un sixain à mademoiselle une telle dont elle lui a envoyé la réponse ce matin sur les huit heures","en eff et je trouve que c'est renchérir sur le ridicule qu'une personne se pique d'esprit  et ne sache pas jusqu'au moindre petit quatrain qui se fait chaque jour "
"un tel auteur a fait un tel dessein celui-là en est à la troisième partie de son roman  c et autre m et ses ouvrages sous la presse : c'est là ce qui vous fait valoir dans les compagnies "," et pour moi j'aurais toutes les hontes du monde s'il fallait qu'on vînt à me demander si j'aurais vu quelque chose de nouveau que je n'aurais pas vu."
" et si l'on ignore ces choses je ne donnerais pas un clou de tout l'esprit qu'on peut avoir.","en eff et je trouve que c'est renchérir sur le ridicule qu'une personne se pique d'esprit  et ne sache pas jusqu'au moindre petit quatrain qui se fait chaque jour "
"il est vrai qu'il est honteux de n'avoir pas des premiers tout ce qui se fait  mais ne vous mettez pas en peine je veux établir chez vous une académie de beaux esprits","je vous avoue, que je suis furieusement pour les portraits ; je ne vois rien de si galant que cela."
" et je vous promets qu'il ne se fera pas un bout de vers dans paris que vous ne sachiez par cœur avant tous les autres. pour moi tel que vous me voyez","je vous avoue, que je suis furieusement pour les portraits ; je ne vois rien de si galant que cela."
"je m'en escrime un peu quand je veux  et vous verrez courir de ma façon dans les belles ruelles de paris deux cents chansons autant de sonnets quatre cents épigrammes","je vous avoue, que je suis furieusement pour les portraits ; je ne vois rien de si galant que cela."
" et plus de mille madrigaux sans compter les énigmes  et les portraits.","je vous avoue, que je suis furieusement pour les portraits ; je ne vois rien de si galant que cela."
"les portraits sont difficiles, et demandent un esprit profond. vous en verrez de ma manière, qui ne vous déplairont pas.","pour moi j'aime terriblement les énigmes."
"cela exerce l'esprit, et j'en ai fait quatre encore ce matin, que je vous donnerai à deviner.","les madrigaux sont agréables, quand ils sont bien tournés."
"c'est mon talent particulier, et je travaille à mettre en madrigaux toute l'histoire romaine.","ah ! certes, cela sera du dernier beau, j'en retiens un exemplaire au moins, si vous le faites imprimer."
"je vous en promets à chacune un  et des mieux reliés. cela est au-dessous de ma condition   mais je le fais seulement pour donner à gagner aux libraires","je m'imagine que le plaisir est grand de se voir imprimé."
"sans doute  mais à propos il faut que je vous die un impromptu que je fis hier chez une duchesse de mes amies que je fus visiter ","l'impromptu est justement la pierre de touche de l'esprit."
"écoutez donc.","nous y sommes de toutes nos oreilles."
"oh, oh, je n'y prenais pas garde, tandis que sans songer à mal, je vous regarde.","ah mon dieu ! voilà qui est poussé dans le dernier galant."
"votre œil en tapinois me dérobe mon cœur, au voleur, au voleur, au voleur, au voleur.","ah mon dieu ! voilà qui est poussé dans le dernier galant."
"tout ce que je fais a l'air cavalier, cela ne sent point le pédant.","il en est éloigné de plus de deux mille lieues."
"avez-vous remarqué ce commencement *oh oh* ? voilà qui est extraordinaire *oh oh. *comme un homme qui s'avise tout d'un coup *oh oh. *la surprise","oui, je trouve ce *oh, oh,* admirable."
"il semble que cela ne soit rien.","ah, mon dieu, que dites-vous ! ce sont là de ces sortes de choses qui ne se peuvent payer."
"sans doute, et j'aimerais mieux avoir fait ce *oh, oh,* qu'un poème épique.","tudieu, vous avez le goût bon."
"eh, je ne l'ai pas tout à fait mauvais."," mais n'admirez-vous pas aussi *je n'y prenais pas garde* ? *je n'y prenais pas garde* je ne m'apercevais pas de cela façon de parler naturelle *je n'y prenais pas garde."
"eh, je ne l'ai pas tout à fait mauvais.","tandis que sans songer à mal. *tandis qu'innocemment sans malice comme un pauvre mouton *je vous regarde*  c'est-à-dire je m'amuse à vous considérer"
"eh, je ne l'ai pas tout à fait mauvais.","je vous observe je vous contemple. *votre œil en tapinois…* que vous semble de ce mot"
"tout à fait bien.","*tapinois*, en cachette, il semble que ce soit un chat qui vienne de prendre une souris. *tapinois*."
"il ne se peut rien de mieux.","*me dérobe mon cœur* me l'emporte me le ravit. *au voleur au voleur au voleur au voleur*. ne diriez-vous pas que c'est un homme qui crie "
"il ne se peut rien de mieux.","et court après un voleur pour le faire arrêter *au voleur au voleur"
"il faut avouer que cela a un tour spirituel, et galant.","je veux vous dire l'air que j'ai fait dessus."
"vous avez appris la musique ?","moi ? point du tout."
"et comment donc cela se peut-il ?","les gens de qualité savent tout, sans avoir jamais rien appris."
"assurément, ma chère.","écoutez si vous trouverez l'air à votre goût : *hem hem la la la la la*. la brutalité de la saison a furieusement outragé la délicatesse de ma voix "
"assurément, ma chère.","il chante. oh, oh, je n'y prenais pas ...."
"ah que voilà un air qui est passionné ! est-ce qu'on n'en meurt point ?","il y a de la chromatique-là dedans."
"ne trouvez-vous pas la pensée bien exprimée dans le chant ? *au voleur... * et puis comme si l'on criait bien fort *au au au au au au voleur* ","c'est là savoir le fin des choses le grand fin le fin du fin. tout est merveilleux je vous assure  je suis enthousiasmée de l'air"
" et tout d'un coup comme une personne essoufflée *au voleur*.","c'est là savoir le fin des choses le grand fin le fin du fin. tout est merveilleux je vous assure  je suis enthousiasmée de l'air"
"je n'ai encore rien vu de cette force-là.","tout ce que je fais me vient naturellement, c'est sans étude."
"la nature vous a traité en vraie mère passionnée, et vous en êtes l'enfant gâté.","à quoi donc passez-vous le temps ?"
"à rien du tout.","nous avons été jusqu'ici, dans un jeûne effroyable de divertissements."
"je m'offre à vous mener l'un de ces jours à la comédie si vous voulez aussi bien on en doit jouer une nouvelle que je serai bien aise","cela n'est pas de refus."
" mais je vous demande d'applaudir comme il faut quand nous serons là. car je me suis engagé de faire valoir la pièce  et l'auteur m'en est venu prier encore ce matin.","ne m'en parlez point c'est un admirable lieu que paris  il s'y passe cent choses tous les jours qu'on ignore dans les provinces quelque spirituelle qu'on puisse être."
"c'est la coutume ici qu'à nous autres gens de condition les auteurs viennent lire leurs pièces nouvelles pour nous engager à les trouver belles  et leur donner de la réputation","ne m'en parlez point c'est un admirable lieu que paris  il s'y passe cent choses tous les jours qu'on ignore dans les provinces quelque spirituelle qu'on puisse être."
" et je vous laisse à penser si quand nous disons quelque chose le parterre ose nous contredire. pour moi j'y suis fort exact   et quand j'ai promis à quelque poète","ne m'en parlez point c'est un admirable lieu que paris  il s'y passe cent choses tous les jours qu'on ignore dans les provinces quelque spirituelle qu'on puisse être."
"je crie toujours voilà qui est beau devant que les chandelles soient allumées.","ne m'en parlez point c'est un admirable lieu que paris  il s'y passe cent choses tous les jours qu'on ignore dans les provinces quelque spirituelle qu'on puisse être."
"c'est assez puisque nous sommes instruites nous ferons notre devoir de nous écrier comme il faut sur tout ce qu'on dira.","je ne sais si je me trompe ; mais vous avez toute la mine d'avoir fait quelque comédie."
"eh, il pourrait être quelque chose de ce que vous dites.","ah, ma foi, il faudra que nous la voyions. entre nous, j'en ai composé une que je veux faire représenter."
"hé, à quels comédiens la donnerez-vous ?","belle demande ! aux grands comédiens. il n'y a qu'eux qui soient capables de faire valoir les choses  les autres sont des ignorants qui récitent comme l'on parle ils ne savent pas faire ronfler les vers "
"hé, à quels comédiens la donnerez-vous ?","et s'arrêter au bel endroit le moyen de connaître où est le beau vers si le comédien ne s'y arrête et ne vous avertit par là qu'il faut faire le brouhaha."
"en effet il y a manière de faire sentir aux auditeurs les beautés d'un ouvrage","que vous semble de ma petite-oie ? la trouvez-vous congruante à l'habit ?"
"tout à fait.","le ruban est bien choisi."
"furieusement bien. c'est perdrigeon tout pur.","que dites-vous de mes canons ?"
"ils ont tout à fait bon air.","je puis me vanter au moins qu'ils ont un grand quartier plus que tous ceux qu'on fait."
"il faut avouer que je n'ai jamais vu porter si haut l'élégance de l'ajustement.","attachez un peu sur ces gants la réflexion de votre odorat."
"ils sentent terriblement bon.","je n'ai jamais respiré une odeur mieux conditionnée."
"et celle-là ?","elle est tout à fait de qualité ; le sublime en est touché délicieusement."
"vous ne me dites rien de mes plumes, comment les trouvez-vous ?","effroyablement belles."
"savez-vous que le brin me coûte un louis d'or ? pour moi j'ai cette manie de vouloir donner généralement sur tout ce qu'il y a de plus beau.","je vous assure que nous sympathisons vous  et moi j'ai une délicatesse furieuse pour tout ce que je porte   et jusqu'à mes chaussettes je ne puis rien souffrir qui ne soit de la bonne ouvrière."
"ahi ahi ahi doucement  dieu me damne mesdames c'est fort mal en user ","qu'est-ce donc ? qu'avez-vous ?"
"quoi toutes deux contre mon cœur en même temps ? m'attaquer à droit  et à gauche ? ah c'est contre le droit des gens la partie n'est pas égale","il faut avouer qu'il dit les choses d'une manière particulière."
"il a un tour admirable dans l'esprit.","vous avez plus de peur que de mal, et votre cœur crie avant qu'on l'écorche."
"comment diable ! il est écorché depuis la tête jusqu'aux pieds.","madame, on demande à vous voir."
"qui ?","le vicomte de jodelet."
"le vicomte de jodelet ?","oui, monsieur."
"le connaissez-vous ?","c'est mon meilleur ami."
"faites entrer vitement.","il y a quelque temps que nous ne nous sommes vus, et je suis ravi de cette aventure."
"le voici.","ah vicomte !"
"ah marquis !","que je suis aise de te rencontrer !"
"que j'ai de joie de te voir ici !","baise-moi donc encore un peu, je te prie."
"ma toute bonne, nous commençons d'être connues, voilà le beau monde qui prend le chemin de nous venir voir.","mesdames, agréez que je vous présente ce gentilhomme-ci. sur ma parole, il est digne d'être connu de vous."
"il est juste de venir vous rendre ce qu'on vous doit  et vos attraits exigent leurs droits seigneuriaux sur toutes sortes de personnes.","c'est pousser vos civilités jusqu'aux derniers confins de la flatterie."
"cette journée doit être marquée dans notre almanach, comme une journée bienheureuse.","allons, petit garçon, faut-il toujours vous répéter les choses ? voyez-vous pas qu'il faut le surcroît d'un fauteuil ?"
"ne vous étonnez pas de voir le vicomte de la sorte il ne fait que sortir d'une maladie qui lui a rendu le visage pâle","ce sont fruits des veilles de la cour, et des fatigues de la guerre."
"savez-vous, mesdames, que vous voyez dans le vicomte un des vaillants hommes du siècle ? c'est un brave à trois poils.","vous ne m'en devez rien, marquis, et nous savons ce que vous savez faire aussi."
"il est vrai que nous nous sommes vus tous deux dans l'occasion.","et dans des lieux où il faisait fort chaud."
"oui, mais non pas si chaud qu'ici. hay, hay, hay.","notre connaissance s'est faite à l'armée  et la première fois que nous nous vîmes il commandait un régiment de cavalerie sur les galères de malte."
"il est vrai  mais vous étiez pourtant dans l'emploi avant que j'y fusse  et je me souviens que je n'étais que petit officier encore que vous commandiez deux mille chevaux.","la guerre est une belle chose : mais ma foi, la cour récompense bien mal aujourd'hui les gens de service comme nous."
"c'est ce qui fait que je veux pendre l'épée au croc.","pour moi j'ai un furieux tendre pour les hommes d'épée."
"je les aime aussi : mais je veux que l'esprit assaisonne la bravoure.","te souvient-il, vicomte, de cette demi-lune, que nous emportâmes sur les ennemis au siège d'arras ?"
"que veux-tu dire avec ta demi-lune ? c'était bien une lune toute entière.","je pense que tu as raison."
"il m'en doit bien souvenir ma foi : j'y fus blessé à la jambe d'un coup de grenade dont je porte encore les marques. tâtez un peu de grâce vous sentirez quelque coup","il est vrai que la cicatrice est grande."
"donnez-moi un peu votre main, et tâtez celui-ci : là, justement au derrière de la tête. y êtes-vous ?","oui, je sens quelque chose."
"c'est un coup de mousquet que je reçus la dernière campagne que j'ai faite.","voici un autre coup qui me perça de part en part à l'attaque de gravelines."
"je vais vous montrer une furieuse plaie.","il n'est pas nécessaire, nous le croyons, sans y regarder."
"ce sont des marques honorables, qui font voir ce qu'on est.","nous ne doutons point de ce que vous êtes."
"vicomte, as-tu là ton carrosse ?","pourquoi ?"
"nous mènerions promener ces dames hors des portes, et leur donnerions un cadeau.","nous ne saurions sortir aujourd'hui."
"ayons donc les violons pour danser.","ma foi c'est bien avisé."
"pour cela nous y consentons ; mais il faut donc quelque surcroît de compagnie.","holà champagne picard bourguignon casquaret basque la verdure lorrain provençal la violette. au diable soient tous les laquais."
"pour cela nous y consentons ; mais il faut donc quelque surcroît de compagnie.","je ne pense pas qu'il y ait gentilhomme en france plus mal servi que moi."
"almanzor dites aux gens de monsieur qu'ils aillent quérir des violons  et nous faites venir ces messieurs  et ces dames d'ici près pour peupler la solitude de notre bal.","vicomte, que dis-tu de ces yeux ?"
"mais toi-même, marquis, que t'en semble ?","moi je dis que nos libertés auront peine à sortir d'ici les braies nettes. au moins pour moi je reçois d'étranges secousses  et mon cœur ne tient plus qu'à un filet."
"que tout ce qu'il dit est naturel ! il tourne les choses le plus agréablement du monde.","il est vrai, qu'il fait une furieuse dépense en esprit."
"pour vous montrer que je suis véritable, je veux faire un impromptu là-dessus.","eh je vous en conjure de toute la dévotion de mon cœur. que nous ayons quelque chose qu'on ait fait pour nous."
"j'aurais envie d'en faire autant :  mais je me trouve un peu incommodé de la veine poétique pour la quantité des saignées que j'y ai faites ces jours passés.","que diable est cela ? je fais toujours bien le premier vers :  mais j'ai peine à faire les autres. ma foi ceci est un peu trop pressé"
