"quand la neige fondue enfle un torrent fameux, contre l'effort soudain de ses flots écumeux","le foudre menaçant qui perce avec fureur l'affreuse obscurité de la nue enflammée,"
"eh eh ces choses-là parfois sont un peu sujettes à caution. les grimaces d'amour ressemblent fort à la vérité ","ah ! toinette, que dis-tu là ? hélas ! de la façon qu'il parle, serait-il bien possible qu'il ne me dît pas vrai ?"
"en tout cas vous en serez bientôt éclaircie  et la résolution où il vous écrivit hier qu'il était de vous faire demander en mariage est une prompte marque pour vous faire connaître s'il vous dit vrai","ah ! toinette, si celui-là me trompe, je ne croirai de ma vie aucun homme."
"voilà votre père qui revient.","ô çà ma fille je vais vous dire une nouvelle où peut-être ne vous attendez-vous pas. on vous demande en mariage. qu'est-ce que cela ? vous riez. cela est plaisant"
"voilà votre père qui revient.","oui ce mot de mariage il n'y a rien de plus drôle pour les jeunes filles. ah nature nature ! à ce que je puis voir ma fille je n'ai que faire de vous demander si vous voulez bien être mariée."
"je dois faire, mon père, tout ce qu'il vous plaira de m'ordonner.","je suis bien aise d'avoir une fille si obéissante. la chose est donc conclue, et je vous ai promise."
"c'est à moi, mon père, à suivre aveuglément toutes vos volontés.","ma femme votre belle-mère avait envie qu'on vous fisse religieuse  et votre petite sœur louison aussi  et de tout temps elle a été aheurtée à cela."
"la bonne bête a ses raisons.","elle ne voulait point consentir à ce mariage, mais je l'ai emporté, et ma parole est donnée."
"ah ! mon père, que je vous suis obligée de toutes vos bontés.","en vérité je vous sais bon gré de cela, et voilà l'action la plus sage que vous ayez faite de votre vie."
"je n'ai point encore vu la personne ; mais on m'a dit que j'en serais content, et toi aussi.","assurément, mon père."
"comment ? l'as-tu vu ?","puisque votre consentement m'autorise à vous pouvoir ouvrir mon cœur je ne feindrai point de vous dire que le hasard nous a fait connaître il y a six jours"
"comment ? l'as-tu vu ?"," et que la demande qu'on vous a faite est un eff et de l'inclination que dès cette première vue nous avons prise l'un pour l'autre."
"ils ne m'ont pas dit cela  mais j'en suis bien aise  et c'est tant mieux que les choses soient de la sorte.","oui, mon père."
"de belle taille.","sans doute."
"agréable de sa personne.","assurément."
"de bonne physionomie.","très bonne."
"sage et bien né.","tout à fait."
"fort honnête.","le plus honnête homme du monde."
"qui parle bien latin et grec.","c'est ce que je ne sais pas."
"et qui sera reçu médecin dans trois jours.","lui, mon père ?"
"oui. est-ce qu'il ne te l'a pas dit ?","non vraiment. qui vous l'a dit à vous ?"
"monsieur purgon.","est-ce que monsieur purgon le connaît ?"
"la belle demande ! il faut bien qu'il le connaisse, puisque c'est son neveu.","cléante neveu de monsieur purgon ?"
"quel cléante ? nous parlons de celui pour qui l'on t'a demandée en mariage.","hé, oui."
"hé bien c'est le neveu de monsieur purgon qui est le fils de son beau-frère le médecin monsieur diafoirus   et ce fils s'appelle thomas diafoirus  et non pas cléante  et nous avons conclu ce mariage-là ce matin","c'est, mon père, que je connais que vous avez parlé d'une personne, et que j'ai entendu une autre."
"monsieur purgon monsieur fleurant  et moi  et demain ce gendre prétendu doit m'être amené par son père.","c'est, mon père, que je connais que vous avez parlé d'une personne, et que j'ai entendu une autre."
"quoi monsieur vous auriez fait ce dessein burlesque ?  et avec tout le bien que vous avez","oui. de quoi te mêles-tu, coquine, impudente que tu es ?"
"mon dieu tout doux vous allez d'abord aux invectives. est-ce que nous ne pouvons pas raisonner ensemble sans nous emporter ? là parlons de sang froid. quelle est votre raison s'il vous plaît","ma raison est que me voyant infirme  et malade comme je suis je veux me faire un gendre  et des alliés médecins afin de m'appuyer de bons secours contre ma maladie"
"mon dieu tout doux vous allez d'abord aux invectives. est-ce que nous ne pouvons pas raisonner ensemble sans nous emporter ? là parlons de sang froid. quelle est votre raison s'il vous plaît","d'avoir dans ma famille les sources des remèdes qui me sont nécessaires"
"hé bien voilà dire une raison  et il y a plaisir à se répondre doucement les uns aux autres. mais monsieur mettez la main à la conscience. est-ce que vous êtes malade ?","comment, coquine, si je suis malade ? si je suis malade, impudente ?"
"hé bien oui monsieur vous êtes malade n'ayons point de querelle là-dessus. oui vous êtes fort malade j'en demeure d'accord  et plus malade que vous ne pensez.","c'est pour moi que je lui donne ce médecin  et une fille de bon naturel doit être ravie d'épouser ce qui est utile à la santé de son père."
"voilà qui est fait.  mais votre fille doit épouser un mari pour elle   et n'étant point malade il n'est pas nécessaire de lui donner un médecin.","c'est pour moi que je lui donne ce médecin  et une fille de bon naturel doit être ravie d'épouser ce qui est utile à la santé de son père."
"ma foi, monsieur, voulez-vous qu'en amie je vous donne un conseil ?","quel est-il ce conseil ?"
"de ne point songer à ce mariage-là.","hé la raison ?"
"la raison ? c'est que votre fille n'y consentira point.","elle n'y consentira point ?"
"non.","ma fille ?"
"votre fille. elle vous dira qu'elle n'a que faire de monsieur diafoirus ni de son fils thomas diafoirus ni de tous les diafoirus du monde.","j'en ai affaire moi  outre que le parti est plus avantageux qu'on ne pense. monsieur diafoirus n'a que ce fils-là pour tout héritier  et de plus"
"votre fille. elle vous dira qu'elle n'a que faire de monsieur diafoirus ni de son fils thomas diafoirus ni de tous les diafoirus du monde.","monsieur purgon qui n'a ni femme ni enfants lui donne tout son bien en faveur de ce mariage  et monsieur purgon est un homme qui a huit mille bonnes livres de rente."
"il faut qu'il ait tué bien des gens, pour s'être fait si riche.","huit mille livres de rente sont quelque chose, sans compter le bien du père."
"monsieur tout cela est bel  et bon   mais j'en reviens toujours là. je vous conseille entre nous de lui choisir un autre mari  et elle n'est point faite pour être madame diafoirus.","et je veux, moi, que cela soit."
"eh fi, ne dites pas cela.","comment, que je ne dise pas cela ?"
"hé non.","et pourquoi ne le dirai-je pas ?"
"on dira que vous ne songez pas à ce que vous dites.","on dira ce qu'on voudra ; mais je vous dis que je veux qu'elle exécute la parole que j'ai donnée."
"non, je suis sûr qu'elle ne le fera pas.","je l'y forcerai bien."
"elle ne le fera pas, vous dis-je.","elle le fera, ou je la mettrai dans un convent."
"vous ?","moi."
"bon.","comment, bon ?"
"vous ne la mettrez point dans un convent.","je ne la mettrai point dans un convent ?"
"non.","non ?"
"non.","ouais ! voici qui est plaisant. je ne mettrai pas ma fille dans un convent, si je veux ?"
"non, vous dis-je.","qui m'en empêchera ?"
"vous-même.","moi ?"
"oui. vous n'aurez pas ce cœur-là.","je l'aurai."
"vous vous moquez.","je ne me moque point."
"la tendresse paternelle vous prendra.","elle ne me prendra point."
"une petite larme ou deux des bras jetés au cou un *mon petit papa mignon* prononcé tendrement","tout cela ne fera rien."
"oui, oui.","je vous dis que je n'en démordrai point."
"bagatelles.","il ne faut point dire bagatelles."
"mon dieu je vous connais ; vous êtes bon naturellement.","je ne suis point bon, et je suis méchant quand je veux."
"doucement, monsieur ; vous ne songez pas que vous êtes malade.","je lui commande absolument de se préparer à prendre le mari que je dis."
"et moi je lui défends absolument d'en faire rien.","où est-ce donc que nous sommes ?  et quelle audace est-ce là à une coquine de servante"
"quand un maître ne songe pas à ce qu'il fait, une servante bien sensée est en droit de le redresser.","ah insolente ! il faut que je t'assomme."
"il est de mon devoir de m'opposer aux choses qui vous peuvent déshonorer.","viens, viens, que je t'apprenne à parler."
"je m'intéresse, comme je dois, à ne vous point laisser faire de folie.","chienne !"
"non, je ne consentirai jamais à ce mariage.","pendarde !"
"je ne veux point qu'elle épouse votre thomas diafoirus.","carogne !"
"et elle m'obéira plutôt qu'à vous.","angélique, tu ne veux pas m'arrêter cette coquine-là ?"
"eh mon père, ne vous faites point malade.","si tu ne me l'arrêtes, je te donnerai ma malédiction."
"et moi je la déshériterai, si elle vous obéit.","ah, ah ! je n'en puis plus. voilà pour me faire mourir."
"ah ma femme, approchez.","qu'avez-vous, mon pauvre mari ?"
"venez-vous en ici à mon secours.","qu'est-ce que c'est donc qu'il y a, mon petit fils ?"
"ma mie.","mon ami."
"on vient de me mettre en colère.","hélas pauvre petit mari. comment donc mon ami ?"
"votre coquine de toinette est devenue plus insolente que jamais.","ne vous passionnez donc point."
"elle m'a fait enrager, ma mie.","doucement, mon fils."
"elle a contrecarré une heure durant les choses que je veux faire.","là, là, tout doux."
"et a eu l'effronterie de me dire que je ne suis point malade.","c'est une impertinente."
"vous savez, mon cœur, ce qui en est.","oui, mon cœur, elle a tort."
"mamour, cette coquine-là me fera mourir.","eh là là, là là."
"elle est cause de toute la bile que je fais.","ne vous fâchez point tant."
"et il y a je ne sais combien que je vous dis de me la chasser.","mon dieu mon fils il n'y a point de serviteurs  et de servantes qui n'aient leurs défauts. on est contraint parfois de souffrir leurs mauvaises qualités à cause des bonnes."
"et il y a je ne sais combien que je vous dis de me la chasser.","celle-ci est adroite soigneuse diligente  et surtout fidèle  et vous savez qu'il faut maintenant de grandes précautions pour les gens que l'on prend."
"madame.","pourquoi donc est-ce que vous mettez mon mari en colère ?"
"moi madame ? hélas je ne sais pas ce que vous me voulez dire ","ah la traîtresse !"
"il nous a dit qu'il voulait donner sa fille en mariage au fils de monsieur diafoirus. je lui ai répondu que je trouvais le parti avantageux pour elle","il n'y a pas grand mal à cela, et je trouve qu'elle a raison."
" mais que je croyais qu'il ferait mieux de la mettre dans un convent.","il n'y a pas grand mal à cela, et je trouve qu'elle a raison."
"ah ! mamour, vous la croyez ? c'est une scélérate. elle m'a dit cent insolences.","hé bien je vous crois mon ami. là remettez-vous. écoutez toinette si vous fâchez ja mais mon mari je vous mettrai dehors. çà donnez-moi son manteau fourré "
"ah ! mamour, vous la croyez ? c'est une scélérate. elle m'a dit cent insolences.","et des oreillers que je l'accommode dans sa chaise. vous voilà je ne sais comment. enfoncez bien votre bonn et jusque sur vos oreilles. il n'y a rien qui enrhume tant"
"ah ma mie, que je vous suis obligé de tous les soins que vous prenez de moi !","levez-vous que je mette ceci sous vous. mettons celui-ci pour vous appuyer   et celui-là de l'autre côté. mettons celui-ci derrière votre dos"
"et celui-ci pour vous garder du serein.","ah coquine ! tu veux m'étouffer."
"eh là, eh là. qu'est-ce que c'est donc ?","ah, ah, ah ! je n'en puis plus."
"pourquoi vous emporter ainsi ? elle a cru faire bien.","vous ne connaissez pas mamour la malice de la pendarde. ah ! elle m'a mis tout hors de moi   et il faudra plus de huit médecines  et de douze lavements pour réparer tout ceci."
"là, là, mon petit ami, apaisez-vous un peu.","ma mie, vous êtes toute ma consolation."
"pauvre petit fils.","pour tâcher de reconnaître l'amour que vous me portez, je veux, mon cœur, comme je vous ai dit, faire mon testament."
"ah mon ami ne parlons point de cela je vous prie je ne saurais souffrir cette pensée ","je vous avais dit de parler pour cela à votre notaire."
"le voici dans votre antichambre, et je l'ai fait venir tout exprès.","faites-le entrer mamour."
"ah bonjour monsieur bonnefoy je veux faire mon testament   et pour cela dites-moi s'il vous plaît comment je dois faire pour donner tout mon bien à ma femme","monsieur, vous ne pouvez rien donner à votre femme par votre testament."
"et par quelle raison ?","parce que la coutume y résiste cela serait bon par tout ailleurs  et dans le pays de droit écrit :  mais à paris  et dans les pays coutumiers"
"et par quelle raison ?","cela ne se peut tout avantage qu'homme  et femme se peuvent faire réciproquement l'un à l'autre en faveur de mariage n'est qu'un avantage indirect  et qu'un don mutuel entre vifs"
"et par quelle raison ?","encore faut-il qu'il n'y ait point d'enfants d'eux ou de l'un d'iceux avant le décès du premier mourant."
"voilà une coutume bien impertinente de dire qu'un mari ne puisse rien donner à une femme qui l'aime  et qui prend tant de soin de lui. j'ai envie de consulter mon avocat","ce n'est pas aux avocats à qui il faut s'adresser ce sont gens fort scrupuleux sur cette matière qui ne savent pas disposer en fraude de la loi  et qui sont ignorants des tours de la conscience"
"voilà une coutume bien impertinente de dire qu'un mari ne puisse rien donner à une femme qui l'aime  et qui prend tant de soin de lui. j'ai envie de consulter mon avocat","c'est notre affaire à nous autres  et je suis venu à bout de bien plus grandes difficultés  il vous faut pour cela auparavant que de mourir donner à votre femme tout votre argent comptant"
"voilà une coutume bien impertinente de dire qu'un mari ne puisse rien donner à une femme qui l'aime  et qui prend tant de soin de lui. j'ai envie de consulter mon avocat"," et des billets payables au porteur si vous en avez  il vous faut outre ce contracter quantité de bonnes obligations sous-main avec de vos intimes amis"
"voilà une coutume bien impertinente de dire qu'un mari ne puisse rien donner à une femme qui l'aime  et qui prend tant de soin de lui. j'ai envie de consulter mon avocat","qui après votre mort les remettront entre les mains de votre femme sans lui rien demander"
"vraiment monsieur ma femme m'avait bien dit que vous étiez un fort habile  et fort honnête homme. j'ai mon cœur vingt mille francs dans le petit coffr","ne me parlez point de cela, je vous prie, vous me faites mourir de frayeur… elle se ravise et lui dit :"
"et de mon alcôve en argent comptant dont je vous donnerai la clef  et deux billets payables au porteur l'un de six mil livres  et l'autre de quatre","combien dites-vous qu'il y a d'argent comptant dans votre alcôve."
"qui me sont dues le premier par monsieur damon  et l'autre par monsieur gérante","ne me parlez point de cela, je vous prie, vous me faites mourir de frayeur… elle se ravise et lui dit :"
"vingt mille francs, mon cœur.","tous les biens de ce monde ne me sont rien en comparaison de vous… de combien sont les deux billets ?"
"l'un de six, et l'autre de quatre mille livres.","ah ! mon fils, la seule pensée de vous quitter me met au désespoir, vous mort je ne veux plus rester au monde : ah, ah."
"pourquoi pleurer, madame ? les larmes sont hors de saison, et les choses, grâces à dieu, n'en sont pas encore là.","ah monsieur bonnefoy, vous ne savez pas ce que c'est qu'être toujours séparée d'un mari que l'on aime tendrement."
"ce qui me fâche le plus ma mie auparavant de mourir c'est de n'avoir point eu d'enfants de vous ","voulez-vous que nous procédions au testament ?"
"oui, mais nous serons mieux dans mon petit cabinet qui est ici près ; allons-y, monsieur, soutenez-moi, mamour.","allons, pauvre petit mari."
"entrez entrez ils ne sont plus ici : j'ai une inquiétude prodigieuse  j'ai vu un notaire avec eux  et ai entendu parler de testament ","qu'il dispose de tout mon bien en faveur de qui il lui plaira pourvu qu'il ne dispose pas de mon cœur qu'il ne me contraigne point d'accepter pour époux celui dont il m'a parlé"
"votre belle-mère ne s'endort point  et veut sans doute profiter de la colère où vous avez tantôt mis votre père ","je me soucie fort peu du reste qu'il en fasse ce qu'il voudra."
"votre belle-mère tâche par toutes sortes de promesses de m'attirer dans son parti  mais elle a beau faire elle n'y réussira jamais  et je me suis toujours trouvé de l'inclination à vous rendre service ","mais comment faire pour rompre ce coup terrible dont je suis menacée ?"
"cependant comme il nous est nécessaire dans la conjoncture présente de savoir ce qui se passe afin de mieux prendre nos mesures  et de mieux venir à bout de notre dessein","mais comment faire pour rompre ce coup terrible dont je suis menacée ?"
"j'ai envie de lui faire croire par de feintes complaisances que je suis entièrement dans ses intérêts l'envie qu'elle a que j'y sois ne manquera pas de la faire donner dans le panneau","mais comment faire pour rompre ce coup terrible dont je suis menacée ?"
"c'est un sûr moyen pour découvrir ses intrigues  et cela nous servira beaucoup.","mais comment faire pour rompre ce coup terrible dont je suis menacée ?"
"il faut en premier lieu avertir cléante du dessein de votre père  et le charger de s'acquitter au plus tôt de la parole qu'il vous a donnée ","as-tu quelqu'un propre à faire ce message ?"
"le théâtre change et représente une ville. polichinelle dans la nuit vient pour donner une sérénade à sa maîtresse.","ô amour amour amour amour ! pauvre polichinelle quelle diable de fantaisie t'es-tu allé mettre dans la cervelle ? à quoi t'amuses-tu misérable insensé que tu es ? tu quittes le soin de ton négoce"
"il est interrompu d'abord par des violons contre lesquels il se m et en colère  et ensuite par le gu et composé de musiciens  et de danseurs."," et tu laisses aller tes affaires à l'abandon. tu ne manges plus tu ne bois presque plus tu perds le repos de la nuit  et tout cela pour qui ?"
"le théâtre change et représente une ville. polichinelle dans la nuit vient pour donner une sérénade à sa maîtresse.","pour une dragonne franche dragonne  une diablesse qui te rembarre  et se moque de tout ce que tu peux lui dire.  mais il n'y a point à raisonner là-dessus :"
"il est interrompu d'abord par des violons contre lesquels il se m et en colère  et ensuite par le gu et composé de musiciens  et de danseurs.","tu le veux amour  il faut être fou comme beaucoup d'autres. cela n'est pas le mieux du monde à un homme de mon âge :  mais qu'y faire ? on n'est pas sage quand on veut  et les vieilles cervelles se démontent comme les jeunes."
"le théâtre change et représente une ville. polichinelle dans la nuit vient pour donner une sérénade à sa maîtresse.","je viens voir si je ne pourrai point adoucir ma tigresse par une sérénade. il n'y a rien parfois qui soit si touchant qu'un amant qui vient chanter ses doléances aux gonds"
"il est interrompu d'abord par des violons contre lesquels il se m et en colère  et ensuite par le gu et composé de musiciens  et de danseurs.","et aux verrous de la porte de sa maîtresse. voici de quoi accompagner ma voix. ô nuit ô chère nuit porte mes plaintes amoureuses jusques dans le lit de mon inflexible."
