INPUT,TARGET
"Eh, messieurs ayez pitié de moi ! bons messieurs tuez-moi ce vilain animal-là ! Ô Ciel ! daigne les assister. Bon, le voilà qui fuit, le voilà qui s’arrête et qui se jette sur eux. Bon en voilà un qui vient de lui donner un coup dans la gueule. Les voilà tous à l’entour de lui. Courage, ferme, allons mes amis. Bon, poussez fort, encore, ah ! le voilà qui est à terre, c’en est fait il est mort, descendons maintenant pour lui donner cent coups. Serviteur, Messieurs, je vous rends grâce de m’avoir délivré de cette bête, maintenant que vous l’avez tuée je m’en vais l’achever, et en triompher avec vous.","Le Prince d’Ithaque et la Princesse eurent une conversation fort galante sur la Course des chars qui se préparait : Elle avait dit auparavant à une des Princesses ses Parentes, que l’insensibilité du Prince d’Ithaque lui donnait de la peine et lui était honteuse : qu’encore qu’elle ne voulût rien aimer, il était bien fâcheux de voir qu’il n’aimait rien ; et que quoi qu’elle eût résolu de n’aller point voir les Courses, elle s’y voulait rendre, dans le dessein de tâcher à triompher de la liberté d’un homme qui la chérissait si fort. Il était facile de juger que le mérite de ce Prince produisait son effet ordinaire, que ses belles qualités avaient touché ce cœur superbe : et commencé à fondre une partie de cette glace qui avait résisté jusques alors à toutes les ardeurs de l’Amour, et plus il affectait (par le conseil de Moron qu’il avait gagné, et qui connaissait fort le cœur de la Princesse) de paraître insensible, et quoiqu’il ne fût que trop amoureux, plus la Princesse se mettait dans la tête de l’engager, quoiqu’elle n’eût pas fait dessein de s’engager elle-même. Les Princes de Messène et de Pyle prirent lors congé d’elle pour s’aller préparer aux Courses, et lui parlant de l’espérance qu’ils avaient de vaincre, par le désir qu’ils sentaient de lui plaire : Celui d’Ithaque lui témoigna au contraire, que n’ayant jamais rien aimé, il allait essayer à vaincre pour sa propre satisfaction, ce qui la piqua encore davantage à vouloir soumettre un cœur déjà assez soumis, mais qui savait déguiser ses sentiments le mieux du monde."
"Pour moi je tiens que cette passion est la plus agréable affaire de la vie, qu’il est nécessaire d’aimer pour vivre heureusement, et que tous les plaisirs sont fades s’il ne s’y mêle un peu d’amour.","Pouvez-vous bien toutes deux, étant ce que vous êtes, prononcer ces paroles ; et ne devez-vous pas rougir d’appuyer une passion qui n’est qu’erreur, que faiblesse et qu’emportement, et dont tous les désordres ont tant de répugnance avec la gloire de notre sexe. J’en prétends soutenir l’honneur jusqu’au dernier moment de ma vie : Et ne veux point du tout me commettre à ces gens qui sont les esclaves auprès de nous, pour devenir un jour nos Tyrans : Toutes ces larmes, tous ces soupirs, tous ces hommages, tous ces respects sont des embûches qu’on tend à notre cœur, et qui souvent l’engagent à commettre des lâchetés. Pour moi quand je regarde certains exemples, et les bassesses épouvantables où cette passion ravale les personnes sur qui elle étend sa puissance : Je sens tout mon cœur qui s’émeut : et je ne puis souffrir qu’une âme qui fait profession d’un peu de fierté, ne trouve pas une honte horrible à de telles faiblesses."
"Eh ! Madame, il est de certaines faiblesses qui ne sont point honteuses, et qu’il est beau même d’avoir dans les plus hauts degrés de gloire. J’espère que vous changerez un jour de pensée, et s’il plaît au Ciel nous verrons votre cœur avant qu’il soit peu…","Arrêtez, n’achevez pas ce souhait étrange, j’ai une horreur trop invincible pour ces sortes d’abaissements, et si jamais j’étais capable d’y descendre, je serais personne sans doute à ne me le point pardonner."
"Prenez garde ; Madame, l’Amour sait se venger des mépris que l’on fait de lui, et peut-être…","Non, non je brave tous ses traits, et le grand pouvoir qu’on lui donne n’est rien qu’une chimère, qu’une excuse des faibles cœurs qui le font invincible pour autoriser leur faiblesse."
"Mais enfin toute la terre reconnaît sa puissance, et vous voyez que les Dieux même sont assujettis à son empire : On nous fait voir que Jupiter n’a pas aimé pour une fois ; et que Diane même dont vous affectez tant l’exemple n’a pas rougi de pousser des soupirs d’amour.","Les croyances publiques sont toujours mêlées d’erreur : Les Dieux ne sont point faits comme se les fait le vulgaire, et c’est leur manquer de respect que de leur attribuer les faiblesses des hommes."
"Viens, approche Moron, viens nous aider à défendre l’Amour contre les sentiments de la Princesse.",Voilà votre parti fortifié d’un grand défenseur.
"Ma foi, Madame, je crois qu’après mon exemple il n’y a plus rien à dire, et qu’il ne faut plus mettre en doute le pouvoir de l’Amour. J’ai bravé ses armes assez longtemps, et fait de mon drôle comme un autre ; mais enfin ma fierté a baissé l’oreille, et vous avez une traîtresse qui m’a rendu plus doux qu’un Agneau : Après cela, on ne doit plus faire aucun scrupule d’aimer, et puisque j’ai bien passé par là, il peut bien y en passer d’autres.",Quoi ? Moron se mêle d’aimer ?
Fort bien.,Et de vouloir être aimé ?
"Et pourquoi non ? Est-ce qu’on n’est pas assez bien fait pour cela ? Je pense que ce visage est assez passable, et que pour le bel air, Dieu merci, nous ne le cédons à personne.","Sans doute, on aurait tort…"
"Madame, le Prince votre Père vient vous trouver ici, et conduit avec lui les Princes de Pyle, et d’Ithaque, et celui de Messène.","Ô Ciel ! que prétend-il faire en me les amenant ? Aurait-il résolu ma perte, et voudrait-il bien me forcer au choix de quelqu’un d’eux ?"
"Seigneur, je vous demande la licence de prévenir par deux paroles, la déclaration des pensées que vous pouvez avoir. Il y a deux vérités, Seigneur, aussi constantes l’une que l’autre, et dont je puis vous assurer également : l’Une que vous avez un absolu pouvoir sur moi, et que vous ne sauriez m’ordonner rien où je ne réponde aussitôt par une obéissance aveugle. L’autre que je regarde l’Hyménée ainsi que le trépas, et qu’il m’est impossible de forcer cette aversion naturelle : Me donner un Mari, et me donner la mort c’est une même chose ; mais votre volonté va la première, et mon obéissance m’est bien plus chère que ma vie : Après cela parlez, Seigneur, prononcez librement ce que vous voulez.","Ma Fille tu as tort de prendre de telles alarmes, et je me plains de toi, qui peux mettre dans ta pensée que je sois assez mauvais Père pour vouloir faire violence à tes sentiments, et me servir tyranniquement de la puissance que le Ciel me donne sur toi. Je souhaite à la vérité que ton cœur puisse aimer quelqu’un : Tous mes vœux seraient satisfaits si cela pouvait arriver, et je n’ai proposé les Fêtes et les Jeux que je fais célébrer ici ; qu’afin d’y pouvoir attirer tout ce que la Grèce a d’illustre ; et que parmi cette noble jeunesse tu puisses enfin rencontrer où arrêter tes yeux et déterminer tes pensées. Je ne demande dis-je, au Ciel autre bonheur que celui de te voir un Époux. J’ai pour obtenir cette grâce fait encore ce matin un sacrifice à Vénus ; et si je sais bien expliquer le langage des Dieux, elle m’a promis un miracle ; mais quoi qu’il en soit je veux en user avec toi en Père qui chérit sa Fille : Si tu trouves où attacher tes vœux, ton choix sera le mien, et je ne considérerai ni intérêts d’État, ni avantage d’Alliance. Si ton cœur demeure insensible, je n’entreprendrai point de le forcer : Mais au moins sois complaisante aux civilités qu’on te rend, et ne m’oblige point à faire les excuses de ta froideur : Traite ces Princes avec l’estime que tu leur dois, reçois avec reconnaissance les témoignages de leur zèle, et viens voir cette Course où leur adresse va paraître."
"Tout le monde va faire des efforts pour emporter le prix de cette Course ; mais à vous dire vrai j’ai peu d’ardeur pour la victoire, puisque ce n’est pas votre cœur qu’on y doit disputer.","Pour moi, Madame, vous êtes le seul prix que je me propose partout : C’est vous que je crois disputer dans ces combats d’adresse, et je n’aspire maintenant à remporter l’honneur de cette Course, que pour obtenir un degré de gloire qui m’approche de votre cœur."
"Pour moi, Madame, je n’y vais point du tout avec cette pensée : Comme j’ai fait toute ma vie profession de ne rien aimer, tous les soins que je prends ne vont point où tendent les autres : Je n’ai aucune prétention sur votre cœur, et le seul honneur de la Course est tout l’avantage où j’aspire.","D’où sort cette fierté où l’on ne s’attendait point ? Princesses, que dites-vous de ce jeune Prince ? Avez-vous remarqué de quel ton il l’a pris ?"
Il est vrai que cela est un peu fier.,Ah ! quelle brave botte il vient là de lui porter !
"Ne trouvez-vous pas qu’il y aurait plaisir d’abaisser son orgueil, et de soumettre un peu ce cœur qui tranche tant du brave ?","Comme vous êtes accoutumée à ne jamais recevoir que des hommages et des adorations de tout le monde, un compliment pareil au sien doit vous surprendre à la vérité."
"Je vous avoue que cela m’a donné de l’émotion, et que je souhaiterais fort de trouver les moyens de châtier cette hauteur. Je n’avais pas beaucoup d’envie de me trouver à cette Course ; mais j’y veux aller exprès, et employer toute chose pour lui donner de l’amour.","Prenez garde, Madame, l’entreprise est périlleuse, et lorsqu’on veut donner de l’amour, on court risque d’en recevoir."
"Ah ! n’appréhendez rien, je vous prie, allons, je vous réponds de moi.",Philis demeure ici ?
Non laisse-moi suivre les autres.,"Ah ! cruelle si c’était Tircis qui t’en priât, tu demeurerais bien vite."
"Cela se pourrait faire, et je demeure d’accord que je trouve bien mieux mon compte avec l’un qu’avec l’autre ; car il me divertit avec sa voix, et toi tu m’étourdis de ton caquet. Lorsque tu chanteras aussi bien que lui, je te promets de t’écouter.",Eh ! demeure un peu !
Je ne saurais.,De grâce !
Point te dis-je.,Je ne te laisserai point aller.
Ah ! que de façons.,Je ne te demande qu’un moment à être avec toi !
"Eh bien ! oui, j’y demeurerai, pourvu que tu me promettes une chose !",Et quelle ?
De ne me point parler du tout.,Eh ! Philis !
À moins que de cela je ne demeurerai point avec toi.,Veux-tu me…
Laisse-moi aller !,"Eh bien, oui, demeure : je ne dirai mot."
Prends-y bien garde au moins ; car à la moindre parole je prends la fuite.,"Soit. Ah ! Philis… Eh… Elle s’enfuit, et je ne saurais l’attraper. Voilà ce que c’est, si je savais chanter j’en ferais bien mieux mes affaires. La plupart des Femmes aujourd’hui se laissent prendre par les oreilles : Elles sont cause que tout le monde se mêle de Musique, et l’on ne réussit auprès d’elles, que par les petites chansons, et les petits vers qu’on leur fait entendre. Il faut que j’apprenne à chanter pour faire comme les autres, bon, voici justement mon homme."
"La, la, la.","Ah ! Satyre mon ami, tu sais bien ce que tu m’as promis il y a longtemps, apprends-moi à chanter, je te prie."
Je le veux ; mais auparavant écoute une chanson que je viens de faire.,"Il est si accoutumé à chanter qu’il ne saurait parler d’autre façon. Allons chante, j’écoute."
Je portais…,"Une chanson, dis-tu ?"
Je port…,Une chanson à chanter ?
Je port…,"Chanson amoureuse, peste."
"Ah qu’elle est belle, apprends-la-moi !","La, la, la, la."
"La, la, la, la.","Fa, fa, fa, fa."
Fa toi-même.,"La Princesse d’Élide était cependant dans d’étranges inquiétudes : le Prince d’Ithaque avait gagné le prix des Courses, elle avait dans la suite de ce divertissement fait des merveilles à chanter et à la danse, sans qu’il parût que les dons de la nature et de l’art eussent été quasi remarqués par le Prince d’Ithaque ; elle en fit de grandes plaintes à la Princesse sa parente ; elle en parla à Moron, qui fit passer cet insensible pour un brutal : Et enfin le voyant arriver lui-même, elle ne put s’empêcher de lui en toucher fort sérieusement quelque chose : Il lui répondit ingénument qu’il n’aimait rien, et qu’hors l’amour de sa liberté, et les plaisirs qu’elle trouvait si agréables de la solitude et de la Chasse rien ne le touchait."
"Il est vrai, Madame, que ce jeune Prince a fait voir une adresse non commune, et que l’air dont il a paru a été quelque chose de surprenant. Il sort vainqueur de cette Course, mais je doute fort qu’il en sorte avec le même cœur qu’il y a porté : Car enfin, vous lui avez tiré des traits dont il est difficile de se défendre, et sans parler de tout le reste, la grâce de votre danse, et la douceur de votre voix ont eu des charmes aujourd’hui à toucher les plus insensibles.","Le voici qui s’entretient avec Moron ; nous saurons un peu de quoi il lui parle : Ne rompons point encore leur entretien, et prenons cette route pour revenir à leur rencontre."
"Ah ! Moron, je te l’avoue, j’ai été enchanté, et jamais tant de charmes n’ont frappé tout ensemble mes yeux et mes oreilles. Elle est adorable en tout temps, il est vrai : mais ce moment l’a emporté sur tous les autres, et des grâces nouvelles ont redoublé l’éclat de ses beautés. Jamais son visage ne s’est paré de plus vives couleurs, ni ses yeux ne se sont armés de traits plus vifs et plus perçants. La douceur de sa voix a voulu se faire paraître dans un air tout charmant qu’elle a daigné chanter, et les sons merveilleux qu’elle formait passaient jusqu’au fond de mon âme, et tenaient tous mes sens dans un ravissement à ne pouvoir en revenir. Elle a fait éclater ensuite une disposition toute divine, et ses pieds amoureux sur l’émail d’un tendre gazon traçaient d’aimables caractères qui m’enlevaient hors de moi-même, et m’attachaient par des nœuds invincibles aux doux et justes mouvements dont tout son corps suivait les mouvements de l’harmonie. Enfin jamais âme n’a eu de plus puissantes émotions que la mienne, et j’ai pensé plus de vingt fois oublier ma résolution pour me jeter à ses pieds, et lui faire un aveu sincère de l’ardeur que je sens pour elle.","Donnez-vous-en bien de garde, Seigneur, si vous m’en voulez croire : Vous avez trouvé la meilleure invention du monde, et je me trompe fort si elle ne vous réussit. Les femmes sont des animaux d’un naturel bizarre, nous les gâtons par nos douceurs, et je crois toutdebon que nous les verrions nous courir, sans tous ces respects, et ces soumissions où les hommes les acoquinent."
"Seigneur, voici la Princesse qui s’est un peu éloignée de sa suite.","Demeurez ferme, au moins, dans le chemin que vous avez pris : Je m’en vais voir ce qu’elle me dira : cependant promenez-vous ici dans ces petites routes sans faire aucun semblant d’avoir envie de la joindre, et si vous l’abordez, demeurez avec elle le moins qu’il vous sera possible."
"Tu as donc familiarité, Moron, avec le Prince d’Ithaque ?",Ah ! Madame il y a longtemps que nous nous connaissons.
"D’où vient qu’il n’est pas venu jusqu’ici, et qu’il a pris cette autre route quand il m’a vue ?",C’est un homme bizarre qui ne se plaît qu’à entretenir ses pensées.
Étais-tu tantôt au compliment qu’il m’a fait ?,"Oui, Madame, j’y étais, et je l’ai trouvé un peu impertinent, n’en déplaise à Sa Principauté."
"Pour moi je le confesse, Moron, cette fuite m’a choquée, et j’ai toutes les envies du monde de l’engager pour rabattre un peu son orgueil.","Ma foi, Madame, vous ne feriez pas mal, il le mériterait bien : mais à vous dire vrai, je doute fort que vous y puissiez réussir."
Comment ?,"Comment ! c’est le plus orgueilleux petit vilain que vous ayez jamais vu. Il lui semble qu’il n’y a personne au monde qui le mérite, et que la terre n’est pas digne de le porter."
"Mais encore, ne t’a-t-il point parlé de moi ?",Lui ? non.
"Il ne t’a rien dit de ma voix, et de ma danse ?",Pas le moindre mot.
"Certes ce mépris est choquant, et je ne puis souffrir cette hauteur étrange de ne rien estimer.",Il n’estime et n’aime que lui.
"Il n’y a rien que je ne fasse, pour le soumettre comme il faut.","Nous n’avons point de marbre dans nos montagnes qui soit plus dur, et plus insensible que lui."
Le voilà.,"Voyez-vous comme il passe, sans prendre garde à vous ?"
"De grâce, Moron, va le faire aviser que je suis ici, et l’oblige à me venir aborder.","Seigneur, je vous donne avis que tout va bien : la Princesse souhaite que vous l’abordiez : mais songez bien à continuer votre rôle, et de peur de l’oublier ne soyez pas longtemps avec elle."
"Vous êtes bien solitaire, Seigneur, et c’est une humeur bien extraordinaire que la vôtre, de renoncer ainsi à notre sexe, et de fuir à votre âge cette galanterie, dont se piquent tous vos pareils.","Cette humeur, Madame, n’est pas si extraordinaire qu’on n’en trouvât des exemples sans aller loin d’ici, et vous ne sauriez condamner la résolution que j’ai prise de n’aimer jamais rien, sans condamner aussi vos sentiments."
"Il y a grande différence, et ce qui sied bien à un sexe, ne sied pas bien à l’autre. Il est beau qu’une femme soit insensible, et conserve son cœur exempt des flammes de l’amour ; mais ce qui est vertu en elle, devient un crime dans un homme. Et comme la beauté est le partage de notre sexe, vous ne sauriez ne nous point aimer, sans nous dérober les hommages qui nous sont dus, et commettre une offense dont nous devons toutes nous ressentir.","Je ne vois pas, Madame, que celles qui ne veulent point aimer, doivent prendre aucun intérêt à ces sortes d’offenses."
"Ce n’est pas une raison, Seigneur, et sans vouloir aimer, on est toujours bien aise d’être aimée.","Pour moi je ne suis pas de même, et dans le dessein où je suis, de ne rien aimer, je serais fâché d’être aimé."
Et la raison ?,"C’est qu’on a obligation à ceux qui nous aiment, et que je serais fâché d’être ingrat."
"Si bien donc, que pour fuir l’ingratitude, vous aimeriez qui vous aimerait ?","Moi ? Madame, point du tout. Je dis bien que je serais fâché d’être ingrat : mais je me résoudrais plutôt de l’être, que d’aimer."
"Telle personne vous aimerait, peut-être que votre cœur…","Non ! Madame, rien n’est capable de toucher mon cœur, ma liberté est la seule maîtresse à qui je consacre mes vœux, et quand le Ciel emploierait ses soins à composer une beauté parfaite, quand il emploierait en elle tous les dons les plus merveilleux, et du corps et de l’âme. Enfin quand il exposerait à mes yeux un miracle d’esprit, d’adresse, et de beauté, et que cette personne m’aimerait avec toutes les tendresses imaginables, je vous l’avoue franchement, je ne l’aimerais pas."
A-t-on jamais rien vu de tel !,"Peste soit du petit brutal, j’aurais bien envie de lui bailler un coup de poing."
"Cet orgueil me confond, et j’ai un tel dépit, que je ne me sens pas.","Bon courage, Seigneur, voilà qui va le mieux du monde."
"Ah ! Moron, je n’en puis plus, et je me suis fait des efforts étranges.","C’est avoir une insensibilité bien grande, que de parler comme vous faites."
"Le Ciel ne m’a pas fait d’une autre humeur : mais, Madame, j’interromps votre promenade, et mon respect doit m’avertir que vous aimez la solitude.","Il ne vous en doit rien, Madame, en dureté de cœur."
"Je donnerais volontiers tout ce que j’ai au monde, pour avoir l’avantage d’en triompher.",Je le crois !
"Ne pourrais-tu, Moron, me servir dans un tel dessein ?","Vous savez bien, Madame, que je suis tout à votre service."
"Parle-lui de moi dans tes entretiens, vante-lui adroitement ma personne, et les avantages de ma naissance, et tâche d’ébranler ses sentiments, par la douceur de quelque espoir. Je te permets de dire tout ce que tu voudras, pour tâcher à me l’engager.",Laissez-moi faire.
"C’est une chose qui me tient au cœur, je souhaite ardemment qu’il m’aime.","Il est bien fait ? oui, ce petit pendard-là ; Il a bon air, bonne physionomie, et je crois qu’il serait assez le fait d’une jeune Princesse."
"Enfin tu peux tout espérer de moi, si tu trouves moyen d’enflammer pour moi son cœur.","Il n’y a rien qui ne se puisse faire ; mais, Madame s’il venait à vous aimer, que feriez-vous s’il vous plaît ?"
"Ah ! ce serait lors que je prendrais plaisir à triompher pleinement de sa vanité, à punir son mépris par mes froideurs, et exercer sur lui toutes les cruautés que je pourrais imaginer.",Il ne se rendra jamais.
"Ah ! Moron, il faut faire en sorte qu’il se rende.","Non, il n’en fera rien, je le connais, ma peine serait inutile."
"Si faut-il pourtant tenter toute chose, et éprouver si son âme est entièrement insensible. Allons, je veux lui parler, et suivre une pensée qui vient de me venir.","Viens, Tircis, laissons-les aller, et me dis un peu ton martyre de la façon que tu sais faire ? Il y a longtemps que tes yeux me parlent ; mais je suis plus aise d’ouïr ta voix."
"Va, va, c’est déjà quelque chose que de toucher l’oreille, et le temps amène tout. Chante-moi cependant quelque plainte nouvelle que tu aies composée pour moi.","Ah ! ah ! je vous y prends, cruelle, vous vous écartez des autres pour ouïr mon rival ?"
"Oui, je m’écarte pour cela, je te le dis encore : Je me plais avec lui, et l’on écoute volontiers les amants lorsqu’ils se plaignent aussi agréablement qu’il fait. Que ne chantes-tu comme lui ? Je prendrais plaisir à t’écouter.","Si je ne sais chanter, je sais faire autre chose, et quand…"
"Tais-toi ! je veux l’entendre. Dis, Tircis, ce que tu voudras.",Ah ! cruelle…
"Silence, dis-je, ou je me mettrai en colère.",Morbleu que n’ai-je de la voix ? Ah ! nature marâtre ! pourquoi ne m’as-tu pas donné de quoi chanter comme à un autre ?
"En vérité, Tircis, il ne se peut rien de plus agréable, et tu l’emportes sur tous les Rivaux que tu as.","Mais pourquoi est-ce que je ne puis pas chanter ? N’ai-je pas un estomac, un gosier, et une langue comme un autre ? Oui, oui, allons, je veux chanter aussi, et te montrer que l’Amour fait faire toutes choses. Voici une chanson que j’ai faite pour toi."
"Oui, dis ? je veux bien t’écouter pour la rareté du fait.","Courage, Moron, il n’y a qu’à avoir de la hardiesse."
"Voilà qui est le mieux du monde : mais, Moron, je souhaiterais bien d’avoir la gloire, que quelque Amant fût mort pour moi ; c’est un avantage dont je n’ai point encore joui, et je trouve que j’aimerais de tout mon cœur une personne qui m’aimerait assez pour se donner la mort.",Tu aimerais une personne qui se tuerait pour toi ?
Oui.,Il ne faut que cela pour te plaire ?
Non.,"Voilà qui est fait, je te veux montrer que je me sais tuer quand je veux."
C’est un plaisir que vous aurez quand vous voudrez.,"Je vous prie de vous mêler de vos affaires, et de me laisser tuer à ma fantaisie. Allons je vais faire honte à tous les Amants ; Tiens ? je ne suis pas homme à faire tant de façons, vois ce poignard ! prends bien garde comme je vais me percer le cœur ! Je suis votre serviteur, quelque niais."
"Allons, Tircis. Viens-t’en me redire à l’écho, ce que tu m’as chanté.","La Princesse espérant par une feinte pouvoir découvrir les sentiments du Prince d’Ithaque, elle lui fit confidence qu’elle aimait le Prince de Messène : Au lieu d’en paraître affligé il lui rendit la pareille, et lui fit connaître que la Princesse sa parente lui avait donné dans la vue, et qu’il la demanderait en Mariage au Roi son Père : À cette atteinte imprévue cette Princesse perdit toute sa constance ; et quoiqu’elle essayât à se contraindre devant lui, aussitôt qu’il fut sorti, elle demanda avec tant d’empressement à sa Cousine de ne recevoir point les services de ce Prince, et de ne l’épouser jamais, qu’elle ne put le lui refuser : Elle s’en plaignit même à Moron, qui lui ayant dit assez franchement qu’elle l’aimait donc, en fut chassé de sa présence."
"Prince, comme jusques ici nous avons fait paraître une conformité de sentiments, et que le Ciel a semblé mettre en nous mêmes attachements pour notre liberté, et même aversion pour l’Amour ; je suis bien aise de vous ouvrir mon cœur, et de vous faire confidence d’un changement dont vous serez surpris. J’ai toujours regardé l’Hymen comme une chose affreuse, et j’avais fait serment d’abandonner plutôt la vie, que de me résoudre jamais à perdre cette liberté pour qui j’avais des tendresses si grandes : mais, enfin, un moment a dissipé toutes ces résolutions, le mérite d’un Prince m’a frappé aujourd’hui les yeux, et mon âme tout d’un coup (comme par un miracle) est devenue sensible aux traits de cette passion que j’avais toujours méprisée. J’ai trouvé d’abord des raisons pour autoriser ce changement, et je puis l’appuyer de la volonté de répondre aux ardentes sollicitations d’un Père, et aux vœux de tout un État ; mais, à vous dire vrai, je suis en peine du jugement que vous ferez de moi, et je voudrais savoir si vous condamnerez ou non le dessein que j’ai de me donner un Époux.","Vous pourriez faire un tel choix, Madame, que je l’approuverais sans doute."
"Qui croyez-vous, à votre avis, que je veuille choisir ?","Si j’étais dans votre cœur je pourrais vous le dire : mais comme je n’y suis pas, je n’ai garde de vous répondre."
"Devinez pour voir, et nommez quelqu’un ?",J’aurais trop peur de me tromper.
"Mais, encore, pour qui souhaiteriez-vous que je me déclarasse ?","Je sais bien à vous dire vrai, pour qui je le souhaiterais : mais avant que de m’expliquer, je dois savoir votre pensée."
