,0,1
378,fâchés,secrètes
379,secrètes,êtes
380,êtes,touchés
381,d’aimer,charmer
382,charmer,erreur
383,inhumaines,saines
384,m’empresse,tendresse
385,tigresse,aussi
386,aussi,ainsi
387,elle,cruelle
388,turca,danara
389,danara,comprara
390,accina,matina
391,caldara,parlara
392,parlara,comprara
393,soupire,rire
394,turca,danara
395,danara,comprara
396,accina,matina
397,caldara,parlara
398,parlara,comprara
399,comprara,bastonara
400,bastonara,andara
401,andara,andara
402,andara,bastonara
403,adoro,ristoro
404,nò,morirò
405,muoro,adoro
406,adoro,ristoro
407,nò,morirò
408,dormite,pensate
409,pensate,ferite
410,ferite,fate
411,fate,fingete
412,torto,martoro
413,martoro,adoro
414,adoro,ristoro
415,nò,morirò
416,sguardi,desiri
417,desiri,sospiri
418,sospiri,buggiardi
419,preggiate,m’ingannate
420,prova,trova
421,fede,crede
422,misero,piangere
423,piangere,libero
424,libero,ridere
425,prova,trova
426,fede,crede
427,téméraire,voleur
428,voleur,peur
429,prison,raison
430,toucher,croire
431,croire,boire
432,boire,lâcher
433,préparezvous,coups
434,passer,recommencer
435,charmant,contentement
436,belle,polichinelle
437,polichinelle,polichinelle
438,polichinelle,polichinelle
439,polichinelle,polichinelle
440,pensées,destinée
441,philis,tircis
442,bonheur,cœur
443,extrême,aime
444,d’appas,hélas
445,hélas,pas
446,aime,aime
447,monde,mien
448,assujettir,mourir
449,mourir,consentir
450,consentir,mourir
451,flamme,âme
452,l’efface,glace
453,glace,place
454,passetemps,printemps
455,tendresse,presse
456,jeunesse,tendresse
457,attendre,rendre
458,coûte,redoute
459,tendrement,amant
460,s’engage,volage
461,malheur,douleur
462,rage,volage
463,rigueurs,ardeurs
464,supplices,délices
465,cœurs,doctores
466,doctores,professores
467,argentum,appetitum
468,confréri,admirari
469,inventio,professio
470,trovata,benedicta
471,solo,miraculo
472,tempore,vivere
473,vivere,genere
474,videmus,sumus
475,petiti,infatuti
476,remedios,deos
477,ordonnanciis,videtis
478,videtis,sapientiæ
479,sapientiæ,prudentiæ
480,travaillare,conservare
481,conservare,honore
482,honore,recevere
483,recevere,corpore
484,estis,trovabitis
485,medici,voici
486,interrogandum,examinandum
487,præses,doctores
488,doctores,illustres
489,illustres,bacheliero
490,bacheliero,honoro
491,quare,dormire
492,dormire,doctore
493,doctore,quare
494,quare,dormire
495,respondeo,eo
496,assoupire,respondere
497,respondere,entrare
498,entrare,corpore
499,corpore,respondere
500,præsidis,facultatis
501,facultatis,actis
502,actis,assistantis
503,remedia,maladia
504,maladia,hidropisia
505,facere,donare
506,donare,seignare
507,seignare,purgare
508,purgare,respondere
509,respondere,entrare
510,entrare,corpore
511,facultati,præsenti
512,eticis,asmaticis
513,facere,donare
514,donare,seignare
515,seignare,purgare
516,purgare,respondere
517,respondere,entrare
518,entrare,corpore
519,maladias,maravillas
520,præsidem,facultatem
521,facultatem,honorabilem
522,honorabilem,écoutantem
523,écoutantem,questionem
524,unus,manus
525,redoublamentis,capitis
526,côté,difficultaté
527,respirare,dire
528,dire,bacheliere
529,bacheliere,facere
530,facere,donare
531,donare,seignare
532,seignare,purgare
533,maladia,opiniatria
534,opiniatria,garire
535,garire,facere
536,facere,donare
537,donare,seignare
538,seignare,purgare
539,purgare,respondere
540,respondere,entrare
541,entrare,corpore
542,statuta,præscripta
543,omnibus,consultationibus
544,aucunis,facultatis
545,boneto,docto
546,medicandi,purgandi
547,purgandi,seignandi
548,seignandi,perçandi
549,perçandi,taillandi
550,taillandi,coupandi
551,coupandi,occidendi
552,folla,ridicula
553,m’engageare,donare
554,donare,adjoutare
555,soleillo,cielo
556,l’oceano,printanno
557,moto,remercimento
558,remercimento,docto
559,debeo,meo
560,vivat,parlat
561,parlat,bibat
562,bibat,tuat
563,tuat,doctas
564,doctas,ordonnancias
565,chirurgorum,apotiquarum
566,vivat,parlat
567,parlat,bibat
568,bibat,tuat
569,anni,boni
570,jamais,verolas
571,verolas,pluresias
572,pluresias,dissenterias
573,vivat,parlat
574,parlat,bibat
575,bibat,tuat
576,torture,torture
577,martyre,dire
578,cruauté,tue
579,tue,combattue
580,combattue,vérité
581,vérité,qualité
582,flamme,blâme
583,amour,heure
584,heure,demeure
585,demeure,cour
586,comtesse,tigresse
587,soumis,aime
588,aime,ennemis
589,janneton,mouton
590,soupire,dire
591,ardeurs,cœurs
592,loi,foi
593,cruelle,fidèle
594,jour,l’amour
595,l’amour,ardeur
596,ardeur,heureuse
597,heureuse,trompeur
598,trompeur,précieuse
599,cœur,d’horreur
600,rencontrer,gloire
601,croire,trompeur
602,enflammer,d’aimer
603,charmes,armes
604,belle,éternelle
605,embellie,envie
606,belle,éternelle
607,convie,vie
608,vie,philosophie
609,versez,assez
610,sabir,respondir
611,respondir,sabir
612,sabir,tazir
613,mufti,ti
614,intendir,tazir
615,giourdina,mattina
616,mattina,paladina
617,paladina,giourdina
618,giourdina,scarcina
619,scarcina,brigantina
620,brigantina,palestina
621,fabola,schiabbola
622,dara,bastonara
623,honta,affronta
624,monsieur,serviteur
625,crient,prient
626,prient,charité
627,charité,côté
628,côté,faites
629,céans,bancs
630,être,d’asbarat
631,d’asbarat,fat
632,connaître,papieir
633,papieir,fifre
634,fifre,gosieir
635,gosieir,crieir
636,crieir,lifre
637,lifre,ifre
638,satisfait,laid
639,fille,gentille
640,ballet,sujet
641,famille,s’habille
642,sommet,met
643,met,lantriguet
644,lantriguet,net
645,satisfait,laid
646,honte,monte
647,capital,mal
648,mal,brutal
649,brutal,cheval
650,cheval,animal
651,principal,palaisroyal
652,bal,mal
653,mal,brutal
654,brutal,cheval
655,cheval,animal
656,fracas,chaos
657,tramontane,dedans
658,pas,cas
659,cas,las
660,las,tracas
661,tracas,fatras
662,fatras,embarras
663,embarras,bras
664,envie,vie
665,vie,comédie
666,comédie,m’estropie
667,m’estropie,mie
668,pas,cas
669,fils,logis
670,logis,taudis
671,taudis,assis
672,assis,ébaubis
673,ébaubis,partis
674,salle,halle
675,halle,régale
676,six,fils
677,fils,logis
678,logis,taudis
679,taudis,assis
680,monsieur,serviteur
681,amor,dolor
682,adolezco,padezco
683,padecer,exceder
684,rigor,amor
685,amor,dolor
686,advertida,vida
687,muerte,fuerte
688,rigor,amor
689,dulçura,locura
690,locura,locura
691,amar,amor
692,parecer,querer
693,alegria,fantasia
694,puoco,fuoco
695,piace,vivace
696,cantiamo,godiamo
697,gioventù,più
698,retour,séjour
699,séjour,l’amour
700,climène,chêne
701,amoureux,vœux
702,heureux,deux
703,deux,veux
704,veux,eux
705,goûtonsnous,doux
706,contester,l’emporter
707,miracle,d’obstacle
708,bien,rien
709,affaires,contraires
710,fatal,rival
711,désespérer,rassurer
712,fertile,difficile
713,misérables,incomparables
714,invective,captive
715,sentiments,charmants
716,visage,témoignage
717,bas,pas
718,chimères,affaires
719,dit,s’aigrit
720,manière,visière
721,vous,l’époux
722,mariage,sage
723,choix,lois
724,puissance,obéissance
725,éclatera,régalera
726,rhétorique,politique
727,fâcher,salaires
728,salaires,affaires
729,dit,l’esprit
730,l’encolure,nature
731,certain,humain
732,père,faire
733,chagrins,badins
734,envie,vie
735,vie,servir
736,servir,ravir
737,paraître,naître
738,naître,déclarer
739,déclarer,préparer
740,tête,conquête
741,inventions,prétentions
742,affaire,nécessaire
743,mesurés,m’abuse
744,ruse,une
745,dire,pire
746,frivoles,pistoles
747,rêver,trouver
748,trouver,esclave
749,esclave,brave
750,ici,souci
751,attendre,vendre
752,vécu,d’écu
753,pas,ducats
754,ressource,bourse
755,moment,sentiment
756,elle,sentinelle
757,repos,propos
758,vue,pourvue
759,pourvue,yeux
760,yeux,lieux
761,étonne,personne
762,outragé,congé
763,injure,blessure
764,haut,faut
765,célie,bien
766,cruelle,troubler
767,troubler,parler
768,talonne,personne
769,garçon,soupçon
770,luimême,extrême
771,humilité,vanté
772,serviteur,peutêtre
773,peutêtre,connaître
774,l’avenir,l’entretenir
775,l’entretenir,diablerie
776,diablerie,magie
777,sers,fers
778,fers,dévore
779,dévore,adore
780,adore,trésor
781,trésor,encor
782,misérable,redoutable
783,amoureux,heureux
784,bouche,touche
785,jour,amour
786,soupire,instruire
787,l’adversité,fierté
788,fierté,connaître
789,connaître,naître
790,doux,tous
791,magique,pique
792,dessein,vain
793,prendre,rendre
794,rendre,gouverneur
795,gouverneur,gagner
796,gagner,malheur
797,malheur,éclaire
798,éclaire,faire
799,faire,inquiéter
800,inquiéter,visiter
801,fidèle,elle
802,liberté,arrêté
803,arrêté,bête
804,croire,contradictoire
805,pas,sais
806,manigance,licence
807,fort,d’accord
808,flatterie,compagnie
809,étourdi,dis
810,l’entendre,surprendre
811,coupable,irréparable
812,mains,desseins
813,belle,criminelle
814,l’argent,agent
815,agent,autre
816,autre,nôtre
817,bien,sien
818,sien,emploie
819,emploie,joie
820,l’accouchement,agréablement
821,rendre,prendre
822,dus,rendus
823,proie,voie
824,caresser,bercer
825,nérine,assassine
826,cœurs,ardeurs
827,celées,dissimulées
828,vieux,yeux
829,mettable,désagréable
830,quoi,époux
831,veut...,veut...
832,verras,pourras
833,faire,adieu
834,adieu,conduise
835,conduise,sottise
836,froideur,ardeur
837,nouvelle,zèle
838,veux,vœux
839,elle,bagatelle
840,argent,présent
841,mode,l’accommode
842,bien,sien
843,tombée,dérobée
844,obligeant,argent
845,l’heure,meure
846,lui,aujourd’hui
847,extrême,même
848,fait,français
849,français,dois
850,laisse,presse
851,danger...,...
852,captive,prive
853,deviné,raffiné
854,l’affaire,luminaire
855,repos,propos
856,peutêtre,maître
857,maître,effets
858,faire,colère
859,main,fine
860,fine,j’imagine
861,j’imagine,justement
862,maître,l’être
863,tout,bout
864,l’avertir,partir
865,querelle,rebelle
866,rebelle,criminel
867,criminel,paternel
868,paternel,querelle
869,poussée,pensée
870,l’appui,aujourd’hui
871,opprimée,confirmée
872,serviteur,précepteur
873,davantage,sage
874,père,considère
875,cœur,d’honneur
876,d’honneur,répondre
877,répondre,confondre
878,cœur,d’honneur
879,maîtresse,hardiesse
880,prudence,assurance
881,assurance,bien
882,trahis,fils
883,touche,bouche
884,rendre,surprendre
885,discours,cours
886,idolâtrée,contrée
887,trufaldin,matin
888,remettre,promettre
889,promettre,coûter
890,coûter,écarter
891,range,change
892,résolu,voulu
893,caprice,préjudice
894,fort,effort
895,funeste,reste
896,service,artifice
897,soupçonné,donné
898,d’attendre,léandre
899,léandre,m’obliger
900,m’obliger,dégager
901,dégager,père
902,père,contraire
903,moyen,bien
904,prompte,monte
905,non,démon
906,ouvrage,m’outrage
907,m’éblouir,d’ouïr
908,artifice,service
909,fard,vieillard
910,célie,lélie
911,invention,passion
912,gendre,léandre
913,offices,caprices
914,hauteur,d’imposteur
915,commise,entreprise
916,rigoureusement,mouvement
917,mouvement,puissance
918,puissance,offense
919,promets,cesse
920,cesse,confesse
921,cœur,l’honneur
922,l’honneur,injures
923,injures,blessures
924,chose,propose
925,hardis,dis
926,épines,machines
927,manquerait,ferait
928,ferait,ingrate
929,ingrate,flatte
930,toi,moi
931,merveille,pareille
932,poussé,renversé
933,joie,proie
934,rencontré,frustré
935,l’atteinte,crainte
936,crainte,retenue
937,trois,croix
938,incurable,favorable
939,livrer,sevrer
940,sevrer,encore
941,encore,pécore
942,pécore,loupgarou
943,loupgarou,cou
944,hôtellerie,furie
945,furie,rendre
946,rendre,défendre
947,défendre,laisser
948,laisser,m’embarrasser
949,mascarille,fille
950,été,sûreté
951,sûreté,tente
952,tente,attente
953,excuserons,désirons
954,éclate,flatte
955,stratagème,extrême
956,contents,j’entends
957,apoplexie,vie
958,trépas,pas
959,artifice,édifice
960,encor,trésor
961,campagne,l’accompagne
962,aujourd’hui,lui
963,engage,personnage
964,mot,sot
965,voie,joie
966,amoureux,heureux
967,heureux,excuse
968,excuse,ruse
969,d’approuver,arriver
970,parole,rôle
971,fort,sorte
972,sorte,tort
973,incartade,malade
974,bosse,fosse
975,transport,mort
976,hypocondre,semondre
977,soir,voir
978,assassine,mine
979,salutaire,père
980,sort,mort
981,affaires,guères
982,guères,quartiers
983,quartiers,papiers
984,l’instance,violence
985,monde,réponde
986,écueil,l’œil
987,forte,sorte
988,matin,chemin
989,homme,rome
990,humains,desseins
991,prières,meurtrières
992,meurtrières,passe
993,prêcher,arracher
994,arracher,persévère
995,persévère,modère
996,humeur,serviteur
997,serviteur,nécessaire
998,douleur,malheur
999,bonhomme,somme
1000,rien,bien
1001,propos,mots
1002,contenter,désattrister
1003,allégeance,assurance
1004,d’ennui,lui
1005,traverses,diverses
1006,frémis,endormi
1007,endormi,amaigrie
1008,amaigrie,prie
1009,mort,transport
1010,amène,peine
1011,peine,véritablement
1012,véritablement,compliment
1013,prières,guères
1014,l’instant,content
1015,bonté,santé
1016,part,gaillard
1017,folie,vie
1018,voir,apercevoir
1019,nouvelle,mortelle
1020,mortelle,éveillé
1021,vôtre,autre
1022,grandir,laidir
1023,figure,conjoncture
1024,naïveté,crédulité
1025,badinage,davantage
1026,supposé,désabusé
1027,légitime,fourbissime
1028,remords,ressorts
1029,supercherie,jolie
1030,jolie,lui
1031,lui,aujourd’hui
1032,conte,honte
1033,retirer,enterrer
1034,enterrer,l’enclouure
1035,l’enclouure,l’aventure
1036,souci,ici
1037,prendre,pendre
1038,vaurien,bien
1039,bien,grise
1040,grise,sottise
1041,rapport...,vois...
1042,visite,quitte
1043,quittera,nourrira
1044,franchise,méprise
1045,beaux,faux
1046,place,audace
1047,façon,soupçon
1048,pendre,reprendre
1049,crois,montrezlesmoi
1050,tout,oui
1051,raccroche,poche
1052,rien,bien
1053,beaupère,manière
1054,manière,discret
1055,discret,regret
1056,regret,dire
1057,partout,bout
1058,brave,esclave
1059,étonné,tourné
1060,l’injustice,seraitce
1061,seraitce,l’artifice
1062,prêtait,doutait
1063,égal,mal
1064,arrive,captive
1065,là,cela
1066,indifférence,d’imprudence
1067,pas,trépas
1068,vraisemblable,véritable
1069,louer,l’avouer
1070,considérable,secourable
1071,loisir,fils
1072,mascarille,lélie
1073,devis,habits
1074,d’effectuer,tuer
1075,ensemble,tremble
1076,peut,veut
1077,récompense,impatience
1078,vous,doux
1079,projette,faite
1080,desseins,vains
1081,d’atteinte,crainte
1082,rival,mal
1083,m’assomme,d’homme
1084,fait‐on,bâton
1085,bagatelle,cruelle
1086,pourrai,vengerai
1087,confonde,monde
1088,d’honneur,serviteur
1089,gaules,épaules
1090,venger,m’engager
1091,m’engager,sorte
1092,sorte,m’emporte
1093,m’emporte,transport
1094,transport,fort
1095,fidèle,zèle
1096,toi,moi
1097,propice,service
1098,contentements,châtiments
1099,défaut,vaut
1100,paraître,maître
1101,maître,volonté
1102,volonté,apporté
1103,apporté,d’hippolyte
1104,d’hippolyte,l’irrite
1105,lui,d’autrui
1106,choisie,célie
1107,moyens,miens
1108,favorable,aimable
1109,raison,maison
1110,assurance,connaissance
1111,souhaité,beauté
1112,vue,rendue
1113,conduiras,pas
1114,nouvelle,cruelle
1115,l’apprendre,attendre
1116,façon,garçon
1117,joie,voie
1118,mal,rival
1119,s’apprête,tête
1120,d’or,imperator
1121,connue,venue
1122,voilà,là
1123,ici,voici
1124,due,vendue
1125,retirer,murmurer
1126,impatience,espérance
1127,vains,mains
1128,désire,lire
1129,lire,venir
1130,venir,tenir
1131,d’avoir,espoir
1132,d’espagne,accompagne
1133,accompagne,commencement
1134,commencement,événement
1135,inspire,dire
1136,sujet,l’objet
1137,cries,fourberies
1138,fourberies,adroits
1139,adroits,parfois
1140,l’imaginative,vive
1141,part,part
1142,imaginative,vive
1143,rival,mal
1144,moimême,stratagème
1145,cas,bas
1146,qu’estce,patience
1147,patience,diligence
1148,trufaldin,destin
1149,célie,ravie
1150,moins,soins
1151,elle,zèle
1152,remise,prise
1153,falot,sot
1154,diable,capable
1155,dextérité,concerté
1156,concerté,mérite
1157,mérite,petite
1158,relevé,achevé
1159,achevé,imaginative
1160,imaginative,vive
1161,avoir,savoir
1162,prose,propose
1163,jours,rebours
1164,débauche,gauche
1165,étourdi,dis
1166,panégyrique,pique
1167,point,point
1168,mystère,faire
1169,faire,exercer
1170,exercer,forcer
1171,forcer,comprendre
1172,comprendre,rendre
1173,entretien,rien
1174,l’avoue,dénoue
1175,sortir,divertir
1176,violence,impatience
1177,difficulté,subtilité
1178,estime,sublime
1179,d’occasions,d’inventions
1180,d’inventions,chose
1181,chose,pause
1182,enrager,l’obliger
1183,l’obliger,claire
1184,claire,contraire
1185,contraire,déchanter
1186,déchanter,arrêter
1187,artifices,édifices
1188,moins,soins
1189,chance,assistance
1190,mal,rival
1191,poursuite,médite
1192,ingénieux,glorieux
1193,combattre,opiniâtre
1194,dédit,récit
1195,mystère,père
1196,lieux,facétieux
1197,lélie,célie
1198,trufaldin,badin
1199,ruse,désabuse
1200,bien,rien
1201,aimable,adorable
1202,l’acquérir,courir
1203,destinée,l’hyménée
1204,enfin,destin
1205,amorces,forces
1206,dites‐vous,murmurestu
1207,murmurestu,vertu
1208,s’altère,taire
1209,taire,parle
1210,charitablement,aveuglement
1211,qu’inhumaine,peine
1212,tout,bout
1213,prude,certitude
1214,métier,gibier
1215,grimace,place
1216,savoir,voir
1217,sorte,m’importe
1218,dessein,main
1219,zèle,elle
1220,l’hameçon,bon
1221,épine,m’assassine
1222,vois,moi
1223,visage,davantage
1224,cause,chose
1225,desseins,vains
1226,caresses,finesses
1227,tout,quoi
1228,quoi,bout
1229,comprendre,entendre
1230,bien,rien
1231,profanée,abandonnée
1232,bon,soupçon
1233,fortunes,communes
1234,commun,importun
1235,elle,mortelle
1236,lâcheté,divinité
1237,répugnance,l’offense
1238,part,pendard
1239,compétent,condamne
1240,médire,rire
1241,non,bâton
1242,pareilles,oreilles
1243,dit,maudit
1244,impostures,morsures
1245,vertu,abattu
1246,industrie,raillerie
1247,soit,payerait
1248,blâme,l’âme
1249,faits,vais
1250,vais,pas
1251,confesse,d’adresse
1252,point,point
1253,sorte,emporte
1254,sensé,offensé
1255,présence,puissance
1256,puissance,gens
1257,découvrir,mourir
1258,valet,nôtre
1259,nôtre,vôtre
1260,doucement,conter
1261,conter,gâter
1262,donne,bonne
1263,commis,mis
1264,violence,outrance
1265,coups,vous
1266,affaires,qu’imaginaires
1267,non,bon
1268,soupçonne,pardonne
1269,désabusé,imposé
1270,hypocrite,quitte
1271,s’appeler,serviteur
1272,accompagne,campagne
1273,faisons,médisants
1274,artifice,service
1275,allé,dissimulé
1276,adresse,maîtresse
1277,rapports,transports
1278,désabuse,ruse
1279,bout,tout
1280,imaginative,vive
1281,foi,roi
1282,attentes,tentes
1283,tentes,sorte
1284,pis,dépits
1285,chose,close
1286,vert,expert
1287,expert,aventures
1288,aventures,mesures
1289,mesures,penser
1290,penser,traverser
1291,facilement,premièrement
1292,premièrement,ensuite
1293,ensuite,conduite
1294,pas,bras
1295,frappée,d’épée
1296,dégainer,donner
1297,père,colère
1298,nous,vous
1299,feintes,atteintes
1300,condition,réflexion
1301,lumière,matière
1302,fâché,recherché
1303,demeure,d’heure
1304,après,décrets
1305,envie,poursuivie
1306,fatigues,intrigues
1307,lutin,enfin
1308,être,maître
1309,maître,parti
1310,parti,averti
1311,persuade,mascarade
1312,soir,voir
1313,voir,joie
1314,joie,proie
1315,fourré,enferré
1316,pourvue,vue
1317,vue,d’heureux
1318,d’heureux,amoureux
1319,amoureux,commune
1320,commune,fortune
1321,pas,pas
1322,prise,l’entreprise
1323,éventé,côté
1324,côté,poursuites
1325,poursuites,suites
1326,l’éclat,chat
1327,frères,guères
1328,travail,d’attirail
1329,usage,partage
1330,nés,donnés
1331,mascarade,brigade
1332,m’arrêter,conter
1333,conter,partie
1334,partie,bâtie
1335,hasard,part
1336,nouvelle,fidèle
1337,touche,souche
1338,souche,aspect
1339,aspect,porte‐respect
1340,personne,bonne
1341,voir,soir
1342,soir,pourquoi
1343,mascarade,aubade
1344,dieux,lieux
1345,fenêtre,paraître
1346,surprendre,apprendre
1347,momon,mignon
1348,outrage,visage
1349,d’ici,merci
1350,autre,nôtre
1351,nôtre,averti
1352,averti,travesti
1353,masque,frasque
1354,imaginative,prive
1355,prive,voueraije
1356,d’enfer,fer
1357,allons,talons
1358,sorte,porte
1359,plaisir,loisir
1360,célie,supplie
