,Speaker 1,Speaker 2
18,Le mieux du monde.,"Si vous alliez dire que vous m’avez vu sortir de chez lui, vous gâteriez toute l’affaire. Vous comprenez bien ?"
19,Assurément. Hé comment nommez-vous celui qui vous a envoyé là-dedans ?,"C’est le Seigneur de notre pays, Monsieur le Vicomte de chose… foin je ne me souviens jamais comment diantre ils baragouinent ce nom-là, monsieur Cli... Clitande."
20,Est-ce ce jeune Courtisan qui demeure...,Oui. Auprès de ces arbres.
21,"C’est pour cela que depuis peu ce Damoiseau poli s’est venu loger contre moi, j’avais bon nez sans doute, et son voisinage déjà m’avait donné quelque soupçon.","Testigué, c’est le plus honnête homme que vous ayez jamais vu. Il m’a donné trois pièces d’or pour aller dire seulement à la femme qu’il est amoureux d’elle, et qu’il souhaite fort l’honneur de pouvoir lui parler. Voyez s’il y a là une grande fatigue pour me payer si bien, et ce qu’est au prix de cela une journée de travail où je ne gagne que dix sols."
22,Hé bienavez-vous fait votre message.,"Oui, j’ai trouvé là-dedans une certaine Claudine, qui tout du premier coup a compris ce que je voulais, et qui m’a fait parler à sa Maîtresse."
23,Ah coquine de servante !,"Morguène cette Claudine-là est tout à fait jolie, elle a gagné mon amitié, et il ne tiendra qu’à elle que nous ne soyons mariés ensemble."
24,Mais quelle réponse a fait la Maîtresse à ce Monsieur le Courtisan ?,"Elle m’a dit de lui dire… attendez, je ne sais si je me souviendrai bien de tout cela. Qu’elle lui est tout à fait obligée de l’affection qu’il a pour elle, et qu’à cause de son mari qui est fantasque, il garde d’en rien faire paraître, et qu’il faudra songer à chercher quelque invention pour se pouvoir entretenir tous deux."
25,Ah ! pendarde de femme.,"Testiguiène, cela sera drôle, car le mari ne se doutera point de la manigance, voilà ce qui est de bon. Et il aura un pied de nez avec sa jalousie. Est-ce pas ?"
26,Cela est vrai.,"Adieu. Bouche cousue au moins. Gardez bien le secret, afin que le mari ne le sache pas."
27,"Oui, oui.","Pour moi je vais faire semblant de rien, je suis un fin matois, et l’on ne dirait pas que j’y touche."
28,"Hé bien, George Dandin, vous voyez de quel air votre femme vous traite. Voilà ce que c’est d’avoir voulu épouser une Demoiselle, l’on vous accommode de toutes pièces, sans que vous puissiez vous venger, et la Gentilhommerie vous tient les bras liés. L’égalité de condition laisse du moins à l’honneur d’un mari liberté de ressentiment, et si c’était une Paysanne, vous auriez maintenant toutes vos coudées franches à vous en faire la justice à bons coups de bâton. Mais vous avez voulu tâter de la Noblesse, et il vous ennuyait d’être maître chez vous. Ah ! j’enrage de tout mon cœur, et je me donnerais volontiers des soufflets. Quoi écouter impudemment l’amour d’un Damoiseau, et y promettre en même temps de la correspondance ! Morbleu je ne veux point laisser passer une occasion de la sorte. Il me faut de ce pas aller faire mes plaintes au père et à la mère, et les rendre témoins à telle fin que de raison, des sujets de chagrin et de ressentiment que leur fille me donne. Mais les voici l’un et l’autre fort à propos.","Qu’est-ce, mon gendre ? vous me paraissez tout troublé."
29,"Aussi en ai-je du sujet, et...","Mon Dieu, notre gendre, que vous avez peu de civilité de ne pas saluer les gens quand vous les approchez."
30,"Ma foi, ma belle-mère, c’est que j’ai d’autres choses en tête, et...","Encor !Est-il possible, notre gendre, que vous sachiez si peu votre monde, et qu’il n’y ait pas moyen de vous instruire de la manière qu’il faut vivre parmi les personnes de qualité ?"
31,Comment ?,"Ne vous déferez-vous jamais avec moi de la familiarité de ce mot de ma belle-mère, et ne sauriez-vous vous accoutumer à me dire Madame."
32,"Parbleu, si vous m’appelez votre gendre, il me semble que je puis vous appeler ma belle-mère.","Il y a fort à dire, et les choses ne sont pas égales. Apprenez, s’il vous plaît, que ce n’est pas à vous à vous servir de ce mot-là avec une personne de ma condition ; Que tout notre gendre que vous soyez, il y a grande différence de vous à nous, et que vous devez vous connaître."
33,"C’en est assez mamour, laissons cela.","Mon Dieu, Monsieur de Sotenville, vous avez des indulgences qui n’appartiennent qu’à vous, et vous ne savez pas vous faire rendre par les gens ce qui vous est dû."
34,"Corbleu, pardonnez-moi, on ne peut point me faire de leçons là-dessus, et j’ai su montrer en ma vie par vingt actions de vigueur, que je ne suis point homme à démordre jamais d’une partie de mes prétentions. Mais il suffit de lui avoir donné un petit avertissement. Sachons un peu, mon gendre, ce que vous avez dans l’esprit.","Puisqu’il faut donc parler catégoriquement, je vous dirai, Monsieur de Sotenville, que j’ai lieu de..."
35,"Doucement, mon gendre. Apprenez qu’il n’est pas respectueux d’appeler les gens par leur nom, et qu’à ceux qui sont au-dessus de nous il faut dire Monsieur tout court.","Hé bien, Monsieur tout court, et non plus Monsieur de Sotenville, j’ai à vous dire que ma femme me donne..."
36,"Tout beau. Apprenez aussi que vous ne devez pas dire ma femme, quand vous parlez de notre fille.","J’enrage. Comment, ma femme n’est pas ma femme ?"
37,"Oui, notre gendre, elle est votre femme, mais il ne vous est pas permis de l’appeler ainsi, et c’est tout ce que vous pourriez faire, si vous aviez épousé une de vos pareilles.","Ah ! George Dandin, où t’es-tu fourré ? Et de grâce, mettez pour un moment votre gentilhommerie à côté, et souffrez que je vous parle maintenant comme je pourrai. Au diantre soit la tyrannie de toutes ces histoires-là. Je vous dis donc que je suis mal satisfait de mon mariage."
38,"Et la raison, mon gendre.",Quoi parler ainsi d’une chose dont vous avez tiré de si grands avantages ?
39,"Et quels avantages, Madame, puisque Madame y a ? L’aventure n’a pas été mauvaise pour vous, car sans moi vos affaires, avec votre permission, étaient fort délabrées, et mon argent a servi à reboucher d’assez bons trous ; mais moi de quoi y ai-je profité, je vous prie, que d’un allongement de nom, et au lieu de George Dandin, d’avoir reçu par vous le titre de Monsieur de la Dandinière ?","Ne comptez-vous rien, mon gendre, l’avantage d’être allié à la maison de Sotenville ?"
40,"Et à celle de la Prudoterie, dont j’ai l’honneur d’être issue. Maison où le ventre anoblit : et qui par ce beau privilège rendra vos enfants Gentilshommes.","Oui, voilà qui est bien, mes enfants seront Gentilshommes, mais je serai cocu moi, si l’on n’y met ordre."
41,"Que veut dire cela, mon gendre ?","Cela veut dire que votre fille ne vit pas comme il faut qu’une femme vive, et qu’elle fait des choses qui sont contre l’honneur."
42,"Tout beau. Prenez garde à ce que vous dites. Ma fille est d’une race trop pleine de vertu pour se porter jamais à faire aucune chose dont l’honnêteté soit blessée, et de la maison de la Prudoterie, il y a plus de trois cents ans qu’on n’a point remarqué qu’il y ait eu une femme, Dieu merci, qui ait fait parler d’elle.","Corbleu, dans la maison de Sotenville on n’a jamais vu de coquette, et la bravoure n’y est pas plus héréditaire aux mâles, que la chasteté aux femelles."
43,"Nous avons eu une Jacqueline de la Prudoterie qui ne voulut jamais être la Maîtresse d’un Duc et Pair, Gouverneur de notre Province.","Il y a eu une Mathurine de Sotenville qui refusa vingt mille écus d’un Favori du Roi, qui ne lui demandait seulement que la faveur de lui parler."
44,"Ho bien votre fille n’est pas si difficile que cela, et elle s’est apprivoisée depuis qu’elle est chez moi.","Expliquez-vous, mon gendre, nous ne sommes point gens à la supporter dans de mauvaises actions, et nous serons les premiers, sa mère et moi, à vous en faire la justice."
45,"Nous n’entendons point raillerie sur les matières de l’honneur, et nous l’avons élevée dans toute la sévérité possible.","Tout ce que je vous puis dire, c’est qu’il y a ici un certain Courtisan que vous avez vu, qui est amoureux d’elle à ma barbe, et qui lui a fait faire des protestations d’amour, qu’elle a très humainement écoutées."
46,"Jour de Dieu, je l’étranglerais de mes propres mains, s’il fallait qu’elle forlignât de l’honnêteté de sa mère.","Corbleu, je lui passerais mon épée au travers du corps, à elle et au galant, si elle avait forfait à son honneur."
47,"Je vous ai dit ce qui se passe pour vous faire mes plaintes, et je vous demande raison de cette affaire-là.","Ne vous tourmentez point, je vous la ferai de tous deux, et je suis homme pour serrer le bouton à qui que ce puisse être. Mais êtes-vous bien sûr aussi de ce que vous nous dites ?"
48,Très sûr.,"Prenez bien garde au moins, car entre Gentilshommes, ce sont des choses chatouilleuses, et il n’est pas question d’aller faire ici un pas de Clerc."
49,"Je ne vous ai rien dit, vous dis-je, qui ne soit véritable.","Mamour, allez-vous-en parler à votre fille, tandis qu’avec mon gendre j’irai parler à l’homme."
50,"Se pourrait-il, mon fils, qu’elle s’oubliât de la sorte, après le sage exemple que vous savez vous-même que je lui ai donné ?","Nous allons éclaircir l’affaire. Suivez-moi, mon gendre, et ne vous mettez pas en peine, vous verrez de quel bois nous nous chauffons lorsqu’on s’attaque à ceux qui nous peuvent appartenir."
51,Le voici qui vient vers nous.,"Monsieur, suis-je connu de vous ?"
52,"Non pas que je sache, Monsieur.",Je m’appelle le baron de Sotenville.
53,Je m’en réjouis fort.,À la bonne heure.
54,"Monsieur, mon père Jean-Gilles de Sotenville eut la gloire d’assister en personne au grand siège de Montauban.",J’en suis ravi.
55,"Et j’ai eu un aïeul Bertrand de Sotenville, qui fut si considéré en son temps, que d’avoir permission de vendre tout son bien pour le voyage d’outre-mer.",Je le veux croire.
56,"Il m’a été rapporté, Monsieur, que vous aimez et poursuivez une jeune personne, qui est ma fille pour laquelle je m’intéresse, et pour l’homme que vous voyez, qui a l’honneur d’être mon gendre.",Qui moi.
57,"Oui. Et je suis bien aise de vous parler, pour tirer de vous, s’il vous plaît, un éclaircissement de cette affaire.","Voilà une étrange médisance. Qui vous a dit cela, Monsieur ?"
58,Quelqu’un qui croit le bien savoir.,"Ce quelqu’un-là en a menti. Je suis honnête homme. Me croyez-vous capable, Monsieur, d’une action aussi lâche que celle-là ? Moi, aimer une jeune et belle personne, qui a l’honneur d’être la fille de Monsieur le baron de Sotenville. Je vous révère trop pour cela, et suis trop votre serviteur. Quiconque vous l’a dit est un sot."
59,"Allons, mon gendre.",Quoi ?
60,C’est un coquin et un maraud.,Répondez.
61,Répondez vous-même.,"Si je savais qui ce peut être, je lui donnerais en votre présence de l’épée dans le ventre."
62,Soutenez donc la chose.,"Elle est toute soutenue, cela est vrai."
63,"Est-ce votre gendre, Monsieur, qui...","Oui, c’est lui-même qui s’en est plaint à moi."
64,"Certes, il peut remercier l’avantage qu’il a de vous appartenir, et sans cela je lui apprendrais bien à tenir de pareils discours d’une personne comme moi.","Pour ce qui est de cela, la jalousie est une étrange chose !J’amène ici ma fille pour éclaircir l’affaire en présence de tout le monde."
65,"Est-ce donc vous, Madame, qui avez dit à votre mari que je suis amoureux de vous ?","Moi, et comment lui aurais-je dit ? Est-ce que cela est ? Je voudrais bien le voir vraiment que vous fussiez amoureux de moi. Jouez-vous-y, je vous en prie, vous trouverez à qui parler. C’est une chose que je vous conseille de faire. Ayez recours pour voir à tous les détours des Amants. Essayez un peu par plaisir à m’envoyer des ambassades, à m’écrire secrètement de petits billets doux, à épier les moments que mon mari n’y sera pas, ou le temps que je sortirai pour me parler de votre amour. Vous n’avez qu’à y venir, je vous promets que vous serez reçu comme il faut."
66,"Hé là là, Madame, tout doucement. Il n’est pas nécessaire de me faire tant de leçons, et de vous tant scandaliser. Qui vous dit que je songe à vous aimer ?",Que sais-je moi ce qu’on me vient conter ici ?
67,On dira ce que l’on voudra. Mais vous savez si je vous ai parlé d’amour lorsque je vous ai rencontrée.,"Vous n’aviez qu’à le faire, vous auriez été bien venu."
68,"Je vous assure qu’avec moi vous n’avez rien à craindre. Que je ne suis point homme à donner du chagrin aux Belles, et que je vous respecte trop, et vous et Messieurs vos parents, pour avoir la pensée d’être amoureux de vous.",Hé bien vous le voyez.
69,"Vous voilà satisfait, mon gendre, que dites-vous à cela ?","Je dis que ce sont là des contes à dormir debout. Que je sais bien ce que je sais, et que tantôt, puisqu’il faut parler, elle a reçu une ambassade de sa part."
70,"Moi, j’ai reçu une ambassade.",J’ai envoyé une ambassade ?
71,Claudine.,Est-il vrai ?
72,Par ma foi voilà une étrange fausseté.,"Taisez-vous, carogne que vous êtes. Je sais de vos nouvelles, et c’est vous qui tantôt avez introduit le Courrier."
73,Qui moi ?,Oui vous. Ne faites point tant la sucrée.
74,"Hélas ! que le monde aujourd’hui est rempli de méchanceté, de m’aller soupçonner ainsi, moi qui suis l’innocence même.","Taisez-vous, bonne pièce. Vous faites la sournoise. Mais je vous connais il y a longtemps, et vous êtes une dessalée."
75,"Madame, est-ce que...","Taisez-vous, vous dis-je, vous pourriez bien porter la folle enchère de tous les autres. Et vous n’avez point de père Gentilhomme."
76,"C’est une imposture si grande, et qui me touche si fort au cœur, que je ne puis pas même avoir la force d’y répondre ; cela est bien horrible d’être accusée par un mari lorsqu’on ne lui fait rien qui ne soit à faire. Hélas ! si je suis blâmable de quelque chose, c’est d’en user trop bien avec lui.",Assurément.
77,"Tout mon malheur est de le trop considérer, et plût au Ciel que je fusse capable de souffrir, comme il dit, les galanteries de quelqu’un, je ne serais pas tant à plaindre. Adieu, je me retire, et je ne puis plus endurer qu’on m’outrage de cette sorte.","Allez, vous ne méritez pas l’honnête femme qu’on vous a donnée."
78,"Par ma foi, il mériterait qu’elle lui fît dire vrai, et si j’étais en sa place je n’y marchanderais pas. Oui, Monsieur, vous devez pour le punir, faire l’amour à ma Maîtresse. Poussez, c’est moi qui vous le dis, ce sera fort bien employé, et je m’offre à vous y servir, puisqu’il m’en a déjà taxée.","Vous méritez, mon gendre, qu’on vous dise ces choses-là, et votre procédé met tout le monde contre vous."
79,"Allez, songez à mieux traiter une Demoiselle bien née, et prenez garde désormais à ne plus faire de pareilles bévues.","J’enrage de bon cœur d’avoir tort, lorsque j’ai raison."
80,"Monsieur, vous voyez comme j’ai été faussement accusé. Vous êtes homme qui savez les maximes du point d’honneur, et je vous demande raison de l’affront qui m’a été fait.","Cela est juste, et c’est l’ordre des procédés. Allons, mon gendre, faites satisfaction à Monsieur."
81,Comment satisfaction ?,Oui. Cela se doit dans les règles pour l’avoir à tort accusé.
82,"C’est une chose moi dont je ne demeure pas d’accord de l’avoir à tort accusé, et je sais bien ce que j’en pense.","Il n’importe. Quelque pensée qui vous puisse rester, il a nié, c’est satisfaire les personnes, et l’on n’a nul droit de se plaindre de tout homme qui se dédit."
83,"Si bien donc que si je le trouvais couché avec ma femme, il en serait quitte pour se dédire ?",Point de raisonnement. Faites-lui les excuses que je vous dis.
84,"Moi, je lui ferai encore des excuses après...","Allons vous dis-je. Il n’y a rien à balancer, et vous n’avez que faire d’avoir peur d’en trop faire, puisque c’est moi qui vous conduis."
85,Je ne saurais...,"Corbleu, mon gendre, ne m’échauffez pas la bile, je me mettrais avec lui contre vous. Allons. Laissez-vous gouverner par moi."
86,Ah George Dandin !,"Votre bonnet à la main le premier, Monsieur est Gentilhomme, et vous ne l’êtes pas."
87,J’enrage.,Répétez après moi. Monsieur.
88,Monsieur.,Des mauvaises pensées que j’ai eues de vous.
89,,C’est que je n’avais pas l’honneur de vous connaître.
90,,Et je vous prie de croire.
91,Et je vous prie de croire.,Que je suis votre serviteur.
92,Voulez-vous que je sois serviteur d’un homme qui me veut faire cocu ?,Ah !
93,"Il suffit, Monsieur.","Non, je veux qu’il achève, et que tout aille dans les formes. Que je suis votre serviteur."
94,Que je suis votre serviteur.,"Monsieur, je suis le vôtre de tout mon cœur, et je ne songe plus à ce qui s’est passé. Pour vous, Monsieur, je vous donne le bonjour, et suis fâché du petit chagrin que vous avez eu."
95,"Je vous baise les mains, et quand il vous plaira je vous donnerai le divertissement de courre un lièvre.",C’est trop de grâces que vous me faites.
96,"Voilà, mon gendre, comme il faut pousser les choses. Adieu. Sachez que vous êtes entré dans une famille qui vous donnera de l’appui, et ne souffrira point que l’on vous fasse aucun affront.","Ah que je... Vous l’avez voulu, vous l’avez voulu, George Dandin, vous l’avez voulu, cela vous sied fort bien, et vous voilà ajusté comme il faut,vous avez justement ce que vous méritez. Allons il s’agit seulement de désabuser le père et la mère et je pourrai trouver peut-être quelque moyen d y réussir."
97,"Oui, j’ai bien deviné qu’il fallait que cela vînt de toi, et que tu l’eusses dit à quelqu’un qui l’ait rapporté à notre Maître.","Par ma foi je n’en ai touché qu’un petit mot en passant à un homme, afin qu’il ne dît point qu’il m’avait vu sortir, et il faut que les gens en ce pays-ci soient de grands babillards."
98,"Vraiment ce Monsieur le Vicomte a bien choisi son monde que de te prendre pour son Ambassadeur, et il s’est allé servir là d’un homme bien chanceux.","Va, une autre fois je serai plus fin, et je prendrai mieux garde à moi."
99,"Oui, oui, il sera temps.","Ne parlons plus de cela, écoute."
100,Que veux-tu que j’écoute ?,Tourne un peu ton visage devers moi.
101,Hé bien qu’est-ce ?,Claudine.
102,Quoi ?,"Hé là, ne sais-tu pas bien ce que je veux dire ?"
103,Non.,Morgué je t’aime.
104,Tout de bon ?,"Oui le diable m’emporte, tu me peux croire, puisque j’en jure."
105,À la bonne heure.,Je me sens tout tribouiller le cœur quand je te regarde.
106,Je m’en réjouis.,Comment est-ce que tu fais pour être si jolie ?
107,Je fais comme font les autres.,"Vois-tu, il ne faut point tant de beurre pour faire un quarteron. Si tu veux tu seras ma femme, je serai ton mari, et nous serons tous deux mari et femme."
108,Tu serais peut-être jaloux comme notre Maître.,Point.
109,"Pour moi, je hais les maris soupçonneux, et j’en veux un qui ne s’épouvante de rien, un si plein de confiance, et si sûr de ma chasteté, qu’il me vît sans inquiétude au milieu de trente hommes.","Hé bien, je serai tout comme cela."
110,"C’est la plus sotte chose du monde que de se défier d’une femme, et de la tourmenter. La vérité de l’affaire est qu’on n’y gagne rien de bon. Cela nous fait songer à mal, et ce sont souvent les maris qui avec leurs vacarmes se font eux-mêmes ce qu’ils sont.","Hé bien, je te donnerai la liberté de faire tout ce qu’il te plaira."
111,"Voilà comme il faut faire pour n’être point trompé. Lorsqu’un mari se met à notre discrétion, nous ne prenons de liberté que ce qu’il nous en faut, et il en est comme avec ceux qui nous ouvrent leur bourse et nous disent, prenez. Nous en usons honnêtement, et nous nous contentons de la raison. Mais ceux qui nous chicanent, nous nous efforçons de les tondre, et nous ne les épargnons point.","Va, je serai de ceux qui ouvrent leur bourse, et tu n’as qu’à te marier avec moi."
112,Hé bien bien nous verrons.,"Viens donc ici, Claudine."
113,Que veux-tu ?,"Viens, te dis-je."
114,Ah ! doucement. Je n’aime pas les patineurs.,Eh un petit brin d’amitié.
115,"Laisse-moi là, te dis-je, je n’entends pas raillerie.",Claudine.
116,Ahy !,"Ah ! que tu es rude à pauvres gens. Fi, que cela est malhonnête de refuser les personnes. N’as-tu point de honte d’être belle, et de ne vouloir pas qu’on te caresse ? Eh là."
117,Je te donnerai sur le nez.,"Oh la farouche. La sauvage. Fi poua la vilaine, qui est cruelle."
118,Tu t’émancipes trop.,Qu’est-ce que cela te coûterait de me laisser un peu faire ?
119,Il faut que tu te donnes patience.,Un petit baiser seulement en rabattant sur notre mariage.
120,Je suis votre Servante.,Adieu beauté rude ânière.
121,Le mot est amoureux.,"Adieu rocher, caillou, pierre de taille, et tout ce qu’il y a de plus dur au monde."
122,"Je vais remettre aux mains de ma Maîtresse... Mais la voici avec son Mari, éloignons-nous, et attendons qu’elle soit seule.","Non non, on ne m’abuse pas avec tant de facilité, et je ne suis que trop certain que le rapport que l’on m’a fait est véritable. J’ai de meilleurs yeux qu’on ne pense, et votre galimatias ne m’a point tantôt ébloui."
123,Ah la voilà. Mais le mari est avec elle.,"Au travers de toutes vos grimaces, j’ai vu la vérité de ce que l’on m’a dit, et le peu de respect que vous avez pour le nœud qui nous joint. Mon Dieu laissez là votre révérence, ce n’est pas de ces sortes de respect dont je vous parle, et vous n’avez que faire de vous moquer."
124,"Moi, me moquer ! En aucune façon.","Je sais votre pensée, et connais... Encore ? ah ne raillons pas davantage ! Je n’ignore pas qu’à cause de votre noblesse vous me tenez fort au-dessous de vous, et le respect que je vous veux dire ne regarde point ma personne. J’entends parler de celui que vous devez à des nœuds aussi vénérables que le sont ceux du mariage. Il ne faut point lever les épaules, et je ne dis point de sottises."
125,Qui songe à lever les épaules ?,"Mon Dieu nous voyons clair. Je vous dis encore une fois que le mariage est une chaîne à laquelle on doit porter toute sorte de respect, et que c’est fort mal fait à vous d’en user comme vous faites. Oui oui mal fait à vous, et vous n’avez que faire de hocher la tête, et de me faire la grimace."
126,Moi ! je ne sais ce que vous voulez dire.,"Je le sais fort bien moi, et vos mépris me sont connus. Si je ne suis pas né noble, au moins suis-je d’une race où il n’y a point de reproche, et la famille des Dandins..."
127,Un moment d’entretien.,Eh ?
128,Quoi ? je ne dis mot.,Le voilà qui vient rôder autour de vous.
129,Hé bien est-ce ma faute ? Que voulez-vous que j’y fasse ?,"Je veux que vous y fassiez ce que fait une femme qui ne veut plaire qu’à son mari. Quoi qu’on en puisse dire, les Galants n’obsèdent jamais que quand on le veut bien, il y a un certain air doucereux qui les attire ainsi que le miel fait les mouches, et les honnêtes femmes ont des manières qui les savent chasser d’abord."
130,"Moi les chasser ? et par quelle raison, je ne me scandalise point qu’on me trouve bien faite, et cela me fait du plaisir.",Oui. Mais quel personnage voulez-vous que joue un mari pendant cette galanterie ?
131,Le personnage d’un honnête homme qui est bien aise de voir sa femme considérée.,"Je suis votre valet. Ce n’est pas là mon compte, et les Dandins ne sont point accoutumés à cette mode-là."
132,"Oh les Dandins s’y accoutumeront s’ils veulent. Car pour moi je vous déclare que mon dessein n’est pas de renoncer au monde, et de m’enterrer toute vive dans un mari. Comment, parce qu’un homme s’avise de nous épouser, il faut d’abord que toutes choses soient finies pour nous, et que nous rompions tout commerce avec les vivants ?C’est une chose merveilleuse que cette tyrannie de Messieurs les maris, et je les trouve bons de vouloir qu’on soit morte à tous les divertissements, et qu’on ne vive que pour eux. Je me moque de cela, et ne veux point mourir si jeune.",C’est ainsi que vous satisfaites aux engagements de la foi que vous m’avez donnée publiquement.
133,"Moi ? je ne vous l’ai point donnée de bon cœur, et vous me l’avez arrachée. M’avez-vous avant le mariage demandé mon consentement, et si je voulais bien de vous ? Vous n’avez consulté pour cela que mon père, et ma mère, ce sont eux proprement qui vous ont épousé, et c’est pourquoi vous ferez bien de vous plaindre toujours à eux des torts que l’on pourra vous faire. Pour moi qui ne vous ai point dit de vous marier avec moi, et que vous avez prise sans consulter mes sentiments, je prétends n’être point obligée à me soumettre en esclave à vos volontés, et je veux jouir, s’il vous plaît, de quelque nombre de beaux jours que m’offre la jeunesse ; prendre les douces libertés, que l’âge me permet, voir un peu le beau monde, et goûter le plaisir de m’ouïr dire des douceurs. Préparez-vous-y pour votre punition, et rendez grâces au Ciel de ce que je ne suis pas capable de quelque chose de pis.","Oui !c’est ainsi que vous le prenez. Je suis votre mari, et je vous dis que je n’entends pas cela."
134,"Moi je suis votre femme, et je vous dis que je l’entends.","Il me prend des tentations d’accommoder tout son visage à la compote, et le mettre en état de ne plaire de sa vie aux diseurs de fleurettes. Ah ! allons, George Dandin, je ne pourrais me retenir, et il vaut mieux quitter la place."
135,"J’avais, Madame, impatience qu’il s’en allât pour vous rendre ce mot de la part que vous savez.",Voyons.
136,"À ce que je puis remarquer, ce qu’on lui dit ne lui déplaît pas trop.","Ah Claudine que ce billet s’explique d’une façon galante ! que dans tous leurs discours, et dans toutes leurs actions les gens de Cour ont un air agréable, et qu’est-ce que c’est auprès d’eux que nos gens de Province ?"
137,"Je crois qu’après les avoir vus, les Dandins ne vous plaisent guères.","Demeure ici, je m’en vais faire la réponse."
138,"Je n’ai pas besoin, que je pense, de lui recommander de la faire agréable. Mais voici...","Vraiment, Monsieur, vous avez pris là un habile messager."
139,"Je n’ai pas osé envoyer de mes gens, mais, ma pauvre Claudine, il faut que je te récompense des bons offices que je sais que tu m’as rendus.","Eh ! Monsieur il n’est pas nécessaire. Non, Monsieur, vous n’avez que faire de vous donner cette peine-là, et je vous rends service, parce que vous le méritez, et que je me sens au cœur de l’inclination pour vous."
140,Je te suis obligé.,"Puisque nous serons mariés, donne-moi cela que je le mette avec le mien."
141,Je te le garde aussi bien que le baiser.,"Dis-moi, as-tu rendu mon billet à ta belle maîtresse ?"
142,"Oui, elle est allée y répondre.","Mais, Claudine, n’y a-t-il pas moyen que je la puisse entretenir ?"
143,"Oui, venez avec moi, je vous ferai parler à elle.","Mais le trouvera-t-elle bon, et n’y a-t-il rien à risquer ?"
144,"Testiguenne que j’aurai là une habile femme, elle a de l’esprit comme quatre.",Voici mon homme de tantôt. Plût au Ciel qu’il pût se résoudre à vouloir rendre témoignage au père et à la mère de ce qu’ils ne veulent point croire.
145,"Ah vous voilà, Monsieur le babillard, à qui j’avais tant recommandé de ne point parler, et qui me l’aviez tant promis. Vous êtes donc un causeur, et vous allez redire ce que l’on vous dit en secret.",Moi ?
146,"Oui. Vous avez été tout rapporter au mari. Et vous êtes cause qu’il a fait du vacarme. Je suis bien aise de savoir que vous avez de la langue, et cela m’apprendra à ne vous plus rien dire.","Écoute, mon ami."
147,"Si vous n’aviez point babillé, je vous aurais conté ce qui se passe à cette heure, mais pour votre punition vous ne saurez rien du tout.",Comment. qu’est-ce qui se passe ?
