,Speaker 1,Speaker 2
10,"Au moins, Madame, souvenez-vous de votre Rôle ; et pour mieux couvrir notre jeu,
              feignez, comme on vous a dit, d’être la plus contente du monde des résolutions de
              votre Père.","S’il ne tient qu’à cela, les choses iront à merveille."
11,"Mais, belle Julie, si toutes nos Machines venaient à ne pas réussir ?",Je déclarerai à mon Père mes véritables sentiments.
12,Et si contre vos sentiments il s’obstinait à son dessein ?,Je le menacerais de me jeter dans un Convent.
13,Mais si malgré tout cela il voulait vous forcer à ce Mariage ?,Que voulez-vous que je vous dise ?
14,Ce que je veux que vous me disiez ?,Oui.
15,Ce qu’on dit quand on aime bien.,Mais quoi ?
16,"Que rien ne pourra vous contraindre, et que malgré tous les efforts d’un Père, vous
              me promettez d’être à moi.","Mon Dieu, Éraste, contentez-vous de ce que je fais maintenant, et n’allez point
              tenter sur l’avenir les résolutions de mon cœur : ne fatiguez point mon devoir par les
              propositions d’une fâcheuse extrémité dont peut-être n’aurons-nous pas besoin ; et
              s’il y faut venir, souffrez au moins que j’y sois entraînée par la suite des
              choses."
17,Eh bien…,"Ma foi, voici notre Homme, songeons à nous."
18,Ah comme il est bâti !,"Hé bien, quoi ? qu’est-ce ? qu’y a-t-il ? Au diantre soit la sotte Ville, et les sottes Gens qui y sont : ne pouvoir faire un pas sans trouver des Nigauds qui vous regardent, et se mettent à rire ! Eh, Messieurs les Badauds, faites vos affaires, et laissez passer les Personnes sans leur rire au nez. Je me donne au Diable, si je ne baille un coup de poing au premier que je verrai rire."
19,"Qu’est-ce que c’est, Messieurs ? que veut dire cela ? à qui en avez-vous ? faut-il se moquer ainsi des honnêtes Étrangers qui arrivent ici ?",Voilà un Homme raisonnable celui-là.
20,Quel procédé est le vôtre ? et qu’avez-vous à rire ?,Fort bien.
21,Monsieur a-t-il quelque chose de ridicule en soi ?,Oui.
22,Est-il autrement que les autres ?,"Suis-je tortu, ou bossu ?"
23,Apprenez à connaître les Gens.,C’est bien dit.
24,Monsieur est d’une mine à respecter.,Cela est vrai.
25,Personne de condition.,"Oui, Gentilhomme Limosin."
26,Homme d’esprit.,Qui a étudié en Droit.
27,"Il vous fait trop d’honneur, de venir dans votre Ville.",Sans doute.
28,Monsieur n’est point une Personne à faire rire.,Assurément.
29,"Et quiconque rira de lui, aura affaire à moi.","Monsieur, je vous suis infiniment obligé."
30,"Je suis fâché, Monsieur, de voir recevoir de la sorte une Personne comme vous, et je vous demande pardon pour la Ville.",Je suis votre serviteur.
31,"Je vous ai vu ce matin, Monsieur, avec le Coche, lorsque vous avez déjeuné ; et la grâce avec laquelle vous mangiez votre pain, m’a fait naître d’abord de l’amitié pour vous : Et comme je sais que vous n’êtes jamais venu en ce Pays, et que vous y êtes tout neuf, je suis bien aise de vous avoir trouvé pour vous offrir mon service à cette arrivée, et vous aider à vous conduire parmi ce Peuple, qui n’a pas parfois pour les honnêtes Gens toute la considération qu’il faudrait.",C’est trop de grâce que vous me faites.
32,"Je vous l’ai déjà dit ; du moment que je vous ai vu, je me suis senti pour vous de l’inclination.",Je vous suis obligé.
33,Votre physionomie m’a plu.,Ce m’est beaucoup d’honneur.
34,J’y ai vu quelque chose d’honnête.,Je suis votre serviteur.
35,Quelque chose d’aimable.,"Ah, ah."
36,De gracieux.,"Ah, ah."
37,De doux.,"Ah, ah."
38,De majestueux.,"Ah, ah."
39,De franc.,"Ah, ah."
40,Et de cordial.,"Ah, ah."
41,Je vous assure que je suis tout à vous.,Je vous ai beaucoup d’obligation.
42,C’est du fond du cœur que je parle.,Je le crois.
43,"Si j’avais l’honneur d’être connu de vous, vous sauriez que je suis un Homme tout à fait sincère.",Je n’en doute point.
44,Ennemi de la fourberie.,J’en suis persuadé.
45,Et qui n’est pas capable de déguiser ses sentiments.,C’est ma pensée.
46,"Vous regardez mon habit qui n’est pas fait comme les autres ; mais je suis originaire de Naples, à votre service, et j’ai voulu conserver un peu et la manière de s’habiller, et la sincérité de mon Pays.",C’est fort bien fait : Pour moi j’ai voulu me mettre à la mode de la Cour pour la Campagne.
47,"Ma foi, cela vous va mieux qu’à tous nos Courtisans.","C’est ce que m’a dit mon Tailleur ; l’habit est propre et riche, et il fera du bruit ici."
48,Sans doute. N’irez-vous pas au Louvre ?,Il faudra bien aller faire ma Cour.
49,Le Roi sera ravi de vous voir.,Je le crois.
50,Avez-vous arrêté un Logis ?,"Non, j’allais en chercher un."
51,"Je serai bien aise d’être avec vous pour cela, et je connais tout ce Pays-ci.",Ah qu’est-ce ci ! que vois-je ! Quelle heureuse rencontre ! Monsieur de Pourceaugnac ! que je suis ravi de vous voir ! Comment ? il semble que vous ayez peine à me reconnaître ?
52,"Monsieur, je suis votre serviteur.",Est-il possible que cinq ou six années m’aient ôté de votre mémoire ? et que vous ne reconnaissiez pas le meilleur Ami de toute la Famille des Pourceaugnac ?
53,Pardonnez-moi.,"Ma foi, je ne sais qui il est."
54,"Il n’y a pas un Pourceaugnac à Limoges que je ne connaisse depuis le plus grand jusques au plus petit ; je ne fréquentais qu’eux dans le temps que j’y étais, et j’avais l’honneur de vous voir presque tous les jours.","C’est moi qui l’ai reçu, Monsieur."
55,Vous ne vous remettez point mon visage ?,Si fait.
56,Je ne le connais point.,Vous ne vous ressouvenez pas que j’ai eu le bonheur de boire avec vous je ne sais combien de fois ?
57,Excusez-moi.,Je ne sais ce que c’est.
58,Comment appelez-vous ce Traiteur de Limoges qui fait si bonne chère ?,Petit-Jean ?
59,Le voilà.Nous allions le plus souvent ensemble chez lui nous réjouir. Comment est-ce que vous nommez à Limoges ce Lieu où l’on se promène ?,Le Cimetière des Arènes ?
60,Justement ; c’est où je passais de si douces heures à jouir de votre agréable Conversation. Vous ne vous remettez pas tout cela ?,"Excusez-moi, je me le remets."
61,"Diable emporte, si je m’en souviens.",Il y a cent choses comme cela qui passent de la tête.
62,"Embrassez-moi donc, je vous prie, et resserrons les nœuds de notre ancienne amitié.",Voilà un Homme qui vous aime fort.
63,Dites-moi un peu des nouvelles de toute la Parenté : Comment se porte Monsieur votre… là… qui est si honnête Homme ?,Mon Frère le Consul ?
64,Oui.,Il se porte le mieux du monde.
65,Certes j’en suis ravi. Et celui qui est de si bonne humeur ? là… Monsieur votre… ?,Mon cousin l’Assesseur ?
66,Justement.,Toujours gai et gaillard.
67,"Ma foi, j’en ai beaucoup de joie. Et Monsieur votre Oncle ? le…",Je n’ai point d’Oncle.
68,Vous aviez pourtant en ce temps-là…,"Non, rien qu’une Tante."
69,"C’est ce que je voulais dire, Madame votre Tante ; comment se porte-t-elle ?",Elle est morte depuis six mois.
70,Hélas la pauvre Femme ! elle était si bonne personne.,"Nous avons aussi mon Neveu le Chanoine, qui a pensé mourir de la petite vérole."
71,Quel dommage ç’aurait été !,Le connaissez-vous aussi ?
72,Vraiment si je le connais ! Un grand Garçon bien fait.,Pas des plus grands.
73,"Non, mais de taille bien prise.",Eh oui.
74,Qui est votre Neveu…,Oui.
75,Fils de votre Frère et de votre Sœur…,Justement.
76,Chanoine de l’Église de… comment l’appelez-vous ?,De Saint-Etienne.
77,"Le voilà, je ne connais autre.",Il dit toute la Parenté.
78,Il vous connaît plus que vous ne croyez.,"À ce que je vois, vous avez demeuré longtemps dans notre Ville ?"
79,Deux ans entiers.,"Vous étiez donc là quand mon Cousin l’Élu, fit tenir son Enfant à Monsieur notre Gouverneur ?"
80,"Vraiment oui, j’y fus convié des premiers.",Cela fut galant.
81,Très galant.,C’était un Repas bien troussé.
82,Sans doute.,Vous vîtes donc aussi la querelle que j’eus avec ce Gentilhomme Périgordin ?
83,Oui.,Parbleu il trouva à qui parler.
84,"Ah, ah.","Il me donna un soufflet, mais je lui dis bien son fait."
85,"Assurément. Au reste, je ne prétends pas que vous preniez d’autre Logis que le mien.",Je n’ai garde de…
86,Vous moquez-vous ? Je ne souffrirai point du tout que mon meilleur Ami soit autre part que dans ma Maison.,Ce serait vous…
87,"Non : le Diable m’emporte, vous logerez chez moi.","Puisqu’il le veut obstinément, je vous conseille d’accepter l’offre."
88,Où sont vos hardes ?,Je les ai laissées avec mon Valet où je suis descendu.
89,Envoyons-les quérir par quelqu’un.,"Non : je lui ai défendu de bouger, à moins que j’y fusse moi-même, de peur de quelque fourberie."
90,C’est prudemment avisé.,Ce Pays-ci est un peu sujet à caution.
91,On voit les Gens d’esprit en tout.,"Je vais accompagner Monsieur, et le ramènerai où vous voudrez."
92,"Oui, je serai bien aise de donner quelques ordres, et vous n’avez qu’à revenir à cette Maison-là.",Nous sommes à vous tout à l’heure.
93,Je vous attends avec impatience.,Voilà une connaissance où je ne m’attendais point.
94,Il a la mine d’être honnête Homme.,"Ma foi, Monsieur de Pourceaugnac, nous vous en donnerons de toutes les façons ; les choses sont préparées, et je n’ai qu’à frapper."
95,"Je crois, Monsieur, que vous êtes le Médecin à qui l’on est venu parler de ma part.","Non, Monsieur, ce n’est pas moi qui suis le Médecin ; à moi n’appartient pas cet honneur, et je ne suis qu’Apothicaire, Apothicaire indigne, pour vous servir."
96,Et Monsieur le Médecin est-il à la Maison ?,"Oui, il est là embarrassé à expédier quelques Malades, et je vais lui dire que vous êtes ici."
97,"Non, ne bougez : j’attendrai qu’il ait fait ; c’est pour lui mettre entre les mains certain Parent que nous avons, dont on lui a parlé, et qui se trouve attaqué de quelque folie, que nous serions bien aises qu’il pût guérir avant que de le marier.","Je sais ce que c’est, je sais ce que c’est, et j’étais avec lui quand on lui a parlé de cette affaire. Ma foi, ma foi, vous ne pouviez pas vous adresser à un Médecin plus habile ; c’est un Homme qui sait la Médecine à fond, comme je sais ma Croix-de-Pardieu ; et qui, quand on devrait crever, ne démordrait pas d’un "
98,"Il fait fort bien ; un Malade ne doit point vouloir guérir, que la Faculté n’y consente.","Ce n’est pas parce que nous sommes grands Amis, que j’en parle ; mais il y a plaisir, il y a plaisir d’être son Malade ; et j’aimerais mieux mourir de ses remèdes, que de guérir de ceux d’un autre : car quoi qui puisse arriver, on est assuré que les choses sont toujours dans l’ordre ; et quand on meurt sous sa conduite, vos Héritiers n’ont rien à vous reprocher."
99,C’est une grande consolation pour un Défunt.,"Assurément ; on est bien aise au moins d’être mort méthodiquement. Au reste, il n’est pas de ces Médecins qui marchandent les maladies ; c’est un Homme expéditif, expéditif, qui aime à dépêcher ses Malades ; et quand on a à mourir, cela se fait avec lui le plus vite du monde."
100,"En effet, il n’est rien tel que de sortir promptement d’affaire.","Cela est vrai, à quoi bon tant barguigner et tant tourner autour du pot ? il faut savoir vitement le court ou le long d’une maladie."
101,Vous avez raison.,"Voilà déjà trois de mes Enfants dont il m’a fait l’honneur de conduire la maladie, qui sont morts en moins de quatre jours, et qui entre les mains d’un autre, auraient langui plus de trois mois."
102,Il est bon d’avoir des Amis comme cela.,"Sans doute. Il ne me reste plus que deux Enfants dont il prend soin comme des siens ; il les traite et gouverne à sa fantaisie, sans que je me mêle de rien ; et le plus souvent, quand je reviens de la Ville, je suis tout étonné que je les trouve saignés ou purgés par son ordre."
103,Voilà des soins fort obligeants.,"Le voici, le voici, le voici qui vient."
104,"Monsieur, il n’en peut plus, et il dit qu’il sent dans la tête les plus grandes douleurs du monde.","Le Malade est un sot, d’autant plus que dans la maladie dont il est attaqué, ce n’est pas la tête, selon Galien, mais la rate, qui lui doit faire mal."
105,"Quoi que c’en soit, Monsieur, il a toujours avec cela son cours de ventre depuis six mois.","Bon, c’est signe que le dedans se dégage. Je l’irai visiter dans deux ou trois jours ; mais s’il mourait avant ce temps-là, ne manquez pas de m’en donner avis, car il n’est pas de la civilité, qu’un Médecin visite un Mort."
106,"Mon Père, Monsieur, est toujours malade de plus en plus.","Ce n’est pas ma faute ; je lui donne des remèdes, que ne guérit-il ? Combien a-t-il été saigné de fois ?"
107,"Quinze, Monsieur, depuis vingt jours.",Quinze fois saigné ?
108,Oui.,Et il ne guérit point ?
109,"Non, Monsieur.","C’est signe que la maladie n’est pas dans le sang. Nous le ferons purger autant de fois, pour voir si elle n’est pas dans les humeurs ; et si rien ne nous réussit, nous l’enverrons aux Bains."
110,"Voilà le fin cela, voilà le fin de la Médecine.","C’est moi, Monsieur, qui vous ai envoyé parler ces jours passés pour un Parent un peu troublé d’esprit, que je veux vous donner chez vous, afin de le guérir avec plus de commodité, et qu’il soit vu de moins de monde."
111,"Oui, Monsieur, j’ai déjà disposé tout, et promets d’en avoir tous les soins imaginables.",Le voici.
112,"La conjoncture est tout à fait heureuse, et j’ai ici un Ancien de mes Amis avec lequel je serai bien aise de consulter sa maladie.","Une petite affaire m’est survenue, qui m’oblige à vous quitter ; mais voilà une Personne entre les mains de qui je vous laisse, qui aura soin pour moi de vous traiter du mieux qu’il lui sera possible."
113,"Le devoir de ma Profession m’y oblige, et c’est assez que vous me chargiez de ce soin.","C’est son Maître d’Hôtel, et il faut que ce soit un Homme de qualité."
114,"Oui, je vous assure que je traiterai Monsieur méthodiquement, et dans toutes les régularités de notre Art.","Mon Dieu, il ne me faut point tant de cérémonies, et je ne viens pas ici pour incommoder."
115,Un tel Emploi ne me donne que de la joie.,"Voilà toujours six Pistoles d’avance, en attendant ce que j’ai promis."
116,"Non, s’il vous plaît, je n’entends pas que vous fassiez de dépense, et que vous envoyiez rien acheter pour moi.","Mon Dieu, laissez faire, ce n’est pas pour ce que vous pensez."
117,Je vous demande de ne me traiter qu’en Ami.,C’est ce que je veux faire.
118,"Je vous recommande surtout de ne le point laisser sortir de vos mains, car parfois il veut s’échapper.",Ne vous mettez pas en peine.
119,"Je vous prie de m’excuser, de l’incivilité que je commets.","Vous vous moquez, et c’est trop de grâce que vous me faites."
120,"Ce m’est beaucoup d’honneur, Monsieur, d’être choisi pour vous rendre service.",Je suis votre serviteur.
121,"Voici un habile Homme, mon Confrère, avec lequel je vais consulter la manière dont nous vous traiterons.","Il ne faut point tant de façons, vous dis-je, et je suis Homme à me contenter de l’ordinaire."
122,"Allons, des sièges.","Voilà, pour un jeune Homme, des Domestiques bien lugubres !"
123,"Allons, Monsieur, prenez votre place, Monsieur.",Votre très humble valet.
124,Que veut dire cela ?,"Mangez-vous bien, Monsieur ?"
125,"Oui, et bois encore mieux.","Tant pis ; cette grande appétition du froid et de l’humide, est une indication de la chaleur et sécheresse qui est au dedans.Dormez-vous fort ?"
126,"Oui, quand j’ai bien soupé.",Faites-vous des songes ?
127,Quelquefois.,De quelle nature sont-ils ?
128,De la nature des songes. Quelle diable de conversation est-ce là ?,"Vos déjections, comment sont-elles ?"
129,"Ma foi, je ne comprends rien à toutes ces questions, et je veux plutôt boire un coup.","Un peu de patience, nous allons raisonner sur votre affaire devant vous, et nous le ferons en Français, pour être plus intelligibles."
130,Quel grand raisonnement faut-il pour manger un morceau ?,"Comme ainsi soit qu’on ne puisse guérir une maladie, qu’on ne la connaisse parfaitement, et qu’on ne la puisse parfaitement connaître, sans en bien établir l’idée particulière et la véritable espèce, par ses signes diagnostiques et prognostiques ; vous me permettrez, Monsieur notre Ancien, d’entrer en considération de la maladie dont il s’agit, avant que de toucher à la thérapeutique et aux remèdes qu’il nous conviendra faire pour la parfaite curation d’icelle.Je dis donc, Monsieur, avec votre permission, que notre Malade ici présent, est malheureusement attaqué, affecté, possédé, travaillé de cette sorte de folie que nous nommons fort bien, mélancolie hypocondriaque, espèce de folie très fâcheuse, et qui ne demande pas moins qu’un Esculape comme vous, consommé dans notre Art ; vous, dis-je, qui avez blanchi, comme on dit, sous le harnois, et auquel il en a tant passé par les mains de toutes les façons.Je l’appelle mélancolie hypocondriaque, pour la distinguer des deux autres ; car le célèbre Galien établit doctement à son ordinaire trois espèces de cette maladie, que nous nommons mélancolie, ainsi appelée non seulement par les Latins, mais encore par les Grecs ; ce qui est bien à remarquer pour notre affaire : La première, qui vient du propre vice du cerveau ; la seconde, qui vient de tout le sang, fait et rendu atrabilaire ; la troisième, appelée hypocondriaque, qui est la nôtre, laquelle procède du vice de quelque partie du bas-ventre, et de la région inférieure, mais particulièrement de la rate, dont la chaleur et l’inflammation porte au cerveau de notre Malade beaucoup de fuligines épaisses et crasses, dont la vapeur noire et maligne cause dépravation aux fonctions de la faculté princesse, et fait la maladie dont par notre raisonnement il est manifestement atteint et convaincu.Qu’ainsi ne soit, pour diagnostique incontestable de ce que je dis, vous n’avez qu’à considérer ce grand sérieux que vous voyez ; cette tristesse accompagnée de crainte et de défiance, signes pathognomoniques et individuels de cette maladie, si bien marquée chez le Divin vieillard Hippocrate ; cette physionomie, ces yeux rouges et hagards, cette grande barbe, cette habitude du corps, menue, grêle, noire et velue, lesquels signes le dénotent très affecté de cette maladie, procédante du vice des hypocondres ; laquelle maladie par laps de temps naturalisée, envieillie, habituée, et ayant pris droit de bourgeoisie chez lui, pourrait bien dégénérer, ou en manie, ou en phtisie, ou en apoplexie, ou même en fine frénésie et fureur.Tout ceci supposé, puisqu’une maladie bien connue est à demi guérie, car "
131,"À Dieu ne plaise, Monsieur, qu’il me tombe en pensée d’ajouter rien à ce que vous venez de dire : vous avez si bien discouru sur tous les signes, les symptômes et les causes de la maladie de Monsieur ; le raisonnement que vous en avez fait est si docte et si beau, qu’il est impossible qu’il ne soit pas fou, et mélancolique hypocondriaque ; et quand il ne le serait pas, il faudrait qu’il le devînt, pour la beauté des choses que vous avez dites, et la justesse du raisonnement que vous avez fait. Oui, Monsieur, vous avez dépeint fort graphiquement, ","Messieurs, il y a une heure que je vous écoute. Est-ce que nous jouons ici une Comédie ?"
132,"Non, Monsieur, nous ne jouons point.",Qu’est-ce que tout ceci ? et que voulez-vous dire avec votre galimatias et vos sottises ?
133,"Bon, dire des injures. Voilà un diagnostique qui nous manquait pour la confirmation de son mal, et ceci pourrait bien tourner en manie.",Avec qui m’a-t-on mis ici ?
134,Autre diagnostique : La sputation fréquente.,"Laissons cela, et sortons d’ici."
135,Autre encore : L’inquiétude de changer de place.,Qu’est-ce donc que toute cette affaire ? et que me voulez-vous ?
136,"Vous guérir, selon l’ordre qui nous a été donné.",Me guérir.
137,Oui.,Parbleu je ne suis pas malade.
138,"Mauvais signe, lorsqu’un Malade ne sent pas son mal.",Je vous dis que je me porte bien.
139,"Nous savons mieux que vous comment vous vous portez, et nous sommes Médecins, qui voyons clair dans votre constitution.","Si vous êtes Médecins, je n’ai que faire de vous ; et je me moque de la Médecine."
140,"Hon, hon ; voici un Homme plus fou que nous ne pensons.","Mon Père et ma Mère n’ont jamais voulu de remèdes, et ils sont morts tous deux sans l’assistance des Médecins."
141,"Je ne m’étonne pas s’ils ont engendré un Fils qui est insensé. Allons, procédons à la curation, et par la douceur exhilarante de l’harmonie, adoucissons, lénifions, et accroissons l’aigreur de ses esprits, que je vois prêts à s’enflammer.","Que Diable est-ce là ? Les Gens de ce Pays-ci sont-ils insensés ? Je n’ai jamais rien vu de tel, et je n’y comprends rien du tout."
142,"Monsieur, voici un petit remède, un petit remède, qu’il vous faut prendre, s’il vous plaît, s’il vous plaît.",Comment ? Je n’ai que faire de cela.
143,"Il a été ordonné, Monsieur, il a été ordonné.","Ah, que de bruit."
144,"Prenez-le, Monsieur, prenez-le : il ne vous fera point de mal, il ne vous fera point de mal.",Ah.
145,"C’est un petit Clystère, un petit Clystère, bénin, bénin ; il est bénin, bénin : là, prenez, prenez, prenez, Monsieur ; c’est pour déterger, pour déterger, déterger…",Allez-vous-en au Diable.
146,Il a forcé tous les obstacles que j’avais mis ; et s’est dérobé aux remèdes que je commençais de lui faire.,"C’est être bien ennemi de soi-même, que de fuir des remèdes aussi salutaires que les vôtres."
147,"Marque d’un cerveau démonté, et d’une raison dépravée, que de ne vouloir pas guérir.",Vous l’auriez guéri haut la main.
148,"Sans doute, quand il y aurait eu complication de douze maladies.","Cependant voilà cinquante Pistoles bien acquises, qu’il vous fait perdre."
149,"Moi, je n’entends point les perdre, et prétends le guérir en dépit qu’il en ait. Il est lié et engagé à mes remèdes, et je veux le faire saisir où je le trouverai, comme Déserteur de la Médecine, et Infracteur de mes Ordonnances.","Vous avez raison, vos remèdes étaient un coup sûr, et c’est de l’argent qu’il vous vole."
150,Où puis-je en avoir des nouvelles ?,"Chez le bon Homme Oronte, assurément, dont il vient épouser la Fille, et qui ne sachant rien de l’infirmité de son Gendre futur, voudra peut-être se hâter de conclure le Mariage."
151,Je vais lui parler tout à l’heure.,Vous ne ferez point mal.
152,Il est hypothéqué à mes Consultations ; et un Malade ne se moquera pas d’un Médecin.,"C’est fort bien dit à vous ; et si vous m’en croyez, vous ne souffrirez point qu’il se marie, que vous ne l’ayez pansé tout votre soûl."
153,Laissez-moi faire.,"Je vais de mon côté dresser une autre batterie, et le Beau-père est aussi dupe que le Gendre."
154,"Vous avez, Monsieur, un certain Monsieur de Pourceaugnac, qui doit épouser votre Fille.","Oui, je l’attends de Limoges, et il devrait être arrivé."
155,"Aussi l’est-il, et il s’en est fui de chez moi, après y avoir été mis ; mais je vous défends de la part de la Médecine, de procéder au mariage que vous avez conclu, que je ne l’aie dûment préparé pour cela, et mis en état de procréer des Enfants bien conditionnés et de corps et d’esprit.",Comment donc ?
156,"Votre prétendu Gendre a été constitué mon Malade : Sa Maladie qu’on m’a donné à guérir, est un meuble qui m’appartient, et que je compte entre mes effets ; et je vous déclare que je ne prétends point qu’il se marie, qu’au préalable il n’ait satisfait à la Médecine, et subi les remèdes que je lui ai ordonnés.",Il a quelque mal ?
157,Oui.,"Et quel mal, s’il vous plaît ?"
158,Ne vous en mettez pas en peine.,Est-ce quelque mal…
159,"Les Médecins sont obligés au secret : Il suffit que je vous ordonne, à vous et à votre Fille, de ne point célébrer, sans mon consentement, vos Noces avec lui, sur peine d’encourir la disgrâce de la Faculté, et d’être accablés de toutes les Maladies qu’il nous plaira.","Je n’ai garde, si cela est, de faire le Mariage."
160,"On me l’a mis entre les mains, et il est obligé d’être mon malade.",À la bonne heure.
161,"Il a beau fuir, je le ferai condamner par Arrêt à se faire guérir par moi.",J’y consens.
162,"Oui, il faut qu’il crève, ou que je le guérisse.",Je le veux bien.
163,"Et si je ne le trouve, je m’en prendrai à vous, et je vous guérirai au lieu de lui.",Je me porte bien.
164,"Il n’importe, il me faut un Malade, et je prendrai qui je pourrai.","Prenez qui vous voudrez, mais ce ne sera pas moi. Voyez un peu la belle raison."
165,"Montsir, avec le Vostre permissione, je suisse un Trancher Marchant Flamane, qui voudrait bienne vous temandair un petit nouvel.","Quoi, Monsieur ?"
166,"Mettez le vostre chapeau sur le teste, Montsir, si ve plaist.","Dites-moi, Monsieur, ce que vous voulez."
167,"Moi le dire rien, Montsir, si vous le mettre pas le chapeau sur le teste.","Soit. Qu’y a-t-il, Monsieur ?"
168,Fous connaistre point en sti File un certe Montsir Oronte ?,"Oui, je le connais."
169,"Et quel Homme est-ile, Montsir, si ve plaist ?",C’est un Homme comme les autres.
170,"Je vous temande, Montsir, s’il est un Homme riche qui a du bienne ?",Oui.
171,"Mais riche beaucoup grandement, Montsir ?",Oui.
172,"J’en suis aise beaucoup, Montsir.",Mais pourquoi cela ?
173,"L’est, Montsir, pour un petit raisonne de conséquence pour nous.","Mais encore, pourquoi ?"
174,"L’est, Montsir, que sti Montsir Oronte donne son Fille en mariage à un certe Montsir de Pourcegnac.",Hé bien.
175,"Et sti Montsir de Pourcegnac, Montsir, l’est un Homme que doivre beaucoup grandement à dix ou douze Marchanne Flamane qui estre venu ici.",Ce Monsieur de Pourceaugnac doit beaucoup à dix ou douze Marchands ?
176,"Oui, Montsir ; et depuis huite mois, nous avoir obtenir un petit Santence contre lui, et lui à remettre à payer tou ce Créanciers de sti Mariage que sti Montsir Oronte donne pour son Fille.","Hon, hon, il a remis là à payer ses Créanciers ?"
