,Speaker 1,Speaker 2
55,"Eh ! mon Dieu ; c’est une causeuse, qui ne dit pas ce qu’elle pense. Ne vous y fiez pas beaucoup, si vous m’en voulez croire.","Ah ! que vous êtes méchante, de me vouloir rendre suspecte à Madame. Voyez un peu où j’en serais, si elle allait croire ce que vous dites. Serais-je si malheureuse, Madame, que vous eussiez de moi cette pensée ?"
56,"Non, non, je ne m’arrête pas à ses paroles, et je vous crois plus sincère, qu’elle ne dit.","Ah ! que vous avez bien raison, Madame ; et que vous me rendrez justice, quand vous croirez que je vous trouve la plus engageante personne du monde ; que j’entre dans tous vos sentiments, et suis charmée de toutes les expressions, qui sortent de votre bouche."
57,Hélas ! je parle sans affectation.,"On le voit bien, Madame, et que tout est naturel en vous. Vos paroles, le ton de votre voix, vos regards, vos pas, votre action, et votre ajustement ont je ne sais quel air de qualité, qui enchante les gens. Je vous étudie des yeux et des oreilles ; et je suis si remplie de vous, que je tâche d’être votre singe, et de vous contrefaire en tout."
58,"Vous vous moquez de moi, Madame.","Pardonnez-moi, Madame. Qui voudrait se moquer de vous ?"
59,"Je ne suis pas un bon modèle, Madame.","Oh que si, Madame."
60,"Vous me flattez, Madame.","Point du tout, Madame."
61,"Épargnez-moi, s’il vous plaît, Madame.","Je vous épargne aussi, Madame ; et je ne dis pas la moitié de ce que je pense, Madame."
62,"Ah mon Dieu ! brisons là, de grâce : vous me jetteriez dans une confusion épouvantable.","Enfin nous voilà deux contre vous, et l’opiniâtreté sied si mal aux personnes spirituelles…"
63,"Arrêtez, s’il vous plaît, Monsieur.","Tu ne me connais pas, sans doute."
64,"Si fait, je vous connais ; mais vous n’entrerez pas.","Ah que de bruit, petit laquais !"
65,Cela n’est pas bien de vouloir entrer malgré les gens.,Je veux voir ta Maîtresse.
66,"Elle n’y est pas, vous dis-je.",La voilà dans la chambre.
67,"Il est vrai, la voilà ; mais elle n’y est pas.",Qu’est-ce donc qu’il y a là ?
68,"C’est votre laquais, Madame, qui fait le sot.","Je lui dis que vous n’y êtes pas, Madame, et il ne veut pas laisser d’entrer."
69,Et pourquoi dire à Monsieur que je n’y suis pas ?,"Vous me grondâtes l’autre jour, de lui avoir dit que vous y étiez."
70,"Voyez cet insolent ! Je vous prie, Monsieur, de ne pas croire ce qu’il dit : c’est un petit écervelé, qui vous a pris pour un autre.","Je l’ai bien vu, Madame ; et sans votre respect, je lui aurais appris à connaître les gens de qualité."
71,Ma cousine vous est fort obligée de cette déférence.,"Un siège donc, impertinent."
72,N’en voilà-t-il pas un ?,Approchez-le.
73,"Votre petit laquais, Madame, a du mépris pour ma personne.","Il aurait tort, sans doute."
74,"C’est peut-être que je paie l’intérêt de ma mauvaise mine : hay, hay, hay, hay.",L’âge le rendra plus éclairé en honnêtes gens.
75,"Sur quoi en étiez-vous, Mesdames, lorsque je vous ai interrompues ?",Sur la Comédie de 
76,Je ne fais que d’en sortir.,"Eh bien, Monsieur, comment la trouvez-vous, s’il vous plaît ?"
77,Tout à fait impertinente.,Ah que j’en suis ravie !
78,"C’est la plus méchante chose du monde. Comment, diable ! à peine ai-je pu trouver place. J’ai pensé être étouffé à la porte ; et jamais on ne m’a tant marché sur les pieds. Voyez comme mes canons, et mes rubans en sont ajustés, de grâce.",Il est vrai que cela crie vengeance contre 
79,"Il ne s’est jamais fait, je pense, une si méchante comédie.",Ah ! voici Dorante que nous attendions.
80,"Ne bougez, de grâce, et n’interrompez point votre discours. Vous êtes là sur une matière, qui depuis quatre jours fait presque l’entretien de toutes les maisons de Paris ; et jamais on n’a rien vu de si plaisant, que la diversité des jugements, qui se font là-dessus. Car enfin, j’ai ouï condamner cette Comédie à certaines gens, par les mêmes choses, que j’ai vu d’autres estimer le plus.","Voilà Monsieur le Marquis, qui en dit force mal."
81,"Il est vrai, je la trouve détestable ; morbleu détestable du dernier détestable ; ce qu’on appelle détestable.","Et moi, mon cher Marquis, je trouve le jugement détestable."
82,"Quoi Chevalier, est-ce que tu prétends soutenir cette Pièce ?",Oui je prétends la soutenir.
83,"Parbleu, je la garantis détestable.","La caution n’est pas Bourgeoise. Mais, Marquis, par quelle raison, de grâce, cette Comédie est-elle ce que tu dis ?"
84,Pourquoi elle est détestable ?,Oui.
85,"Elle est détestable, parce qu’elle est détestable.","Après cela, il n’y a plus rien à dire : voilà son procès fait. Mais encore instruis-nous, et nous dis les défauts qui y sont."
86,"Que sais-je moi ? je ne me suis pas seulement donné la peine de l’écouter. Mais enfin je sais bien que je n’ai jamais rien vu de si méchant, Dieu me damne ; et Dorilas, contre qui j’étais a été de mon avis.","L’autorité est belle, et te voilà bien appuyé."
87,"Il ne faut que voir les continuels éclats de rire que le Parterre y fait : je ne veux point d’autre chose, pour témoigner qu’elle ne vaut rien.","Tu es donc, Marquis, de ces Messieurs du bel air, qui ne veulent pas que le Parterre ait du sens commun, et qui seraient fâchés d’avoir ri avec lui, fût-ce de la meilleure chose du monde ? Je vis l’autre jour sur le Théâtre un de nos amis qui se rendit ridicule par là. Il écouta toute la Pièce avec un sérieux le plus sombre du monde : et tout ce qui égayait les autres ridait son front. À tous les éclats de risée, il haussait les épaules, et regardait le Parterre en pitié ; et quelquefois aussi le regardant avec dépit, il lui disait tout haut, "
88,"Te voilà donc, Chevalier, le défenseur du Parterre ? Parbleu, je m’en réjouis, et je ne manquerai pas de l’avertir, que tu es de ses amis. Hay, hay, hay, hay, hay, hay.","Ris tant que tu voudras ; je suis pour le bon sens, et ne saurais souffrir les ébullitions de cerveau de nos marquis de Mascarille. J’enrage de voir de ces gens qui se traduisent en ridicules, malgré leur qualité ; de ces gens qui décident toujours, et parlent hardiment de toutes choses, sans s’y connaître ; qui dans une Comédie se récrieront aux méchants endroits, et ne branleront pas à ceux qui sont bons ; qui voyant un tableau, ou écoutant un concert de musique, blâment de même, et louent tout à contre-sens, prennent par où ils peuvent les termes de l’Art qu’ils attrapent, et ne manquent jamais de les estropier, et de les mettre hors de place. Eh ! Morbleu, Messieurs, taisez-vous, quand Dieu ne vous a pas donné la connaissance d’une chose ; n’apprêtez point à rire à ceux qui vous entendent parler ; et songez qu’en ne disant mot, on croira, peut-être, que vous êtes d’habiles gens."
89,"Parbleu, Chevalier, tu le prends là…","Mon Dieu Marquis ce n’est pas à toi que je parle. C’est à une douzaine de messieurs qui déshonorent les gens de Cour par leurs manières extravagantes, et font croire parmi le peuple que nous nous ressemblons tous. Pour moi je m’en veux justifier, le plus qu’il me sera possible ; et je les dauberai tant, en toutes rencontres, qu’à la fin ils se rendront sages."
90,"Dis-moi, un peu, Chevalier, crois-tu que Lysandre ait de l’esprit ?","Oui, sans doute, et beaucoup."
91,C’est une chose qu’on ne peut pas nier.,Demandez-lui ce qui lui semble de 
92,"Eh mon Dieu ! il y en a beaucoup que le trop d’esprit gâte ; qui voient mal les choses à force de lumière ; et même qui seraient bien fâchés d’être de l’avis des autres, pour avoir la gloire de décider.","Il est vrai ; notre ami est de ces gens-là, sans doute. Il veut être le premier de son opinion, et qu’on attende par respect son jugement. Toute approbation qui marche avant la sienne est un attentat sur ses lumières, dont il se venge hautement en prenant le contraire parti. Il veut qu’on le consulte sur toutes les affaires d’esprit ; et je suis sûre que si l’Auteur lui eût montré sa Comédie, avant que de la faire voir au public, il l’eût trouvée la plus belle du monde."
93,"Et que direz-vous de la Marquise Araminte, qui la publie partout pour épouvantable, et dit qu’elle n’a pu jamais souffrir les ordures dont elle est pleine ?","Je dirai que cela est digne du Caractère qu’elle a pris ; et qu’il y a des personnes, qui se rendent ridicules, pour vouloir avoir trop d’honneur. Bien qu’elle ait de l’esprit, elle a suivi le mauvais exemple de celles, qui étant sur le retour de l’âge, veulent remplacer de quelque chose ce qu’elles voient qu’elles perdent ; et prétendent que les grimaces d’une pruderie scrupuleuse, leur tiendront lieu de jeunesse et de beauté. Celle-ci pousse l’affaire plus avant qu’aucune, et l’habileté de son scrupule découvre des saletés, où jamais personne n’en avait vu. On tient qu’il va, ce scrupule, jusques à défigurer notre langue, et qu’il n’y a point presque de mots, dont la sévérité de cette Dame ne veuille retrancher ou la tête, ou la queue, pour les syllabes déshonnêtes qu’elle y trouve."
94,"Vous êtes bien fou, Chevalier.","Enfin, Chevalier, tu crois défendre ta Comédie, en faisant la satire de ceux qui la condamnent."
95,Non pas ; mais je tiens que cette Dame se scandalise à tort…,"Tout beau, Monsieur le Chevalier : il pourrait y en avoir d’autres qu’elle, qui seraient dans les mêmes sentiments."
96,"Je sais bien que ce n’est pas vous, au moins ; et que lorsque vous avez vu cette représentation…","Il est vrai, mais j’ai changé d’avis, et Madame sait appuyer le sien, par des raisons si convaincantes, qu’elle m’a entraînée de son côté."
97,"Ah ! Madame, je vous demande pardon ; et si vous le voulez, je me dédirai, pour l’amour de vous, de tout ce que j’ai dit.","Je ne veux pas que ce soit pour l’amour de moi ; mais pour l’amour de la raison : car enfin cette pièce, à le bien prendre, est tout à fait indéfendable ; et je ne conçois pas…"
98,"Ah ! voici l’auteur, Monsieur Lysidas : il vient tout à propos, pour cette matière. Monsieur Lysidas ; prenez un siège vous-même, et vous mettez là.","Madame ; je viens un peu tard ; mais il m’a fallu lire ma Pièce chez Madame la Marquise, dont je vous avais parlé ; et les louanges, qui lui ont été données, m’ont retenu une heure, plus que je ne croyais."
99,C’est un grand charme que les louanges pour arrêter un Auteur.,"Asseyez-vous donc, Monsieur Lysidas ; nous lirons votre Pièce après souper."
100,"Tous ceux qui étaient là, doivent venir à sa première représentation, et m’ont promis de faire leur devoir comme il faut.","Je le crois : mais, encore une fois asseyez-vous, s’il vous plaît : Nous sommes ici sur une matière que je serai bien aise que nous poussions."
101,"Je pense Madame, que vous retiendrez aussi une loge pour ce jour-là.",Nous verrons. Poursuivons de grâce notre discours.
102,"Je vous donne avis, Madame, qu’elles sont presque toutes retenues.","Voilà qui est bien. Enfin j’avais besoin de vous, lorsque vous êtes venu, et tout le monde était ici contre moi."
103,"Il s’est mis d’abord de votre côté, mais maintenant qu’il sait que Madame est à la tête du parti contraire, je pense que vous n’avez qu’à chercher un autre secours.","Non, non, je ne voudrais pas qu’il fît mal sa Cour auprès de Madame votre cousine, et je permets à son esprit d’être du parti de son cœur."
104,"Avec cette permission, Madame, je prendrai la hardiesse de me défendre.",Mais auparavant sachons un peu les sentiments de Monsieur Lysidas.
105,"Sur quoi, Madame ?",Sur le sujet de 
106,"Ha, ha.",Que vous en semble.
107,"Je n’ai rien à dire là-dessus ; et vous savez qu’entre nous autres Auteurs, nous devons parler des Ouvrages les uns des autres, avec beaucoup de circonspection.","Mais encore, entre nous, que pensez-vous de cette Comédie ?"
108,"Moi, Monsieur ?","De bonne foi, dites-nous votre avis."
109,Je la trouve fort belle.,Assurément ?
110,Assurément ; pourquoi non ? N’est-elle pas en effet la plus belle du monde ?,"Hom, hom, vous êtes un méchant diable, Monsieur Lysidas ; vous ne dites pas ce que vous pensez."
111,Pardonnez-moi.,"Mon Dieu, je vous connais ; ne dissimulons point."
112,Moi Monsieur ?,"Je vois bien que le bien que vous dites de cette Pièce n’est que par honnêteté ; et que dans le fond du cœur, vous êtes de l’avis de beaucoup de gens, qui la trouvent mauvaise."
113,"Hay, hay, hay.","Avouez, ma foi, que c’est une méchante chose que cette Comédie."
114,Il est vrai qu’elle n’est pas approuvée par les Connaisseurs.,"Ma foi, Chevalier, tu en tiens, et te voilà payé de ta raillerie, ah, ah, ah, ah, ah."
115,"Pousse, mon cher Marquis, pousse.",Tu vois que nous avons les Savants de notre côté.
116,"Il est vrai, le jugement de Monsieur Lysidas est quelque chose de considérable ; mais Monsieur Lysidas veut bien que je ne me rende pas pour cela. Et puisque j’ai bien l’audace de me défendre contre les sentiments de Madame, il ne trouvera pas mauvais que je combatte les siens.","Quoi vous voyez contre vous Madame, Monsieur le Marquis, et Monsieur Lysidas, et vous osez résister encore ? Fi que cela est de mauvaise grâce."
117,"Voilà qui me confond, pour moi, que des personnes raisonnables se puissent mettre en tête de donner protection aux sottises de cette Pièce !","Dieu me damne, Madame, elle est misérable depuis le commencement jusqu’à la fin."
118,"Cela est bientôt dit, Marquis ; il n’est rien plus aisé que de trancher ainsi, et je ne vois aucune chose, qui puisse être à couvert de la souveraineté de tes décisions.","Parbleu, tous les autres Comédiens qui étaient là pour la voir, en ont dit tous les maux du monde."
119,"Ah ! je ne dis plus mot, tu as raison, Marquis ; puisque les autres Comédiens en disent du mal, il faut les en croire assurément. Ce sont tous gens éclairés, et qui parlent sans intérêt, il n’y a plus rien à dire, je me rends.","Rendez-vous, ou ne vous rendez pas, je sais fort bien que vous ne me persuaderez point de souffrir les immodesties de cette Pièce ; non plus que les satires désobligeantes qu’on y voit contre les Femmes."
120,"Pour moi, je me garderai bien de m’en offenser, et de prendre rien sur mon compte de tout ce qui s’y dit. Ces sortes de satires tombent directement sur les mœurs, et ne frappent les personnes que par réflexion. N’allons point nous appliquer nous-mêmes les traits d’une censure générale ; et profitons de la leçon, si nous pouvons, sans faire semblant qu’on parle à nous. Toutes les peintures ridicules qu’on expose sur les Théâtres doivent être regardées sans chagrin de tout le monde. Ce sont miroirs publics où il ne faut jamais témoigner qu’on se voie ; et c’est se taxer hautement d’un défaut, que se scandaliser qu’on le reprenne.","Pour moi je ne parle pas de ces choses, par la part que j’y puisse avoir ; et je pense que je vis d’un air dans le monde, à ne pas craindre d’être cherchée dans les peintures qu’on fait là des femmes qui se gouvernent mal."
121,"Assurément, Madame, on ne vous y cherchera point ; votre conduite est assez connue ; et ce sont de ces sortes de choses qui ne sont contestées de personne.","Aussi, Madame, n’ai-je rien dit qui aille à vous ; et mes paroles, comme les Satires de la Comédie, demeurent dans la thèse générale."
122,"Je n’en doute pas, Madame. Mais enfin passons sur ce chapitre. Je ne sais pas de quelle façon vous recevez les injures qu’on dit à notre sexe dans un certain endroit de la pièce ; et pour moi je vous avoue que je suis dans une colère épouvantable, de voir que cet auteur impertinent nous appelle des ",Ne voyez-vous pas que c’est un ridicule qu’il fait parler ?
123,"Et puis, Madame, ne savez-vous pas que les injures des Amants n’offensent jamais ? qu’il est des amours emportés aussi bien que des doucereux ? et qu’en de pareilles occasions les paroles les plus étranges, et quelque chose de pis encore, se prennent bien souvent pour des marques d’affection par celles mêmes qui les reçoivent ?","Dites tout ce que vous voudrez, je ne saurais digérer cela, non plus que "
124,"Ah ! ma foi oui, ","Eh bien que veux-tu dire, "
125,"Parbleu, ",Mais encore ?
126,,Dis-nous un peu tes raisons.
127,,"Mais il faut expliquer sa pensée, ce me semble."
128,,Que trouvez-vous là à redire ?
129,"Moi, rien ; ",Ah ! je le quitte.
130,"Monsieur le Marquis s’y prend bien, et vous bourre de la belle manière. Mais je voudrais bien que Monsieur Lysidas voulût les achever, et leur donner quelques petits coups de sa façon.","Ce n’est pas ma coutume de rien blâmer, et je suis assez indulgent pour les ouvrages des autres. Mais enfin, sans choquer l’amitié que Monsieur le Chevalier témoigne pour l’Auteur, on m’avouera que ces sortes de Comédies ne sont pas proprement des Comédies, et qu’il y a une grande différence de toutes ces bagatelles, à la beauté des pièces sérieuses. Cependant tout le monde donne là dedans aujourd’hui ; on ne court plus qu’à cela ; et l’on voit une solitude effroyable aux grands ouvrages, lorsque des sottises ont tout Paris. Je vous avoue que le cœur m’en saigne quelquefois, et cela est honteux pour la France."
131,"Il est vrai que le goût des gens est étrangement gâté là-dessus, et que le siècle s’encanaille furieusement.","Celui-là est joli encore, "
132,Hé !,Je m’en suis bien doutée.
133,"Vous croyez donc, Monsieur Lysidas, que tout l’esprit et toute la beauté sont dans les Poèmes sérieux, et que les Pièces Comiques sont des niaiseries qui ne méritent aucune louange ?","Ce n’est pas mon sentiment, pour moi. La Tragédie, sans doute, est quelque chose de beau quand elle est bien touchée ; mais la Comédie a ses charmes, et je tiens que l’une n’est pas moins difficile à faire que l’autre."
134,"Assurément, Madame, et quand pour la difficulté vous mettriez un plus du côté de la Comédie, peut-être que vous ne vous abuseriez pas. Car enfin, je trouve qu’il est bien plus aisé de se guinder sur de grands sentiments, de braver en Vers la Fortune, accuser les Destins, et dire des injures aux Dieux, que d’entrer comme il faut dans le ridicule des hommes, et de rendre agréablement sur le Théâtre les défauts de tout le monde. Lorsque vous peignez des Héros, vous faites ce que vous voulez ; ce sont des portraits à plaisir, où l’on ne cherche point de ressemblance ; et vous n’avez qu’à suivre les traits d’une imagination qui se donne l’essor, et qui souvent laisse le vrai pour attraper le merveilleux. Mais lorsque vous peignez les hommes, il faut peindre d’après Nature ; on veut que ces portraits ressemblent ; et vous n’avez rien fait si vous n’y faites reconnaître les gens de votre siècle. En un mot, dans les pièces sérieuses, il suffit, pour n’être point blâmé, de dire des choses qui soient de bon sens, et bien écrites : Mais ce n’est pas assez dans les autres ; il y faut plaisanter ; et c’est une étrange entreprise que celle de faire rire les honnêtes gens.","Je crois être du nombre des honnêtes gens, et cependant je n’ai pas trouvé le mot pour rire dans tout ce que j’ai vu."
135,"Ma foi, ni moi non plus.","Pour toi, Marquis, je ne m’en étonne pas ; c’est que tu n’y as point trouvé de Turlupinades."
136,"Ma foi, Monsieur, ce qu’on y rencontre ne vaut guère mieux, et toutes les plaisanteries y sont assez froides, à mon avis.",La Cour n’a pas trouvé cela.
